year,détruisant_VERB en_ADP,détruisant_VERB sans_ADP
1800,3.772997558826319e-08,6.288328968651058e-09
1801,5.2386017301842e-08,4.7623651688866175e-09
1802,4.699464284385613e-08,4.4756802708434407e-08
1803,1.1702034896643454e-08,4.8758479920252285e-08
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,8.528632911009026e-09,1.421438877713399e-08
1806,4.610670600868616e-08,0.0
1807,4.839823830593559e-08,2.562259560079383e-08
1808,3.852325747288887e-08,2.2660739062985158e-08
1809,7.00299480627109e-08,2.25903047379461e-08
1810,6.552355102940055e-08,3.2761775514700275e-08
1811,7.521229861140455e-09,2.2563691359778204e-08
1812,1.600324850414836e-08,1.0668832928217853e-08
1813,1.1502966579257645e-08,8.627225156487839e-09
1814,1.5733386149463513e-08,2.5173417128598885e-08
1815,2.6972236000233352e-08,0.0
1816,7.648093003354006e-08,6.952811659743929e-09
1817,4.203558034987509e-08,1.556873407970727e-09
1818,1.5497530370112145e-08,2.384235475716423e-09
1819,2.070209959015301e-08,2.070209959015301e-08
1820,3.9159388620646496e-08,2.3732962262101864e-08
1821,1.7750679148775816e-08,2.9584463767662328e-09
1822,2.4061478143266868e-08,8.02049271442229e-09
1823,1.087095569118901e-08,2.4706716672540097e-08
1824,1.3473780313688621e-08,7.57900142644985e-09
1825,8.805443485471187e-09,1.1447076175841175e-08
1826,2.2019960965735663e-08,1.8496766784892316e-08
1827,3.410390903013649e-08,7.373818444733615e-09
1828,4.953042775923677e-08,1.8344602503717056e-09
1829,2.3147574523818548e-08,6.858540846366168e-09
1830,1.878630406793036e-08,1.1480519646056564e-08
1831,5.76874619184764e-08,2.494592976631793e-08
1832,3.2471927369215337e-08,1.8941957335982806e-08
1833,3.01174338801502e-08,3.243415847009601e-08
1834,5.1339920759119195e-08,5.600718555598405e-09
1835,2.4201881387853064e-08,1.285724948729694e-08
1836,4.166864897570122e-08,1.4113575197427508e-08
1837,2.7831564608504777e-08,1.1828414692161004e-08
1838,2.651107955387033e-08,5.049729523420865e-09
1839,5.103776956616457e-08,9.088918062616358e-09
1840,3.630722389402763e-08,1.2102408852854296e-08
1841,5.3290552415319326e-08,7.0626033910059505e-09
1842,4.427455024824667e-08,5.366612043644636e-09
1843,4.548321541619771e-08,4.134837805480629e-09
1844,3.1284798751585186e-08,8.781698035420504e-09
1845,4.3525776760589e-08,1.5066614622583074e-08
1846,3.9810608143397985e-08,6.439951683034906e-09
1847,3.235934187273415e-08,1.833696039454935e-08
1848,3.218088551193432e-08,6.43617736884039e-09
1849,2.1786478399121734e-08,1.6758829879393033e-09
1850,3.869727649430388e-08,8.146795238417326e-09
1851,4.5791015423901626e-08,8.384270167027807e-09
1852,3.385483537954315e-08,1.6276363368206148e-08
1853,3.881755716861335e-08,1.6721408258035808e-08
1854,3.896748168585873e-08,4.676098175337984e-09
1855,3.1841622671890946e-08,1.2205955357558196e-08
1856,4.34883880018333e-08,9.318940286107136e-09
1857,2.880090299584026e-08,1.9526036343364694e-09
1858,4.1106879677954566e-08,7.829881631948865e-09
1859,2.1387128512628806e-08,2.0877910955618972e-08
1860,3.524431591017674e-08,1.2816115280145368e-08
1861,5.611996911625283e-08,1.0375120318428799e-08
1862,3.298130124562704e-08,4.9697850279528666e-09
1863,4.5950510951797696e-08,3.496234635136375e-09
1864,1.965838514195184e-08,2.0617330065419992e-08
1865,2.8241066374334878e-08,8.001635798393636e-09
1866,5.157549765044678e-08,1.556996132023869e-08
1867,4.755755256269367e-08,3.396968040192405e-09
1868,4.1494942593089945e-08,1.1361710683388537e-08
1869,2.6371003158942585e-08,1.12320943657096e-08
1870,3.268407766654491e-08,9.747882501187632e-09
1871,2.8677177965619194e-08,1.0621177271019633e-09
1872,3.3260366905096816e-08,1.0885210954825197e-08
1873,2.454261860407314e-08,1.3767810003173508e-08
1874,5.078417686377179e-08,5.377148060148329e-09
1875,3.6045619822289154e-08,1.716458086775674e-09
1876,4.474050996350343e-08,7.255217759905008e-09
1877,3.896434108696667e-08,1.4843558382438005e-08
1878,3.01954443671093e-08,5.435179861734696e-09
1879,3.787781821529279e-08,1.4662380642960215e-08
1880,5.0700986520269e-08,7.059631101924424e-09
1881,2.1614773970668466e-08,6.9725074602899895e-09
1882,4.6587697255517924e-08,6.655385131892899e-09
1883,2.338155447034751e-08,1.2006744043446815e-08
