year,eurent_VERB ôté_VERB,eurent_VERB sauté_VERB
1800,3.144164395507687e-08,9.432493897065797e-09
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,1.3427040812530322e-08,0.0
1803,9.751696339321825e-09,0.0
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,1.7081731584767113e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,2.8081521108447305e-08,0.0
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,2.6672083208723052e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,0.0,0.0
1818,1.4305412854298538e-08,1.1921177378582115e-09
1819,7.24573512300708e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,9.86148829262845e-10,4.930744257336528e-09
1822,2.0051231786055723e-09,0.0
1823,1.1859224713361982e-08,0.0
1824,7.57900142644985e-09,1.6842225392110777e-09
1825,7.044354433105582e-09,8.805443041381977e-10
1826,2.290075862276808e-08,0.0
1827,8.295545583791863e-09,9.217273055917019e-10
1828,1.4675682002973645e-08,2.2930752408001354e-08
1829,1.2002446148073886e-08,9.430493719264632e-09
1830,4.174734336004349e-09,0.0
1831,0.0,1.091384405071949e-08
1832,1.0823975493678972e-08,2.705993873419743e-09
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,5.600718555598405e-09,0.0
1835,7.563087933704082e-09,0.0
1836,1.5457725766054864e-08,1.3441500135158435e-09
1837,1.87863058442872e-08,5.5663127440652715e-09
1838,1.0730675015224733e-08,6.312161904276081e-10
1839,7.690622361167243e-09,5.5931801412612e-09
1840,9.554533164646273e-09,1.9109065441114126e-09
1841,1.219904177673925e-08,0.0
1842,8.049918065466954e-09,6.708265054555795e-10
1843,2.3627644285539873e-09,0.0
1844,7.1351298203126134e-09,5.488561272137815e-10
1845,7.254296274794569e-09,8.37034175305007e-09
1846,1.1709002656346001e-09,5.854501328173001e-10
1847,2.1572894581822766e-09,3.235934187273415e-09
1848,5.63165514222419e-09,8.045221711050488e-10
1849,7.54147322368226e-09,0.0
1850,5.431196825611551e-09,2.0366988096043315e-09
1851,7.094382858952031e-09,1.9348316282474798e-09
1852,5.859490670445666e-09,6.510545436100301e-10
1853,2.388772735173461e-09,1.7915795513800958e-09
1854,7.27393034694046e-09,3.117398783558656e-09
1855,4.776243400783642e-09,0.0
1856,1.1389816201301528e-08,5.177189232874468e-10
1857,2.4407544874094356e-09,1.9526036343364694e-09
1858,9.787352039936081e-10,0.0
1859,5.092173349652285e-10,2.036869339860914e-09
1860,4.577183909670879e-10,1.373155145145688e-09
1861,6.13075279431996e-09,2.357981809808507e-09
1862,0.0,1.3553959066214816e-09
1863,4.994620717013731e-09,2.4973103585068657e-09
1864,4.315255264231155e-09,4.794727948009836e-10
1865,6.589582213223366e-09,2.8241067262513297e-09
1866,1.9462451650298362e-09,4.865612912574591e-10
1867,6.308654931785895e-09,9.7056229719783e-10
1868,9.87974813071446e-10,4.93987406535723e-10
1869,2.441759683335931e-09,2.441759683335931e-09
1870,5.734048791339319e-10,5.734048791339319e-10
1871,0.0,0.0
1872,4.23313739617015e-09,1.8142017887967654e-09
1873,1.1972008939764578e-09,5.986004469882289e-10
1874,6.572069999322139e-09,0.0
1875,5.721527140956084e-10,5.721527140956084e-10
1876,2.418405919968336e-09,6.04601479992084e-10
1877,3.710889595609501e-09,3.710889595609501e-09
1878,6.039088784604019e-09,1.8117265465633636e-09
1879,6.109325489944695e-09,0.0
1880,1.2835692508872398e-09,0.0
1881,6.972507571312292e-10,6.972507571312292e-10
1882,1.3310770263785798e-09,1.3310770263785798e-09
1883,8.21514056781325e-09,1.2638677882037541e-09
1884,3.9610181801208455e-09,6.601696966868076e-10
1885,1.2891271383708158e-09,1.933690763067375e-09
1886,6.453463874400711e-10,3.2267319927115068e-09
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,6.340614699951175e-10,0.0
1889,4.385595886446936e-09,5.6386229019267375e-09
1890,1.3108772956016423e-09,0.0
1891,4.461953917456185e-09,2.5496880162734215e-09
1892,6.268512375839919e-10,3.1342561879199593e-09
1893,0.0,0.0
1894,1.2603078580752936e-09,0.0
1895,6.018614495673091e-10,3.611168697403855e-09
1896,0.0,0.0
1897,0.0,4.078699600285063e-09
1898,1.13167097914868e-09,0.0
1899,5.527578395003729e-10,6.633094074004475e-09
1900,2.07642125715779e-09,3.633737311048435e-09
1901,0.0,5.588738916095792e-10
1902,0.0,5.892340837476695e-09
1903,0.0,1.0800440541913758e-09
1904,0.0,2.1498500757388683e-09
1905,0.0,1.0321518084666081e-09
1906,0.0,1.5432553013283723e-09
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,2.2003934230241384e-09
1910,3.206490406526541e-09,1.068830135508847e-09
1911,5.320374141248863e-10,0.0
1912,5.209421227725386e-10,1.0418842455450772e-09
1913,2.6514948014977335e-09,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,1.1486376294556067e-09
1919,4.603924352863942e-09,0.0
1920,3.028892692213958e-09,0.0
