year,soit_VERB en_ADP,soit_VERB sans_ADP
1800,3.6440867248188624e-06,4.779129767484847e-07
1801,3.7598871944766188e-06,5.21478966675204e-07
1802,3.4798413821590657e-06,4.274274658655486e-07
1803,3.7134458157339623e-06,5.460950092128769e-07
1804,4.202146388188055e-06,7.934641530482622e-07
1805,3.5251683909720555e-06,5.202466013543017e-07
1806,3.852791842007264e-06,4.841203917749226e-07
1807,3.5985513022751547e-06,6.576466375918244e-07
1808,3.4738913399223748e-06,5.642524456561659e-07
1809,3.2417088471348166e-06,5.127999429532792e-07
1810,3.290218252516297e-06,5.686508188773587e-07
1811,2.7653055623133582e-06,4.061464267124393e-07
1812,3.11796635443784e-06,4.320877451391425e-07
1813,3.5256592045840307e-06,5.924027846049285e-07
1814,3.7948927058550908e-06,2.2656075771010364e-07
1815,3.1449626543000875e-06,4.234640869071882e-07
1816,3.4184657380365024e-06,3.6386381907504983e-07
1817,3.4640432682309097e-06,4.250264282745775e-07
1818,3.3164714956512853e-06,5.793692139377526e-07
1819,3.5069356636441285e-06,4.813238092538086e-07
1820,3.273962057015467e-06,5.114453642818262e-07
1821,3.718767181304372e-06,6.735396596013743e-07
1822,4.010246442476273e-06,5.484012035594787e-07
1823,3.544919808362579e-06,3.330465574435948e-07
1824,3.6261310789598156e-06,5.061088472757547e-07
1825,3.743193826011293e-06,4.200196315196081e-07
1826,3.5073394730744667e-06,3.4703458595686243e-07
1827,3.699813304613997e-06,4.6455056690319907e-07
1828,3.576280363404294e-06,4.338498627021181e-07
1829,3.4978557472697958e-06,4.972442297912494e-07
1830,3.7082077657402124e-06,5.395843913902354e-07
1831,3.5766226957889558e-06,4.770909072249196e-07
1832,3.692328707671777e-06,3.6666216374214855e-07
1833,3.6476847231625698e-06,5.201049475545005e-07
1834,3.4761792857551654e-06,4.6765998718001356e-07
1835,3.6605345883344853e-06,4.689114518896531e-07
1836,3.880561253666315e-06,5.54461905721837e-07
1837,3.9423411770656e-06,5.218417982177925e-07
1838,3.763310875370962e-06,4.639439055154071e-07
1839,4.100500085257863e-06,4.187893694052036e-07
1840,3.431351361271595e-06,4.5097397105564596e-07
1841,3.930017680175979e-06,4.455860675989243e-07
1842,4.169186631486355e-06,4.662244350583933e-07
1843,4.0314665774587866e-06,5.198081680646283e-07
1844,3.6175107016589436e-06,4.956170869263588e-07
1845,3.6327283989834314e-06,3.52112380141989e-07
1846,3.8153785695271836e-06,4.4025850343132333e-07
1847,4.0551649291842295e-06,4.2444671066732553e-07
1848,3.446572907961354e-06,3.2422244089502783e-07
1849,3.4263426726965918e-06,3.3769040896913793e-07
1850,3.5004062652888024e-06,3.862938626753021e-07
1851,3.4175576786310558e-06,3.5213935234423843e-07
1852,3.5807999836379167e-06,4.739677024190314e-07
1853,3.7199162647993944e-06,3.935502945751068e-07
1854,3.8499872658803724e-06,4.4007276756019564e-07
1855,3.487188351414261e-06,4.489668867790897e-07
1856,3.723434403468673e-06,4.390256549413607e-07
1857,3.517615468240365e-06,4.0858230931917205e-07
1858,3.819024755102873e-06,4.345584443399275e-07
1859,3.5981296804266094e-06,3.9056970990714035e-07
1860,3.487356451614687e-06,3.767022462852765e-07
1861,3.642610472809338e-06,3.909534029844508e-07
1862,3.857908360771489e-06,4.775511683874356e-07
1863,3.6800365919020805e-06,4.490164258186269e-07
1864,3.725983091840135e-06,3.749477173187188e-07
1865,3.6416855664356262e-06,3.760768549909699e-07
1866,3.446800128870109e-06,4.2476801809243625e-07
1867,3.4911125652570263e-06,4.780019366990018e-07
1868,3.5443595294282204e-06,4.179133554771397e-07
1869,3.546411662114224e-06,4.004485560926696e-07
1870,3.6508688125991284e-06,3.6067166320208344e-07
1871,3.781139056968641e-06,3.356292097578262e-07
1872,3.5691396149672983e-06,3.8582024330935383e-07
1873,3.773577262222716e-06,3.5377286167204147e-07
1874,3.5913375455720598e-06,3.5309940926708805e-07
1875,3.57366590719721e-06,4.663044705921493e-07
1876,3.4867367801894034e-06,3.240664057102549e-07
1877,3.4492718299361513e-06,3.5253449937044934e-07
1878,3.4483196316159592e-06,3.0316223842419276e-07
1879,3.562958582392639e-06,4.0077173935060273e-07
