year,fallait_VERB aider_VERB,fallait_VERB céder_VERB
1800,6.288328968651058e-09,3.458580977167003e-08
1801,0.0,1.4287095950749062e-08
1802,0.0,4.4756802708434407e-08
1803,1.950339223455444e-09,4.6808139586573816e-08
1804,1.2359254952798437e-08,3.9549615138412264e-08
1805,0.0,1.421438877713399e-08
1806,0.0,5.4751712497136396e-08
1807,2.8469551160981155e-09,6.547996633798903e-08
1808,1.1330369531492579e-08,3.6257183921861724e-08
1809,6.7770917766551975e-09,7.228897658251299e-08
1810,7.020380277111826e-09,2.3401266702194334e-08
1811,1.2535384286138651e-08,2.5070768572277302e-08
1812,0.0,1.0668832928217853e-08
1813,2.300593315851529e-08,8.339650747757332e-08
1814,0.0,4.090680150170556e-08
1815,0.0,1.0788894400093341e-07
1816,4.6352077731626196e-09,9.270415546325239e-08
1817,9.341240669868967e-09,7.005930058312515e-08
1818,0.0,4.768470773797162e-08
1819,8.280840013696888e-09,3.622867339458935e-08
1820,1.542642635854463e-08,8.306536614099969e-08
1821,9.86148829262845e-10,8.08642042215979e-08
1822,1.0025615893027862e-09,8.120748873352568e-08
1823,2.9648061783404955e-09,1.2254531611688435e-07
1824,3.3684450784221553e-09,7.915846111927749e-08
1825,5.283265824829186e-09,8.277116592125822e-08
1826,7.0463874735082754e-09,6.165588928297439e-08
1827,7.373818444733615e-09,6.175572764277604e-08
1828,1.6510142586412258e-08,3.118582370120748e-08
1829,7.715858174606183e-09,8.487444347338169e-08
1830,6.262101504006523e-09,1.1480519646056564e-07
1831,1.4032085715598441e-08,7.327867024287116e-08
1832,8.117981842303834e-09,1.041807635715486e-07
1833,0.0,1.1467792404573629e-07
1834,1.7735608537350345e-08,8.68111342811062e-08
1835,1.8151411040889798e-08,9.000074641107858e-08
1836,5.376600054063374e-09,8.535352691296794e-08
1837,4.174734336004349e-09,1.1063046656545339e-07
1838,1.1361890983607736e-08,7.827080850120183e-08
1839,7.690622361167243e-09,1.0417298312859202e-07
1840,1.52872523528913e-08,9.93671420701503e-08
1841,1.4767261191650505e-08,1.1364370777755539e-07
1842,8.720745015011744e-09,9.726984018243456e-08
1843,1.2995204023980023e-08,1.2581720909565774e-07
1844,1.2623690537338916e-08,1.4489802424577647e-07
1845,6.696273757711424e-09,1.0881444723054301e-07
1846,2.517435504501009e-08,1.3523897735012724e-07
1847,9.707802561820245e-09,9.707802917091612e-08
1848,1.367687652020777e-08,1.311371136125672e-07
1849,1.3407063903514427e-08,1.240153437720437e-07
1850,3.530277936647508e-08,1.0930283877996771e-07
1851,2.902247508984601e-08,9.158203084780325e-08
1852,1.9531636752390114e-08,6.901178295493082e-08
1853,4.777545470346922e-09,8.539862506040663e-08
1854,5.195664454227256e-10,6.546537179019651e-08
1855,2.0166361025530932e-08,1.1622192630511563e-07
1856,7.248064815001953e-09,8.8012214405353e-08
1857,7.810414537345878e-09,8.542640728137485e-08
1858,9.787352261980686e-09,6.753273140702731e-08
1859,1.171199848215565e-08,9.06406825151862e-08
1860,1.6020143434047895e-08,1.3090746620036953e-07
1861,1.0375120318428799e-08,8.67737313114958e-08
1862,1.490935552794781e-08,8.267915063697728e-08
1863,1.6482248454963155e-08,6.742737923559616e-08
1864,3.3563094525845827e-09,8.390773587052536e-08
1865,1.0825742080555756e-08,9.507825637911083e-08
1866,4.379051787850585e-09,6.130672147719451e-08
1867,1.261730986357179e-08,6.454239098729886e-08
1868,1.531360993567432e-08,6.619431047738544e-08
1869,1.660396442559886e-08,6.788091866383184e-08
1870,9.17447806614291e-09,5.676708170199163e-08
1871,4.248470908407853e-09,7.859671313781291e-08
1872,5.442605477412599e-09,8.708168763860158e-08
1873,7.781805422268917e-09,9.876907114403366e-08
1874,4.182226565063729e-09,8.722929578652838e-08
1875,1.3731664694205392e-08,4.520006413599731e-08
1876,1.269663130187837e-08,5.38095328295185e-08
1877,7.421779191219002e-09,5.1952454782622226e-08
1878,8.4547240319921e-09,9.904105269242791e-08
1879,1.0996785704264767e-08,4.520900631632685e-08
1880,5.134277003548959e-09,5.455169471701993e-08
1881,1.3945014920579979e-08,8.436734333372442e-08
1882,1.9966154951589488e-08,6.322616030729478e-08
1883,1.8326083761621703e-08,5.687405035814663e-08
1884,1.386356363042296e-08,7.856019124119484e-08
1885,7.090199094506033e-09,6.574548194748786e-08
1886,4.5174246565693466e-09,5.808117364836107e-08
1887,1.3057849024278312e-08,4.8966935395355904e-08
1888,1.9021843655764314e-08,6.02358412038484e-08
1889,1.0024218788373673e-08,5.450668894013688e-08
