year,défendant_VERB en_ADP,défendant_VERB sans_ADP
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,1.950339267864365e-08,0.0
1804,2.7190360185613827e-08,7.4155526164076946e-09
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910143378389e-08,8.540865792383556e-09
1808,3.6257183921861724e-08,0.0
1809,2.25903047379461e-08,4.518061036407062e-09
1810,6.31834211617388e-08,4.680253518074551e-09
1811,5.515568801683912e-08,1.504245972228091e-08
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,1.8540831092650478e-08,1.622322720606917e-08
1817,1.0898113522728181e-08,0.0
1818,7.152706427149269e-09,4.768470951432846e-09
1819,1.3456364911235141e-08,1.8631890696951814e-08
1820,1.1866481131050932e-08,1.1866481131050932e-08
1821,1.2819934336327776e-08,9.86148829262845e-10
1822,1.9048670196752937e-08,0.0
1823,2.174191138237802e-08,9.882686891060644e-10
1824,9.263223965660927e-09,5.052667617633233e-09
1825,2.905796137042671e-08,1.2327619813845558e-08
1826,4.932471142637951e-08,0.0
1827,1.6591091167583727e-08,1.1982455028203276e-08
1828,4.4027046897099353e-08,4.586150570418113e-09
1829,6.172686539684946e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,1.0436835840010872e-09
1831,4.5214498811674275e-08,4.677361609140007e-09
1832,2.841293600397421e-08,8.117981842303834e-09
1833,3.8225973497674204e-08,6.950177322551099e-09
1834,1.0267983796552471e-08,1.8669061851994684e-09
1835,4.689114518896531e-08,3.781543966852041e-09
1836,1.4785650037651976e-08,3.36037508930076e-09
1837,2.0177884252348122e-08,2.7831563720326358e-09
1838,2.840472923537618e-08,6.312161904276081e-09
1839,1.3982949909063791e-08,1.11863602825224e-08
1840,1.52872523528913e-08,9.554533164646273e-09
1841,2.0545755319290038e-08,0.0
1842,2.884553929050071e-08,7.379091560011375e-09
1843,4.7255287682901326e-08,6.497602011990011e-09
1844,4.281077892187568e-08,2.7442805805577564e-09
1845,2.622707206967334e-08,3.9061593959388574e-09
1846,2.6345255976778503e-08,1.7563504428608212e-08
1847,4.907833606182521e-08,1.1325769655456952e-08
1848,6.436177102386864e-08,9.65426583121598e-09
1849,5.111443002192573e-08,5.865590679832167e-09
1850,2.1724787302446202e-08,6.788996032014438e-10
1851,5.804495017969202e-08,5.8044946626978344e-09
1852,4.817803755940986e-08,3.2552727180501506e-09
1853,2.5679307569248522e-08,2.9859659189668264e-09
1854,2.286092382064453e-08,4.676098175337984e-09
1855,2.600399184871094e-08,1.0083180512765466e-08
1856,8.28350277259915e-09,7.765783571755946e-09
1857,1.513267733344037e-08,5.857811125054013e-09
1858,3.229826228690058e-08,7.34051397444091e-09
1859,1.3748868266105774e-08,1.5276520048956854e-09
1860,4.394096464466202e-08,6.408057640072684e-09
1861,3.8670901147952463e-08,1.4147891747029462e-09
1862,2.801151488540654e-08,3.162590411776023e-09
1863,5.494082755408414e-08,2.4973103585068657e-09
1864,2.205574922697906e-08,2.3973640850272204e-09
1865,3.247722446531043e-08,1.8827376990770972e-08
1866,1.3623716377253459e-08,9.731225825149181e-10
1867,2.038180824115443e-08,1.3102591012170706e-08
1868,1.0373735648272486e-08,1.2843672791973404e-08
1869,2.7347707209912642e-08,1.953407657850903e-09
1870,3.268407811063412e-08,6.307453670473251e-09
1871,2.86771781876638e-08,0.0
1872,4.7169248063028135e-08,1.0280476914203973e-08
1873,3.052862351804464e-08,2.3944017879529156e-09
1874,2.449589792119511e-08,1.1949218281515073e-09
1875,9.72659597309189e-09,9.154443425529735e-09
1876,2.418405919968336e-08,3.02300739996042e-09
1877,1.979141184271782e-08,9.895705588292003e-09
1878,2.0532901601200138e-08,1.2078177347163432e-09
