year,achetant_VERB en_ADP,achetant_VERB sans_ADP
1930,1.785612657734248e-08,1.0503603542488804e-09
1931,3.9918749195066994e-08,3.4216069977333063e-09
1932,1.9727165678773417e-08,3.287861094491973e-09
1933,3.4411986149507356e-08,2.2941324395731044e-09
1934,2.7557634396657704e-08,1.1981580172459871e-09
1935,4.188899271895252e-08,3.590485242455088e-09
1936,2.7886842612900864e-08,3.6374143697059935e-09
1937,4.65871372590243e-08,1.2591118148108649e-09
1938,3.241303758727554e-08,0.0
1939,3.976452944698394e-08,3.058810094103137e-09
1940,4.057252667166722e-08,0.0
1941,2.6563522936839945e-08,5.9030051957620344e-09
1942,3.944475324146879e-08,0.0
1943,2.9032351633873077e-08,0.0
1944,2.8918675454292497e-08,3.2131861615880553e-09
1945,6.099811145077183e-08,2.178504043826024e-09
1946,3.48027615615365e-08,2.7842208538686464e-09
1947,2.9802176726434482e-08,2.3841741914054637e-09
1948,1.522064252412747e-08,2.174377566888097e-09
1949,2.4542519905246252e-08,3.9268033269479474e-09
1950,2.6588404367089424e-08,1.0635361480382244e-09
1951,4.157946797977985e-08,1.0661401761424827e-09
1952,2.319856839960721e-08,0.0
1953,2.693456835345387e-08,4.3095309543161875e-09
1954,1.172704333640695e-08,3.9090144454689835e-09
1955,1.8771216581114913e-08,9.385607846468247e-10
1956,2.0058626093444332e-08,2.616342476002842e-09
1957,8.835037590415595e-09,3.534015080575159e-09
1958,3.391619751713648e-08,2.4816730892496253e-09
1959,2.4802393028267034e-08,2.325224457422337e-09
1960,1.314958364417862e-08,1.3841666701708277e-09
1961,1.528595028332802e-08,4.16889545107324e-09
1962,1.9025868547295488e-08,2.5367825617905737e-09
1963,6.466053470433053e-09,1.939815863494232e-09
1964,2.3119079872735426e-08,1.8251904432275978e-09
1965,2.0793764932136583e-08,5.47204326295514e-09
1966,2.2156299128717194e-08,4.431259803538978e-09
1967,1.8735275053582967e-08,4.437302081328198e-09
1968,1.6169096284102125e-08,2.6948494546985557e-09
1969,1.589615195030092e-08,4.541757636644661e-09
1970,1.7935027685211935e-08,9.197450023812337e-10
1971,1.284599360218408e-08,1.0276794970565106e-09
1972,1.6416469961200164e-08,2.0520587451500205e-09
1973,1.1577728109557484e-08,1.6539611902288698e-09
1974,1.63141580800108e-08,2.812785782069227e-09
1975,1.7134439644905797e-08,5.711480177694739e-09
1976,2.4568166168137395e-08,1.7140580066410394e-09
1977,3.2322301279918975e-08,5.876781838942691e-10
1978,3.564354777996215e-08,1.1881182704343018e-09
1979,3.0430262420999554e-08,1.1703946700691858e-09
1980,2.21720881654619e-08,3.97960553399912e-09
1981,2.4037088375283844e-08,3.1627747087981106e-09
1982,1.6760255405756652e-08,1.8622506869903077e-09
1983,3.0313516474755886e-08,1.2630632095778083e-09
1984,2.4355836458767044e-08,3.479405208395292e-09
1985,1.7445119127046382e-08,2.4062232206745193e-09
1986,1.7384007122700496e-08,5.994485463567401e-10
1987,2.627651163322753e-08,0.0
1988,2.218724931557503e-08,5.996553809062277e-10
1989,2.4147738031388144e-08,1.6464366536794728e-09
1990,2.8332985957391088e-08,1.089730194969718e-09
1991,2.2273568156538914e-08,2.344586080837985e-09
1992,1.5978838308061682e-08,2.2039776670368383e-09
1993,2.714211727594673e-08,1.661762283333701e-09
1994,2.0572214043390602e-08,5.274926606624319e-10
1995,2.7112254441519212e-08,2.7112254663563817e-09
1996,1.7615704228646223e-08,2.135236876199542e-09
1997,2.8769367332870388e-08,1.917957792585412e-09
1998,1.5258013519314773e-08,4.768129224785866e-10
1999,2.8792268125243936e-08,3.1991407301035224e-09
2000,2.78335989811751e-08,8.836062992401139e-10
2001,2.7601634533525043e-08,1.3143635069212678e-09
2002,2.0153618940366158e-08,8.76244299341522e-10
2003,2.4168153367476464e-08,2.9168460979889232e-09
2004,2.0262039879259675e-08,2.642874807889939e-09
2005,2.7022497239848065e-08,1.3511248786457486e-09
2006,1.6471560115860484e-08,8.235779835885637e-10
2007,2.2369084723417032e-08,0.0
2008,2.000996635054264e-08,8.514879357157668e-10
2009,2.2410505451375684e-08,4.76819250749827e-10
2010,1.7478034852747015e-08,9.447586046817946e-10
2011,2.1796640020665947e-08,3.823971805871906e-09
2012,2.4510619311968185e-08,1.3617010852229328e-09
2013,2.2034087943101355e-08,4.183687618564136e-09
2014,1.9922095001456697e-08,3.897801192920269e-09
2015,2.2830725934785967e-08,1.5516027351836215e-09
2016,1.615645245367503e-08,2.899876117012923e-09
2017,1.7609279368002717e-08,3.773417134311785e-09
2018,1.9360999858886174e-08,1.5488800242380307e-09
2019,1.7346716063570966e-08,2.04079020349468e-09
