year,faudrait_VERB avoir_VERB,faudrait_VERB savoir_VERB
1800,6.288328791015374e-07,2.200915076855381e-07
1801,3.143161109164794e-07,1.6906396638205479e-07
1802,4.520437073551875e-07,1.0741632650024258e-07
1803,2.8865019885415677e-07,6.241085515057421e-08
1804,4.770672603626736e-07,1.60670310833666e-07
1805,3.7810272601745964e-07,1.02343598484822e-07
1806,3.198652791525092e-07,1.0374009207225754e-07
1807,3.786450406551012e-07,5.4092147649953404e-08
1808,4.192236815470096e-07,1.5862518409903714e-07
1809,5.195770427235402e-07,1.400598961254218e-07
1810,4.563247273381421e-07,1.591286178381779e-07
1811,5.665993398906721e-07,1.4791753244480788e-07
1812,7.948280540404085e-07,1.7603574065105931e-07
1813,7.448171004398318e-07,1.782959770935122e-07
1814,7.803759558555612e-07,1.730672454236526e-07
1815,7.22855929780053e-07,1.0519171667056071e-07
1816,6.396586513801594e-07,1.1124498655590287e-07
1817,8.780766052041145e-07,1.977229260319291e-07
1818,9.441572501600604e-07,1.454383635746126e-07
1819,7.825393595339847e-07,1.7182742340082768e-07
1820,6.336700835163356e-07,2.17156610915481e-07
1821,1.0591238606139086e-06,2.790801261198794e-07
1822,8.511747751072107e-07,3.4387863934171037e-07
1823,5.613366056422819e-07,1.7690010167825676e-07
1824,5.675830152540584e-07,1.70106474683962e-07
1825,6.56005511245894e-07,1.893170207267758e-07
1826,6.192012733663432e-07,1.3211976579441398e-07
1827,6.45209127014823e-07,2.1844937236892292e-07
1828,7.888178856774175e-07,2.320592216165096e-07
1829,1.0064908337881207e-06,2.657684490259271e-07
1830,7.921558449197619e-07,3.214545358787291e-07
1831,1.0664384717529174e-06,3.274153357324394e-07
1832,9.687457804830046e-07,2.705994006646506e-07
1833,1.011250787996687e-06,2.548398262414153e-07
1834,7.953020144668699e-07,2.977715496399469e-07
1835,9.060579486686038e-07,2.2235478525090002e-07
1836,7.090391136443941e-07,2.2917757291907037e-07
1837,8.446879746770719e-07,2.6439985845172487e-07
1838,7.290547046068241e-07,2.1650714643328683e-07
1839,8.00523935140518e-07,1.712911483764401e-07
1840,7.923892439976044e-07,2.0828882441037422e-07
1841,9.078655693883775e-07,2.9341907747948426e-07
1842,8.257874242190155e-07,2.6229315608361503e-07
1843,8.990318747237325e-07,2.8530379836411157e-07
1844,7.826688488421496e-07,2.8595403023246035e-07
1845,7.817899358997238e-07,3.0691253982695343e-07
1846,8.770043109507242e-07,2.587689493793732e-07
1847,7.146021516746259e-07,2.702004939791891e-07
1848,7.683186709073198e-07,3.2744051736699475e-07
1849,6.954914510970411e-07,3.1506600195463363e-07
1850,6.035417641214735e-07,2.695231557936495e-07
1851,7.100832135620294e-07,3.0376855875147157e-07
1852,7.070452170410135e-07,2.6237498218506516e-07
1853,7.978500775607245e-07,2.7351447329238e-07
1854,6.899842333041306e-07,2.2029617241514643e-07
1855,7.716286631875846e-07,3.0408751072741325e-07
1856,6.580207241313474e-07,2.630012261306547e-07
1857,6.692549163744843e-07,2.4114655966522847e-07
1858,6.807103432038275e-07,2.2364099550031824e-07
1859,7.118858320609434e-07,2.8465248647080443e-07
1860,7.744595222902717e-07,2.677652446436696e-07
1861,8.092594043773715e-07,2.952193369765155e-07
1862,6.889928840791981e-07,2.8598853418770886e-07
1863,7.476947416762414e-07,3.785922615406889e-07
1864,7.029071298347844e-07,2.8864261025773885e-07
1865,8.19932267859258e-07,3.200654248303181e-07
1866,6.500458766822703e-07,2.588506049505668e-07
1867,7.507299528697331e-07,2.960215113034792e-07
1868,7.281374223566672e-07,2.43535794197669e-07
1869,7.83804807724664e-07,2.8422081754797546e-07
1870,6.525347657770908e-07,2.3853641550886096e-07
1871,5.682329629053129e-07,3.802381343120942e-07
1872,6.94234529419191e-07,3.168805733366753e-07
1873,6.255374387365009e-07,2.837366253061191e-07
1874,6.73935915074253e-07,2.9813298851877335e-07
1875,7.077529176058306e-07,3.2040551428691444e-07
1876,8.143982199726452e-07,3.9903696347209916e-07
1877,6.957918117223016e-07,3.438757687490579e-07
1878,6.697349590467638e-07,3.224873239560111e-07
1879,7.648875453014625e-07,3.0668812200929096e-07
1880,6.283071343204938e-07,2.663406064584706e-07
1881,7.460583333340765e-07,3.5071711756984314e-07
1882,6.908289833518211e-07,3.414212477181877e-07
1883,7.008146667430992e-07,3.2481401035511226e-07
1884,6.746934104739921e-07,3.4130772519347374e-07
1885,5.42722546015284e-07,3.815816285168694e-07
1886,5.846838462275628e-07,3.323533864785233e-07
1887,5.738924642173515e-07,3.146941764953226e-07
1888,6.048946374903608e-07,3.132263688421233e-07
1889,5.594766889771563e-07,3.1576288961332466e-07
1890,6.003817816235824e-07,3.2771931152142386e-07
1891,6.412465154426172e-07,3.308220186681865e-07
1892,5.741957238569739e-07,3.5855891744596136e-07
1893,6.146099735815369e-07,2.7897627319362073e-07
1894,5.419323656496999e-07,2.791581801275811e-07
1895,5.615367513200908e-07,3.051437531542689e-07
1896,5.920617240917636e-07,3.514629156597948e-07
1897,6.421038278858759e-07,3.513508204378013e-07
1898,6.252482194213371e-07,3.19131207016099e-07
1899,6.400935603778635e-07,3.4436813045601866e-07
1900,5.788024282082915e-07,3.161351399549872e-07
1901,5.259003046376165e-07,3.75004390207323e-07
1902,5.362030037758814e-07,2.916708581324201e-07
1903,5.373219096327375e-07,3.801754928645096e-07
1904,5.487492558131635e-07,3.4397601211821893e-07
1905,5.795532160846051e-07,3.653817373105994e-07
1906,5.920956596128235e-07,3.7243896089389494e-07
1907,6.063412456569495e-07,3.8674181968012533e-07
1908,5.947692329755228e-07,3.5312886792482345e-07
1909,5.522987294170889e-07,4.0487237984443425e-07
1910,5.060910552856512e-07,3.821067831033531e-07
1911,5.245888701210788e-07,3.405039592507819e-07
1912,5.48031096059276e-07,3.9435318005542896e-07
1913,5.674198746419279e-07,3.5848209656297314e-07
1914,5.84625752253487e-07,3.01353454468245e-07
1915,4.841893428420008e-07,4.0525821631831604e-07
1916,4.658683963043586e-07,3.406113191495308e-07
1917,4.430435467384086e-07,3.366692169493035e-07
1918,4.2269863342880853e-07,3.4229400291962975e-07
1919,5.220849743636791e-07,3.0846293430641936e-07
1920,5.391428885559435e-07,2.7941536018261104e-07
1921,5.740142796639702e-07,3.5137549225794373e-07
1922,5.385892904996581e-07,2.833127155099646e-07
1923,4.3525386672627064e-07,2.8450742206587165e-07
1924,4.615201589786011e-07,4.009295082596509e-07
1925,4.311285692892852e-07,3.266458747930301e-07
1926,5.32785406903713e-07,3.3661336740209435e-07
1927,5.630358828057069e-07,3.5008566756644655e-07
1928,4.776085233970662e-07,2.776528054138083e-07
1929,4.801515274266421e-07,3.2641392011534265e-07
1930,5.251801553640689e-07,2.898994543309996e-07
1931,4.664790935748897e-07,2.81712317473648e-07
1932,4.3947741801275697e-07,2.750843748344778e-07
1933,3.831201240700466e-07,2.695605532121448e-07
1934,4.576963590352534e-07,3.031339712578074e-07
1935,5.493442358783795e-07,3.1117539656122517e-07
1936,3.8435345572906954e-07,2.728060635170948e-07
1937,3.978793472469988e-07,2.5182237095577875e-07
1938,4.5637554535460367e-07,2.917173276273388e-07
1939,4.3435102270450443e-07,2.661164728579024e-07
1940,3.676885285130993e-07,2.9668660572745864e-07
1941,3.984528404998855e-07,2.7744124508899404e-07
1942,4.4602913362723484e-07,3.0038696752221483e-07
1943,4.5290468619896274e-07,3.396785075437947e-07
1944,3.7272960184964177e-07,3.1167905767404136e-07
1945,4.2045127202072763e-07,3.2895410395639146e-07
1946,4.4686746036859404e-07,3.229696288187256e-07
1947,4.374959701181069e-07,3.6835491834530387e-07
1948,3.587722972042684e-07,3.34854155958908e-07
1949,3.789365337070194e-07,3.2199787525222234e-07
1950,3.403315531613771e-07,3.360774232241681e-07
1951,3.699506407883746e-07,3.315695904504423e-07
1952,3.711770943937154e-07,3.4481507560357727e-07
1953,4.1263757566412096e-07,3.2752436629479575e-07
1954,3.752653867650224e-07,3.4106152213553287e-07
1955,4.054582518620009e-07,3.0878648971111033e-07
1956,3.723927477494726e-07,2.860534313864349e-07
1957,3.825571184279397e-07,2.9332324391617703e-07
1958,3.7307816569409624e-07,2.8291072196040545e-07
1959,4.0846441606845474e-07,3.3483231565156757e-07
1960,3.571149989056721e-07,3.059008426564702e-07
1961,3.967398924942245e-07,3.4045980878971704e-07
1962,3.982748637554323e-07,3.538811670367181e-07
1963,3.9184283195936587e-07,3.045511114407873e-07
1964,4.161434219440707e-07,3.1575794595672946e-07
1965,4.2955539925060293e-07,3.080760357931922e-07
1966,3.738875591352553e-07,3.2680540540397374e-07
1967,3.9146863173300517e-07,3.229369749391253e-07
1968,4.248879292845231e-07,3.346104819890172e-07
1969,4.328295233335666e-07,3.2291897733571773e-07
1970,4.428572140113829e-07,3.2604959265825073e-07
1971,3.9360125470011553e-07,3.0676232576354323e-07
1972,3.519280653563328e-07,2.852361715710572e-07
1973,3.704872995058395e-07,3.2362505830718646e-07
1974,3.2853338893801265e-07,3.369717367363023e-07
1975,3.06706482433583e-07,2.810048260748488e-07
1976,3.2338562050426845e-07,3.171007376678858e-07
1977,3.367395891018532e-07,2.885499768012778e-07
1978,3.190097572769446e-07,2.584157350327132e-07
1979,3.195177384895942e-07,2.7796873514063236e-07
1980,3.1609437201041146e-07,2.490096076002146e-07
1981,3.1564491109747905e-07,2.814869599632175e-07
1982,3.159618700010469e-07,2.625773571907075e-07
1983,3.043982417239022e-07,2.671378749319331e-07
1984,2.9690923497582844e-07,2.969092278704011e-07
1985,2.875436848626123e-07,2.4363010364680804e-07
1986,3.0751709800824756e-07,2.823402560636623e-07
1987,2.6337619374317e-07,2.175450761754405e-07
1988,2.584514788850356e-07,2.296680174929122e-07
1989,2.925169155787444e-07,2.3708688257073618e-07
1990,2.5608659370846e-07,2.0868333105994452e-07
1991,2.672828145477979e-07,2.21563381863632e-07
1992,2.413355559838237e-07,2.1598981447823462e-07
1993,2.819456597080716e-07,2.005193140419692e-07
1994,3.1702307978775934e-07,2.4422909739030274e-07
1995,2.65700094814747e-07,2.006306782931233e-07
1996,2.562284180385177e-07,1.90569894087389e-07
1997,2.5364991529386316e-07,2.191266732509689e-07
1998,2.43174582692518e-07,2.1790349968853207e-07
1999,2.764971611668443e-07,2.1662753191264983e-07
2000,2.606638531688077e-07,2.217851768904211e-07
2001,2.589296173027833e-07,2.0986004489742527e-07
2002,2.4491026806572336e-07,1.6648641398830932e-07
2003,2.2501383512008033e-07,1.962620759243805e-07
2004,2.6516843831814185e-07,2.0922758103836259e-07
2005,2.5356109745189315e-07,2.0537098599504588e-07
2006,2.3554329686703568e-07,1.9889408431339461e-07
2007,2.5444833795518207e-07,2.2289196088820518e-07
2008,2.3756513201078633e-07,2.0861454963494452e-07
2009,2.3030369789012184e-07,2.3173415275579146e-07
2010,2.1540496675243048e-07,2.3335538301694214e-07
2011,2.1223044655016565e-07,2.4970536927071407e-07
2012,2.4612748461549927e-07,2.7744658837036695e-07
2013,2.4460626946165576e-07,2.8337510471487803e-07
2014,3.0900903880137776e-07,3.3174618963016655e-07
2015,3.0876896062181913e-07,3.050007855165404e-07
2016,3.2457899123983225e-07,2.843949822306513e-07
2017,2.0225515129368432e-07,2.6187514379216736e-07
2018,2.4756266725489695e-07,2.9531978995578356e-07
2019,2.709149100610375e-07,2.778025631755554e-07
