year,étant_VERB avant_ADP,étant_VERB savants_ADJ,etant_VERB avant_ADP
1800,6.288328968651058e-09,0.0,0.0
1801,1.4287095950749062e-08,0.0,0.0
1802,0.0,0.0,0.0
1803,3.900678446910888e-09,0.0,0.0
1804,3.9549615138412264e-08,0.0,0.0
1805,0.0,0.0,0.0
1806,8.645007376628655e-09,0.0,0.0
1807,8.540865792383556e-09,0.0,0.0
1808,2.2660739062985158e-08,0.0,0.0
1809,6.7770917766551975e-09,0.0,0.0
1810,3.2761775514700275e-08,0.0,0.0
1811,0.0,0.0,0.0
1812,0.0,0.0,0.0
1813,2.8757416448144113e-09,0.0,0.0
1814,1.5733386149463513e-08,0.0,1.2586708564299443e-08
1815,0.0,0.0,0.0
1816,2.3176038865813098e-09,0.0,0.0
1817,3.113746815941454e-09,0.0,0.0
1818,3.2187177367859476e-08,0.0,0.0
1819,2.070210003424222e-09,0.0,0.0
1820,8.306536791735653e-09,0.0,0.0
1821,8.875339574387908e-09,0.0,9.86148829262845e-10
1822,3.0076847679083585e-09,0.0,0.0
1823,4.941343334508019e-09,0.0,0.0
1824,5.894778887238772e-09,0.0,0.0
1825,1.7610886970942374e-08,0.0,0.0
1826,2.2019960965735663e-08,0.0,0.0
1827,9.217273166939322e-09,0.0,0.0
1828,1.1006761724274838e-08,0.0,0.0
1829,8.573175946935407e-09,0.0,0.0
1830,2.0873670791843324e-08,0.0,0.0
1831,2.182768810143898e-08,0.0,0.0
1832,8.117981842303834e-09,0.0,0.0
1833,1.7375443306377747e-08,0.0,0.0
1834,9.334530925997342e-10,0.0,0.0
1835,1.739510224751939e-08,0.0,0.0
1836,1.2769425516978572e-08,0.0,6.720750067579218e-10
1837,7.653680356156656e-09,0.0,0.0
1838,1.199310784016916e-08,0.0,0.0
1839,5.5931801412612e-09,0.0,0.0
1840,1.2102408852854296e-08,0.0,0.0
1841,4.1091509750401656e-08,0.0,0.0
1842,1.609983613093391e-08,0.0,0.0
1843,1.1813821920725331e-08,0.0,0.0
1844,6.037417232818143e-09,0.0,0.0
1845,2.287893430263921e-08,0.0,0.0
1846,1.5807152919933287e-08,0.0,0.0
1847,2.7505439703645607e-08,0.0,0.0
1848,1.367687652020777e-08,0.0,0.0
1849,2.5976186535103807e-08,0.0,0.0
1850,6.85688590351674e-08,0.0,0.0
1851,1.6768540334055615e-08,6.449438760824933e-10,0.0
1852,1.9531637196479323e-08,0.0,0.0
1853,2.7470886010405593e-08,0.0,2.9859659189668264e-09
1854,2.4939190268469247e-08,0.0,0.0
1855,3.92713346286655e-08,0.0,0.0
1856,2.1226476576430287e-08,0.0,0.0
1857,1.6597130780837688e-08,0.0,0.0
1858,3.1808895073481835e-08,0.0,0.0
1859,2.2914779407301467e-08,0.0,0.0
1860,2.654766673160225e-08,4.577183909670879e-10,1.373155145145688e-09
1861,2.263662679524714e-08,0.0,0.0
1862,2.936691156918414e-08,9.035972525772706e-10,0.0
1863,3.795911851511846e-08,0.0,4.994620828036034e-10
1864,2.4932585773740357e-08,0.0,0.0
1865,2.6358328852893465e-08,0.0,0.0
1866,3.551897559406214e-08,0.0,0.0
1867,4.561642619194117e-08,0.0,0.0
1868,2.9145257207652264e-08,0.0,0.0
1869,3.125452141539142e-08,0.0,0.0
1870,2.408300403544672e-08,0.0,0.0
1871,5.8416475656741795e-08,0.0,0.0
1872,6.652073336610442e-08,0.0,0.0
1873,2.6937019725892242e-08,0.0,0.0
1874,4.719941060216115e-08,0.0,0.0
1875,6.122034079680816e-08,2.2886108563824337e-09,0.0
1876,5.078652520751348e-08,0.0,6.04601479992084e-10
1877,7.421779457672528e-08,0.0,0.0
1878,7.488469744298953e-08,0.0,0.0
1879,3.115755986549118e-08,0.0,0.0
1880,5.647704637290474e-08,0.0,0.0
1881,6.902782218043413e-08,0.0,0.0
1882,5.657077251086662e-08,0.0,2.6621540527571597e-09
