year,menant_VERB en_ADP
1800,1.8864987794131594e-08
1801,6.429193177837078e-08
1802,8.951360541686881e-08
1803,1.755305234496518e-08
1804,2.7190360185613827e-08
1805,2.2743021466098412e-08
1806,0.0
1807,3.4163461837266595e-08
1808,8.157866693281335e-08
1809,4.51806094758922e-08
1810,3.978215445954447e-08
1811,5.0141537144554604e-08
1812,4.267533171287141e-08
1813,4.888760685162197e-08
1814,5.349351184236184e-08
1815,4.8550024445148665e-08
1816,6.952811659743929e-09
1817,3.113746771532533e-08
1818,1.1921176934492905e-08
1819,3.8298885840504227e-08
1820,6.051905643289501e-08
1821,8.480879643002481e-08
1822,4.110502516141423e-08
1823,2.3718449426723964e-08
1824,2.3579115548955087e-08
1825,5.107157008410468e-08
1826,8.631824499616414e-08
1827,5.8990548168491586e-08
1828,4.2192584204236994e-08
1829,1.800366966620004e-08
1830,1.1480518979922749e-08
1831,8.419251429359065e-08
1832,2.3000948701223933e-08
1833,5.096796640291501e-08
1834,2.240287422239362e-08
1835,5.067268915581735e-08
1836,7.392824946661491e-08
1837,5.1488392993626064e-08
1838,4.9234863297442644e-08
1839,2.9364196407755117e-08
1840,3.7581162348754305e-08
1841,3.467096121312352e-08
1842,2.683305977413397e-08
1843,2.6581099155098542e-08
1844,4.006649811927332e-08
1845,4.51998474204629e-08
1846,2.8101606375230404e-08
1847,3.66739207890987e-08
1848,3.620349886546137e-08
1849,1.1731181359664333e-08
1850,3.1229383523623255e-08
1851,2.644269869733762e-08
1852,4.101643513720887e-08
1853,3.941475057445132e-08
1854,2.6497888327980945e-08
1855,4.2455496895854594e-08
1856,4.40061072026765e-08
1857,4.442173395791116e-08
1858,2.985142433242771e-08
1859,2.1387128512628806e-08
1860,3.3413442679375294e-08
1861,4.621644578151063e-08
1862,1.536115412648087e-08
1863,3.096664968893492e-08
1864,3.212467802882202e-08
1865,4.142022863584671e-08
1866,2.4814625021463144e-08
1867,3.688136729351754e-08
1868,2.420538258718352e-08
1869,3.027781803055518e-08
1870,2.2936195609446486e-08
1871,2.2304471603007414e-08
1872,2.4189358072135292e-08
1873,3.7711828326791874e-08
1874,3.2262889249068394e-08
1875,3.6617774923364266e-08
1876,1.4510435519810017e-08
1877,2.5357745014886746e-08
1878,3.5026715750063886e-08
1879,3.4823152361695975e-08
1880,2.3746031363458542e-08
1881,1.2550513517339823e-08
1882,4.7253235768707214e-08
1883,2.8437025456629073e-08
1884,2.0465261485469455e-08
1885,3.8029249083137984e-08
1886,5.1627710329071874e-08
1887,3.32975160777238e-08
1888,2.7264642987745447e-08
1889,2.7566601445982997e-08
1890,4.71915815314361e-08
1891,2.422203548846369e-08
1892,2.193979309339511e-08
