year,priant_VERB en_ADP
1800,1.5720821977538435e-08
1801,2.6193007984787187e-08
1802,5.594600338554301e-08
1803,4.8758479920252285e-08
1804,4.696516864299838e-08
1805,3.695740913300938e-08
1806,5.76333825108577e-08
1807,5.124519120158766e-08
1808,4.758755522971114e-08
1809,1.581321384946932e-08
1810,1.1700633351097167e-08
1811,1.504245972228091e-08
1812,1.0668832928217853e-08
1813,3.738464116054274e-08
1814,1.8880061958270744e-08
1815,4.8550024445148665e-08
1816,7.416332437060191e-08
1817,2.1796227045456362e-08
1818,4.530047448270125e-08
1819,3.5193570058211776e-08
1820,3.5599445169509636e-08
1821,4.141825016290568e-08
1822,4.8122956286533736e-08
1823,5.0401705031788424e-08
1824,7.242156829789792e-08
1825,2.8177417732422327e-08
1826,2.3781558056157337e-08
1827,3.133872955585204e-08
1828,2.843413443587295e-08
1829,4.6295149047637096e-08
1830,4.4878393001823724e-08
1831,5.924658252887127e-08
1832,4.464889968858188e-08
1833,6.370995642157595e-08
1834,5.3206826944318664e-08
1835,7.184933537018878e-08
1836,8.132107787162113e-08
1837,5.705470584871364e-08
1838,3.9135402474244074e-08
1839,9.927894950578775e-08
1840,7.197748175258312e-08
1841,9.50241214603409e-08
1842,4.22620693996123e-08
1843,7.265500556741245e-08
1844,3.787107161201675e-08
1845,6.752075876192976e-08
1846,6.557041842825129e-08
1847,5.8786138623645456e-08
1848,6.999342616609283e-08
1849,7.541473623362549e-08
1850,4.752297044774423e-08
1851,5.675506131730401e-08
1852,3.7761165305738587e-08
1853,5.1358614694407834e-08
1854,7.793496675789768e-08
1855,7.164365101175463e-08
1856,5.9019956644146276e-08
1857,7.615153951867626e-08
1858,7.340513785702996e-08
1859,6.670747132453414e-08
1860,4.668727723866617e-08
1861,6.413710862407385e-08
1862,5.1053245186949425e-08
1863,4.295374039786637e-08
1864,7.671564639100126e-08
1865,3.671338749677844e-08
1866,6.714545985886389e-08
1867,4.658699026549584e-08
1868,5.3844627534438416e-08
1869,6.44624527090798e-08
1870,4.12851512976431e-08
1871,5.523012092112367e-08
1872,5.503078881474721e-08
1873,4.848663709422496e-08
1874,7.289023251644267e-08
1875,2.3458261777520306e-08
1876,4.0508297605157395e-08
1877,5.25709373810912e-08
1878,3.079935129157718e-08
1879,4.704180311954076e-08
1880,5.840239936105718e-08
1881,4.671580078330351e-08
1882,5.1246464183307694e-08
1883,4.676310894069502e-08
1884,3.3668655419205606e-08
1885,3.54509970268424e-08
1886,2.5168509498740832e-08
1887,3.656197794521532e-08
1888,2.8532765483646472e-08
1889,4.6362010841516366e-08
1890,5.046877760150892e-08
