year,parlant_VERB en_ADP
1800,1.7292904752608251e-07
1801,3.0955372665175673e-07
1802,4.0057338424048794e-07
1803,1.9503391857078611e-07
1804,2.5707248596518184e-07
1805,2.331159758561796e-07
1806,2.3053353626067974e-07
1807,2.2490945994491085e-07
1808,1.5182696255777728e-07
1809,1.6265019753269883e-07
1810,1.8018975822542416e-07
1811,2.4820059252306237e-07
1812,2.2671270283325384e-07
1813,2.5306526652002503e-07
1814,2.5173416240420465e-07
1815,2.1038343334112142e-07
1816,2.1785476178592944e-07
1817,2.895784583234473e-07
1818,3.2902449920158006e-07
1819,2.732677195638189e-07
1820,3.144617419792439e-07
1821,3.7375040840004203e-07
1822,2.6367369798663276e-07
1823,3.4194096265594e-07
1824,3.444235145977359e-07
1825,3.222792086532422e-07
1826,2.9770988418942324e-07
1827,2.3964910234042236e-07
1828,2.045423124208412e-07
1829,2.0318427118581894e-07
1830,3.068429634822678e-07
1831,2.5725489649630617e-07
1832,3.206602769978417e-07
1833,2.096636748660785e-07
1834,1.6335429275926572e-07
1835,3.0630507552587005e-07
1836,4.328163001332541e-07
1837,3.4371981705305643e-07
1838,2.486991868000388e-07
1839,2.53790554793909e-07
1840,2.9427962733308277e-07
1841,3.036919515864156e-07
1842,2.85101279029476e-07
1843,2.6049477774847674e-07
1844,2.705860739915522e-07
1845,2.996582306735718e-07
1846,2.810160757427127e-07
1847,2.1788623261187468e-07
1848,2.2848429237498635e-07
1849,2.1032331520842718e-07
1850,2.525506523909371e-07
1851,2.7087642617829033e-07
1852,3.125061880382418e-07
1853,3.2547029227281143e-07
1854,3.7304871280952057e-07
1855,3.3964397516683675e-07
1856,3.479071040146664e-07
1857,3.080232233720892e-07
1858,3.768130607539888e-07
1859,3.610350853833211e-07
1860,2.9614380103737403e-07
1861,3.121967973029882e-07
1862,2.4803745279911027e-07
1863,3.2315195852561374e-07
1864,2.824094886832995e-07
1865,2.9558983438704445e-07
1866,2.933964466933503e-07
1867,2.843747619607484e-07
1868,2.988623801769563e-07
1869,2.744537770382749e-07
1870,3.0505140458103597e-07
1871,2.3366590440332402e-07
1872,3.211137169500944e-07
1873,2.2866537108257035e-07
1874,2.5511581469572775e-07
1875,2.7634976618173823e-07
1876,2.58769427219363e-07
1877,2.603807516265988e-07
1878,3.0557787855656215e-07
1879,3.323472910210512e-07
1880,2.573556274754196e-07
1881,3.263133461217649e-07
1882,2.682120241459529e-07
1883,2.8373831817418704e-07
1884,2.475636353693744e-07
1885,2.655601782919348e-07
1886,2.3426074235999295e-07
1887,2.3047104047435596e-07
1888,2.22555582851669e-07
1889,2.3243657132354656e-07
1890,1.9990878108444576e-07
1891,2.460448946806082e-07
1892,1.9432387787787775e-07
1893,2.3463566556358728e-07
1894,2.2433480317829435e-07
1895,2.136608170388854e-07
1896,2.4531640541169963e-07
1897,2.1325771371039082e-07
1898,2.2916337361067463e-07
1899,2.1723382737093289e-07
1900,1.8999254791651765e-07
1901,2.3640365576227396e-07
1902,1.870818095994764e-07
1903,2.6137066555520505e-07
1904,2.327212662578404e-07
1905,2.1571973540801537e-07
1906,2.4177668045410883e-07
1907,2.3348509259335515e-07
1908,2.1560998142433618e-07
1909,2.0793717148137603e-07
1910,2.1323161547570635e-07
1911,2.027062562248716e-07
1912,2.458846761754785e-07
1913,2.449981213459296e-07
1914,2.5715496398959203e-07
1915,2.8745059310608667e-07
1916,2.8457527534442306e-07
1917,3.081565118634444e-07
1918,3.078348722596047e-07
1919,2.3848327401765346e-07
1920,3.104615053928228e-07
1921,2.6580342726845174e-07
1922,3.5340310589049295e-07
1923,2.9087699182639426e-07
1924,2.8361573356505687e-07
1925,2.5955699456403636e-07
1926,2.897995940998044e-07
1927,3.9133778528821495e-07
1928,2.5251551605265377e-07
1929,7.753722677250607e-07
1930,2.2057566795297134e-07
1931,2.794312408127553e-07
1932,2.707005535285134e-07
1933,2.615310989995123e-07
1934,2.5400949965614927e-07
1935,2.2261007970314495e-07
1936,2.3643194069222773e-07
1937,2.732272648131584e-07
1938,2.4374602602961204e-07
1939,2.4470480752825097e-07
1940,2.510425112234316e-07
1941,2.508777274812246e-07
1942,2.548737878527163e-07
1943,2.206458766806918e-07
1944,1.9921753491303207e-07
1945,2.692631049683314e-06
1946,3.0626430103097846e-07
1947,3.433210977732415e-07
1948,2.9571535620220857e-07
1949,2.4051670699520855e-07
1950,3.0948902107752474e-07
1951,2.995853840559448e-07
1952,3.079082802059929e-07
1953,2.4456588221255515e-07
1954,2.706992461298796e-07
1955,2.853224785326347e-07
1956,2.6076213188730435e-07
1957,2.3059448395201798e-07
1958,2.614028851155581e-07
1959,2.9065305540143527e-07
1960,2.844462585471774e-07
1961,2.8209527513922694e-07
1962,2.752409145045931e-07
1963,2.761004687101831e-07
1964,2.9689766734009027e-07
1965,2.8782949001993074e-07
1966,3.151733487527508e-07
1967,2.6180082102200686e-07
1968,2.6140039999233977e-07
1969,2.765930524617488e-07
1970,2.4327254877221094e-07
1971,3.0059626254796967e-07
1972,2.559943332869352e-07
1973,2.2163079904657934e-07
1974,2.2221007611733512e-07
1975,2.296015075842206e-07
1976,2.3539731053290325e-07
1977,2.1685325179987558e-07
1978,2.3465336163042139e-07
1979,2.697759793335308e-07
1980,2.450299980694126e-07
1981,2.4859410174826735e-07
1982,2.51403839968134e-07
1983,2.1156308172010085e-07
1984,2.499372637743136e-07
1985,2.1836475383452125e-07
1986,1.9841746556892303e-07
1987,2.1998940624712304e-07
1988,1.9368868997560185e-07
1989,1.9812120832796154e-07
1990,1.9942062756683754e-07
