year,jetant_VERB en_ADP,jetant_VERB sans_ADP
1800,1.2262241000371432e-07,0.0
1801,8.334139067756041e-08,2.6193008650921e-08
1802,8.951360541686881e-08,4.2518962573012686e-08
1803,1.560271414291492e-07,2.145373123596528e-08
1804,1.3842365831351344e-07,1.9774807569206132e-08
1805,6.538618890772341e-08,3.4114531644036106e-08
1806,8.645007198992971e-08,2.881669125542885e-09
1807,9.964342950752325e-08,8.540865792383556e-09
1808,9.064295625194063e-08,9.064295980465431e-09
1809,7.228897658251299e-08,4.518061036407062e-09
1810,1.4742798271072388e-07,2.106114038724627e-08
1811,8.273353557797236e-08,1.2535384286138651e-08
1812,5.067695596494559e-08,2.1337665856435706e-08
1813,7.189353823378042e-08,0.0
1814,2.2970742463712668e-07,1.2586708564299443e-08
1815,7.282503844407984e-08,1.3486118000116676e-08
1816,6.025770460382773e-08,3.476405652236281e-08
1817,1.9460917466407324e-07,6.227493631882908e-09
1818,1.0729059596314983e-07,2.384235475716423e-09
1819,8.487860725381324e-08,9.315945348475907e-09
1820,9.01852530432734e-08,4.746592452420373e-09
1821,9.072569184809254e-08,8.875339574387908e-09
1822,7.519211919770896e-08,1.0025615893027862e-09
1823,1.571347244544441e-07,4.941343334508019e-09
1824,1.2800091031550664e-07,9.263223965660927e-09
1825,1.1975402425257187e-07,2.3774695989686734e-08
1826,1.4973573569943e-07,1.6735169694470642e-08
1827,1.4194600339578756e-07,8.295545583791863e-09
1828,9.630916270042533e-08,2.7516904310687096e-09
1829,1.2602568233432976e-07,1.457439946506156e-08
1830,1.315041373572967e-07,5.218417697960831e-09
1831,7.951515357262906e-08,3.1182412207897414e-09
1832,1.0688675899928057e-07,1.488296597074168e-08
1833,1.1120283061050174e-07,6.950177322551099e-09
1834,1.2414926686687977e-07,2.4269779741459274e-08
1835,1.2630356138743082e-07,1.1344631900556124e-08
1836,1.0417162599196672e-07,3.1587525484155776e-08
1837,1.3359149875213916e-07,1.3915782304252389e-08
1838,1.1046283532323287e-07,1.5149188570262595e-08
1839,1.3843121005052694e-07,2.7266752411492234e-08
1840,8.599079848181646e-08,2.293087852933695e-08
1841,8.603534951134861e-08,1.2841097074556274e-08
1842,1.0666141347925873e-07,1.7441490030023488e-08
1843,8.624090352959968e-08,5.31621990873532e-09
1844,1.1196664667645351e-07,1.6465683927435748e-08
1845,1.2722919962016022e-07,1.4508592549589139e-08
1846,1.229445274475438e-07,4.6836010625384006e-09
1847,9.653870591819214e-08,9.168480197274675e-09
1848,1.0297883790144624e-07,2.413566457803995e-09
1849,1.4161211669971863e-07,2.6814127807028854e-08
1850,9.029364367307835e-08,6.1100964288129944e-09
1851,8.771236537086224e-08,2.579775504329973e-09
1852,1.0872611100332108e-07,5.208436348880241e-09
1853,7.644072752555076e-08,1.1943863675867306e-08
1854,9.040456139253195e-08,1.6626126253527218e-08
1855,1.0401596739484376e-07,1.8574279891936385e-08
1856,9.9919752472033e-08,1.1907535402144731e-08
1857,8.005675150579705e-08,1.0739319655783675e-08
1858,1.2087379275271815e-07,2.104280660830682e-08
1859,1.2475824462399032e-07,2.189634473737101e-08
1860,1.1488731485598258e-07,2.4716793944890014e-08
1861,1.1789909137860377e-07,1.886385503357957e-08
1862,1.088834694074059e-07,6.325180823552046e-09
1863,1.1437681762815899e-07,3.2465035659789976e-08
1864,1.016482314986078e-07,8.151037511616721e-09
1865,1.035505761137756e-07,6.118897832863013e-09
1866,7.541699886814968e-08,1.556996132023869e-08
1867,7.667442503134225e-08,1.552899675516528e-08
1868,1.1164115676365327e-07,1.975949626142892e-09
1869,9.474027207190261e-08,7.813630631403612e-09
1870,1.0435968622601877e-07,1.6055336615750093e-08
1871,1.0621177182201791e-07,1.6993883633631413e-08
1872,1.1489944995446422e-07,2.4794090336399677e-08
1873,1.3408649868207334e-07,1.4366410283628284e-08
1874,8.78267527593124e-08,1.1351757756017378e-08
1875,5.950388154429831e-08,4.005069165202713e-09
1876,8.524880712457161e-08,2.6602464231473277e-08
1877,9.091679231687522e-08,1.0514186854493346e-08
1878,9.904105269242791e-08,8.4547240319921e-09
1879,1.1729904514368172e-07,1.649517855639715e-08
1880,8.214843205678335e-08,1.7969970400599777e-08
1881,8.924809691279734e-08,2.022027167924989e-08
1882,9.517200538766701e-08,9.317538740560849e-09
1883,9.163041170268116e-08,2.5277355319985872e-08
1884,1.0628731939021918e-07,3.498899303622238e-08
1885,8.637151804880006e-08,5.156508553483263e-09
1886,1.0067403621860649e-07,5.808117542471791e-09
1887,6.985949596582941e-08,5.223139698529167e-09
1888,9.70114015785839e-08,1.3949351895803375e-08
1889,1.0525429389174334e-07,1.2530273707511697e-08
1890,8.848421784168892e-08,3.9326319978272295e-09
1891,5.4818293904190796e-08,7.649063604731055e-09
1892,8.963972675246623e-08,8.149066310636499e-09
1893,5.173069794750518e-08,9.23762488724833e-09
1894,9.011201029807125e-08,8.822155450616265e-09
1895,9.930714117700745e-08,3.611168697403855e-09
1896,1.1027443924671587e-07,1.47425724961181e-08
1897,9.55581029860042e-08,1.2818770045441852e-08
1898,4.583267454449924e-08,1.3014216482254426e-08
1899,8.512470728305743e-08,1.1607914629507832e-08
1900,8.409506035977898e-08,8.305684695564253e-09
1901,9.165532022237244e-08,8.38310842965484e-09
1902,5.9414433373206066e-08,8.838511256215043e-09
1903,8.424343422852587e-08,1.2420506401156217e-08
1904,7.094504894666898e-08,5.374625189347171e-09
1905,6.708986854953025e-08,2.0643036169332163e-09
1906,4.83553357355504e-08,1.1317205839134203e-08
1907,6.53141114526079e-08,5.142843484406967e-09
1908,4.7640472899956876e-08,2.4556945366072114e-09
1909,5.4459736276157855e-08,1.4302557360679202e-08
1910,7.37492819036234e-08,4.809735720812114e-09
1911,5.958818860563042e-08,9.576673676292558e-09
1912,6.459682211357176e-08,6.251305251225858e-09
1913,4.613600879110891e-08,5.833288518886093e-09
1914,6.495841581299899e-08,4.018046340092951e-09
1915,6.715034550630605e-08,1.1780762143587253e-08
1916,5.3838564495478636e-08,4.394984820521586e-09
1917,7.457168749169796e-08,7.676496771580332e-09
1918,8.385054428572403e-08,9.189101035644853e-09
1919,6.537572261322566e-08,6.445493971884986e-09
1920,6.96645301445642e-08,1.2115570768855832e-08
1921,7.042655170153012e-08,9.087297137000405e-09
1922,7.525494127857968e-08,1.9182632371439468e-08
1923,6.157249998750558e-08,7.431163684401554e-09
1924,7.99280747143527e-08,1.289162443462999e-09
1925,7.698724568960813e-08,1.4297631523163545e-08
1926,6.57622148958481e-08,3.343841648018042e-09
1927,8.138934504131612e-08,6.689535148041159e-09
1928,5.9415413034002995e-08,5.713020723163709e-09
1929,6.684243802901335e-08,6.684243825105796e-09
1930,4.621585603103995e-08,9.453243521306831e-09
1931,7.29942852828458e-08,3.4216069977333063e-09
1932,6.685317543997371e-08,1.8631212239661465e-08
1933,6.194157720074145e-08,1.261772819560747e-08
1934,5.511526879331541e-08,9.585264137967897e-09
1935,3.949533677882755e-08,8.377798899061872e-09
1936,5.092380250815154e-08,6.0623572828433225e-09
1937,5.414180748175568e-08,1.1332006444320086e-08
1938,4.6674770715071645e-08,5.186085783037697e-09
1939,5.199976982339649e-08,1.070583532936098e-08
1940,4.564409294971483e-08,2.0286263113789005e-08
1941,3.836953510472085e-08,1.7709015143196893e-08
1942,5.158160010232393e-08,6.068423541449874e-09
1943,2.9032351633873077e-08,5.806470415592457e-09
1944,5.7837350908584995e-08,3.2131861615880553e-09
1945,6.099811145077183e-08,0.0
1946,5.707652839248567e-08,4.1763312808029696e-09
1947,6.914105021849082e-08,9.536696765621855e-09
1948,5.870819563824625e-08,1.522064252412747e-08
