year,fallait_VERB avoir_VERB,fallait_VERB savoir_VERB
1800,5.502287763192726e-07,6.60274537267469e-08
1801,4.738553229799436e-07,1.0000967165524344e-07
1802,2.64065135979763e-07,9.175144555229053e-08
1803,2.4379241381211614e-07,1.0336798084153997e-07
1804,5.06729463722877e-07,2.2741028260497842e-07
1805,3.610454655245121e-07,6.822906328807221e-08
1806,3.227469278499484e-07,9.221341201737232e-08
1807,5.580031938734464e-07,7.686778502602465e-08
1808,4.260218986473774e-07,2.2660739062985158e-08
1809,4.563241589039535e-07,1.6265019553429738e-07
1810,3.9548143604406505e-07,3.7442028144596406e-08
1811,5.966842877569434e-07,1.0028307428910921e-07
1812,4.640942279365845e-07,2.6672083208723052e-08
1813,6.959294864827825e-07,2.01301915581098e-07
1814,5.380817924560688e-07,2.2656075771010364e-07
1815,6.797003493375087e-07,1.0519171667056071e-07
1816,5.330488761501329e-07,1.5991466284503986e-07
1817,7.92448588526895e-07,1.1832237589715078e-07
1818,5.710243726753106e-07,1.4424624339426373e-07
1819,5.931151463300921e-07,1.2731791798614722e-07
1820,5.90950776313548e-07,1.38837833674188e-07
1821,8.224481007346185e-07,1.64686852599516e-07
1822,6.787341817471315e-07,1.5539704634193185e-07
1823,7.174830898293294e-07,1.4824030358795426e-07
1824,6.147412250356865e-07,1.5579058754155994e-07
1825,7.48462639421632e-07,1.8051157724130462e-07
1826,5.672341671925096e-07,1.3211976579441398e-07
1827,6.912954972904117e-07,1.98171363763322e-07
1828,5.695999334420776e-07,1.403362119845042e-07
1829,8.813224781079043e-07,2.357623429816158e-07
1830,8.307721373057575e-07,1.4820307114860043e-07
1831,6.719809562127921e-07,1.5279381671007286e-07
1832,8.10445158094808e-07,2.4624543470963545e-07
1833,6.996511388024373e-07,2.2240567432163516e-07
1834,6.272804853324487e-07,2.1749457346231793e-07
1835,7.411825890812906e-07,2.026907566232694e-07
1836,5.813448638036789e-07,1.7339534963412007e-07
1837,8.168564136212808e-07,1.6351043541362742e-07
1838,7.650340307918668e-07,2.3481241839817812e-07
1839,6.676858674836694e-07,1.3563462175625318e-07
1840,7.605408427480143e-07,1.7898824467010854e-07
1841,7.608350074406189e-07,1.8876413321322616e-07
1842,7.540089654867188e-07,2.696722560813214e-07
1843,6.88745842580829e-07,1.730724932258454e-07
1844,7.66752009440097e-07,1.8386680267212796e-07
1845,7.979725751283695e-07,1.9809809259641042e-07
1846,7.312272032322653e-07,1.7856228851087508e-07
1847,7.555906336165208e-07,2.092570809963945e-07
1848,7.699277375650126e-07,1.922807939536142e-07
1849,7.859891297812283e-07,2.388133282238414e-07
1850,8.411566341237631e-07,1.6972489902400412e-07
1851,7.204022836049262e-07,1.8703372006712016e-07
1852,5.696727498616383e-07,2.2396275767277984e-07
1853,6.969244736865221e-07,2.01851293013533e-07
1854,6.193232024997997e-07,1.2105898861136666e-07
1855,6.548760325131298e-07,1.8468141149696748e-07
1856,7.144521418922523e-07,1.9725091249256366e-07
1857,7.580983378829842e-07,2.079522829490088e-07
1858,6.904976999067003e-07,1.7421486120383634e-07
1859,6.054594337001618e-07,2.2049110270927486e-07
1860,7.071749337228539e-07,2.3526725101419288e-07
1861,6.13075258115714e-07,2.1127517868535506e-07
1862,7.04805870554992e-07,2.448748546157731e-07
1863,6.712770641570387e-07,1.818041965861994e-07
1864,6.487267114607675e-07,1.5055445601319661e-07
1865,6.406015131688036e-07,1.7838939925240993e-07
