year,buvant_VERB en_ADP
1800,6.288328968651058e-09
1801,0.0
1802,8.951360541686881e-09
1803,1.3652374342143503e-08
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,3.162642769893864e-08
1810,2.8081521108447305e-08
1811,2.5070768572277302e-08
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,6.952811659743929e-09
1817,0.0
1818,7.152706427149269e-09
1819,2.070210003424222e-09
1820,2.0173018810965004e-08
1821,2.9584463767662328e-09
1822,2.0051231786055723e-09
1823,6.917880934764753e-09
1824,1.6842225392110777e-09
1825,1.7610886082763955e-09
1826,1.4973572604048968e-08
1827,9.217273055917019e-10
1828,3.668920500743411e-09
1829,5.143905745796928e-09
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,6.764984572527055e-09
1833,1.2741991461950875e-08
1834,5.600718555598405e-09
1835,5.294161553592858e-09
1836,1.2769425516978572e-08
1837,7.653680356156656e-09
1838,6.312161904276081e-09
1839,4.194885327990505e-09
1840,7.0066574764382494e-09
1841,1.0272877659645019e-08
1842,1.9453969102301016e-08
1843,5.906910960362666e-09
1844,6.037417232818143e-09
1845,5.580227835366713e-09
1846,5.269050973311096e-09
1847,9.707802561820245e-09
1848,4.82713291560799e-09
1849,2.9327951622803994e-08
1850,2.7155984128057753e-09
1851,3.2247193804124663e-09
1852,5.859490670445666e-09
1853,4.180352064508952e-09
1854,1.8704392701351935e-08
1855,5.306937111981824e-09
1856,6.73034605824796e-09
1857,1.1715622250108026e-08
1858,2.936205500958522e-09
1859,6.110608019582742e-09
1860,4.119465657481669e-09
1861,2.0750240636857598e-08
1862,6.776979422085105e-09
1863,3.995696662428827e-09
1864,8.63051052846231e-09
1865,1.4120533187167439e-08
1866,6.3252967308358166e-09
1867,3.88224918879132e-09
1868,1.0867722721741302e-08
1869,8.790334682373668e-09
1870,5.734048791339319e-10
1871,5.3105884134652115e-09
1872,3.628403577593531e-09
1873,2.3944017879529156e-09
1874,5.974609140757536e-10
1875,5.721527251978387e-09
1876,3.02300739996042e-09
1877,9.27722432209066e-09
1878,3.0195443923020093e-09
1879,1.4051448005147904e-08
1880,1.2835692508872398e-09
1881,4.8807553554297556e-09
1882,5.324308105514319e-09
1883,7.58320695126713e-09
1884,1.0562715146988921e-08
1885,4.511945039809007e-09
1886,3.2267319927115068e-09
1887,2.6115698492645834e-09
1888,7.60873763994141e-09
1889,1.2530273707511697e-08
1890,5.243509182406569e-09
1891,5.099376032546843e-09
1892,7.522214851007902e-09
1893,4.310891643655168e-09
1894,8.822155450616265e-09
1895,5.416753268150387e-09
1896,7.076434549446731e-09
1897,1.6897470089816125e-08
1898,5.6583546736987955e-09
1899,5.527578395003729e-09
1900,1.245852754294674e-08
1901,1.676621730339889e-09
1902,4.910283735171106e-09
1903,1.5120615870500842e-08
1904,3.7622376325430196e-09
1905,6.192911072844254e-09
1906,9.259531807970234e-09
1907,4.6285588695127444e-09
1908,7.367083831866239e-09
1909,1.6502950117569526e-09
1910,5.878565634276356e-09
1911,5.852411444351446e-09
1912,7.814131564032323e-09
1913,4.242391771214216e-09
1914,1.0045115850232378e-08
1915,4.712304768617059e-09
1916,5.493730803607377e-09
1917,3.289927441585405e-09
1918,1.1486376294556067e-08
1919,9.207848705727883e-09
1920,7.572231730534895e-09
1921,1.1359120755116692e-08
1922,7.377935595798135e-09
1923,6.369568872344189e-09
1924,9.02413699321869e-09
1925,6.598906754362588e-09
1926,0.0
1927,1.1149224654616319e-08
1928,1.4853853258500749e-08
1929,1.2254447234738564e-08
1930,8.402882833991043e-09
1931,1.9389105432310316e-08
1932,9.863582839386709e-09
1933,5.735331320977366e-09
1934,8.38710612072191e-09
1935,5.98414207075848e-09
1936,1.091224355320719e-08
1937,6.295559185076627e-09
1938,3.8895642262559704e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,2.2492303131116387e-08
1945,1.089252066321933e-08
1946,6.960552134671616e-09
1947,7.152522574216391e-09
1948,7.610321262063735e-09
1949,6.8719057111366055e-09
1950,0.0
1951,1.1727541604500402e-08
1952,7.381362632230548e-09
1953,6.464296653518886e-09
1954,3.9090144454689835e-09
1955,4.6928039232341234e-09
1956,4.360570571293465e-09
1957,7.951533653738352e-09
1958,8.272243334772611e-09
1959,4.650448914844674e-09
1960,6.920833239831836e-09
1961,1.042223907177231e-08
1962,5.7077609305622445e-09
1963,3.2330267352165265e-09
1964,7.909158661334459e-09
1965,2.188817349590977e-09
1966,6.6468897053084675e-09
1967,1.232583901611406e-08
1968,4.940557296606585e-09
1969,4.087581828571274e-09
1970,1.8394900047624674e-09
1971,8.221435976452085e-09
1972,3.0780880067027283e-09
1973,8.821126051827832e-09
1974,1.0688586016271984e-08
1975,9.138368284311582e-09
1976,5.142174241967723e-09
1977,4.7014254711541525e-09
1978,5.346532105932056e-09
1979,2.3407893401383717e-09
1980,3.97960553399912e-09
1981,3.1627747087981106e-09
1982,6.2075020679230875e-09
1983,3.78918940668882e-09
1984,7.538710988796993e-09
1985,1.142956040922627e-08
1986,2.3977941854269602e-09
1987,6.721898593298192e-09
1988,2.99827696004229e-09
1989,6.036934507847036e-09
1990,5.993515905799995e-09
1991,5.2753188484189195e-09
1992,9.366905473484621e-09
1993,6.093128224193833e-09
1994,4.2199412852994556e-09
1995,6.506940763983948e-09
1996,5.3380921904988554e-09
1997,4.794894259418925e-09
1998,1.0013071261028017e-08
1999,4.570201106446348e-09
2000,7.510653432518666e-09
2001,9.20054432640427e-09
2002,7.009954394732176e-09
