year,descendant_VERB en_ADP
1800,1.2576657315577222e-07
1801,2.333558910549982e-07
1802,1.432217686669901e-07
1803,1.618781624301846e-07
1804,1.4336735887354735e-07
1805,3.01345039588341e-07
1806,1.4120178093435243e-07
1807,3.701041606518629e-08
1808,9.290903335568146e-08
1809,7.228897658251299e-08
1810,1.0530570371258818e-07
1811,1.8803075896300925e-07
1812,2.2937990706850542e-07
1813,1.7542024011163448e-07
1814,2.2026740165159708e-07
1815,1.2676950689183286e-07
1816,9.270415546325239e-08
1817,1.8526793610362802e-07
1818,2.1219695156560192e-07
1819,2.5877625375869684e-07
1820,1.8155715508783032e-07
1821,2.337172730904058e-07
1822,2.506403831148418e-07
1823,2.1643083736311297e-07
1824,2.1052781473684945e-07
1825,2.2806098054495294e-07
1826,1.7527888984680828e-07
1827,1.1890282536342056e-07
1828,1.4033620243658618e-07
1829,1.860379228446618e-07
1830,2.108240793052829e-07
1831,1.980083226271745e-07
1832,1.6235962618793565e-07
1833,1.7143770492111798e-07
1834,1.390845154602971e-07
1835,2.0949752865817572e-07
1836,2.1842437969432638e-07
1837,1.649020163752013e-07
1838,2.0009553569622085e-07
1839,1.7618517156314795e-07
1840,2.01919128528516e-07
1841,2.1765659985462094e-07
1842,1.9185638677754469e-07
1843,2.498623388191845e-07
1844,1.6246141854026064e-07
1845,1.4843406470621545e-07
1846,1.891003960086124e-07
1847,1.5208890769002892e-07
1848,2.212435938897528e-07
1849,1.9356448088814204e-07
1850,1.9823868679935686e-07
1851,2.624921493499244e-07
1852,1.673210245911605e-07
1853,1.9169901044335802e-07
1854,1.53272102121349e-07
1855,1.8521211231359302e-07
1856,2.1330019706056191e-07
1857,2.0307077908121585e-07
1858,1.9770451586964555e-07
1859,2.520625899116169e-07
1860,2.5082968635459224e-07
1861,2.5324724806097265e-07
1862,2.7921154988064245e-07
1863,2.0128321764900647e-07
1864,2.5651794999248523e-07
1865,2.2875263683275193e-07
1866,2.1116760007267033e-07
1867,2.42640568970387e-07
1868,2.6033137345837787e-07
1869,3.0180148402614293e-07
1870,2.746609233383879e-07
1871,1.7631154491937195e-07
1872,2.322178304092759e-07
