year,vivant_VERB en_ADP,vivant_VERB sans_ADP
1800,5.470846375921212e-07,9.432493364158745e-08
1801,6.238698251337382e-07,1.0239085135310688e-07
1802,4.184761053238617e-07,1.208433673127729e-07
1803,7.391785850074939e-07,1.5602714031892617e-07
1804,7.959360210918476e-07,1.2853624298259092e-07
1805,4.3211742273285836e-07,1.705726617728942e-07
1806,3.8902534349460893e-07,6.0515052524579e-08
1807,5.75084934784087e-07,1.736642651906095e-07
1808,7.002168667114006e-07,1.4502873746380374e-07
1809,5.963840727929437e-07,6.551188391767937e-08
1810,5.195081165254578e-07,1.9189039335287816e-07
1811,5.741205746367939e-07,8.273353380161552e-08
1812,6.48131620373249e-07,1.4669645054254943e-07
1813,4.831245838943232e-07,1.6391727797326894e-07
1814,1.101336984277168e-06,1.195737269199526e-07
1815,9.278448835914332e-07,1.4565007688815967e-07
1816,8.830070896692632e-07,1.9004352225238108e-07
1817,1.0866975852508176e-06,9.808302792180257e-08
1818,8.678616882917822e-07,1.108669511751259e-07
1819,9.77139142932515e-07,1.0661581706372658e-07
1820,1.2163142741883348e-06,1.293446416639199e-07
1821,8.520325831540276e-07,2.3174497776334846e-07
1822,9.30377183294695e-07,1.7745340130659315e-07
1823,5.643014007183922e-07,1.304514718469818e-07
1824,8.370586019879056e-07,1.1536924393595882e-07
1825,1.010864878026041e-06,9.15766049658373e-08
1826,1.1194947582282566e-06,1.3740455073740776e-07
1827,8.867016609848122e-07,9.493790997794349e-08
1828,8.787064817994406e-07,1.2474329480482993e-07
1829,1.2225349594885415e-06,9.516225230044029e-08
1830,7.483211437175896e-07,1.3359149519942548e-07
1831,1.5497659404672959e-06,1.262887678876723e-07
1832,5.195508205879662e-07,1.352997003323253e-07
1833,7.900034439956016e-07,1.4016190275079055e-07
1834,6.478164582546242e-07,1.1388127818534599e-07
1835,7.222748692470304e-07,1.5201806746745206e-07
1836,8.038016936495751e-07,1.2433387386323602e-07
1837,7.54931166468964e-07,1.3289571554331303e-07
1838,6.86131995664141e-07,9.846972304217161e-08
1839,8.599514558227384e-07,8.110111249237661e-08
1840,7.89204431583812e-07,1.1146955491980748e-07
1841,7.80096673480557e-07,1.1364370777755539e-07
1842,8.633537262880964e-07,1.4288604965884133e-07
1843,9.06120140697908e-07,1.1991029147395693e-07
