year,perdant_VERB en_ADP,perdant_VERB sans_ADP
1800,4.087413785214267e-08,1.8864987794131594e-08
1801,6.905429472681135e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.90067853572873e-08,3.900678446910888e-09
1804,3.9549615138412264e-08,9.887403784603066e-09
1805,3.695740957709859e-08,0.0
1806,2.305335300434308e-08,0.0
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,3.852325747288887e-08,9.064295980465431e-09
1809,6.777091243748146e-08,0.0
1810,5.148278958699848e-08,4.680253518074551e-09
1811,3.760615285841595e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,5.463909147351842e-08,0.0
1814,6.293354282149721e-09,0.0
1815,6.203614333344376e-08,0.0
1816,6.952811659743929e-09,0.0
1817,2.490997452753163e-08,1.556873407970727e-09
1818,2.6226590454925258e-08,1.1921177378582115e-09
1819,4.864993385922389e-08,1.035105001712111e-09
1820,2.610625848831205e-08,1.0679833017945839e-08
1821,6.212737702071536e-08,6.903041693817613e-09
1822,2.3058916553964082e-08,6.015369535816717e-09
1823,4.644862894309654e-08,8.894418535021487e-09
1824,2.105278085196005e-08,1.6842225392110777e-09
1825,3.522177394188475e-08,1.7610886082763955e-09
1826,5.460950447400137e-08,6.1655889282974385e-09
1827,3.502563927781921e-08,2.7651818612639545e-09
1828,3.3020285172824515e-08,3.668920500743411e-09
1829,1.6289033955008136e-08,1.2002446148073886e-08
1830,5.3227864116323076e-08,5.218417697960831e-09
1831,1.02901957177437e-07,1.2472964883158966e-08
1832,3.923691083151937e-08,1.3529969367098715e-09
1833,4.40177885252524e-08,1.853380560135065e-08
1834,4.573920042716395e-08,9.334531370086552e-09
1835,6.126101226300307e-08,1.285724948729694e-08
1836,3.763620171071125e-08,1.2097349788575684e-08
1837,4.313892532081809e-08,2.0873672568200163e-08
1838,4.8603647551104245e-08,8.2058102535143e-09
1839,2.866504900111977e-08,8.38977065598101e-09
1840,6.942960784073193e-08,1.2102408852854296e-08
1841,5.1364387410046675e-08,2.5682194149112547e-09
1842,5.970355942963579e-08,1.408735705865638e-08
1843,4.4892523476391943e-08,1.0041748821354446e-08
1844,4.50062032086862e-08,4.9397050894128824e-09
1845,4.743193926515232e-08,1.3950569588416784e-08
1846,6.908311434017378e-08,1.1123552745573306e-08
1847,4.6921044827286096e-08,3.235934187273415e-09
1848,4.3444197794784145e-08,3.218088684420195e-09
1849,6.53594351973652e-08,2.6814127807028854e-08
