year,veut_VERB avoir_VERB,veut_VERB savoir_VERB
1800,2.6788281957124127e-06,1.0249975730403094e-06
1801,2.700261120480718e-06,1.0739133813331136e-06
1802,2.13266162063519e-06,7.944332764964201e-07
1803,2.884551804527291e-06,7.469799356840667e-07
1804,3.1639692679164e-06,9.986277973439428e-07
1805,2.2089159301685868e-06,8.557062187719566e-07
1806,2.288045379827963e-06,1.031637566484278e-06
1807,2.1295224996720208e-06,7.97147436060186e-07
1808,2.2162203094922006e-06,9.721456990519073e-07
1809,2.805715894282912e-06,7.90660692473466e-07
1810,2.440752268739743e-06,9.009488053379755e-07
1811,2.6048528525279835e-06,9.6773158020369e-07
1812,2.845911240001442e-06,8.828459385767928e-07
1813,1.8433504465065198e-06,1.1416694860599819e-06
1814,1.8974462818732718e-06,9.880566267383983e-07
1815,2.022917669819435e-06,5.448391675599851e-07
1816,2.1623243355861632e-06,9.710760195957846e-07
1817,1.7110038470491418e-06,9.247827961189614e-07
1818,1.8716248177952366e-06,9.811128620640375e-07
1819,2.058823838524404e-06,1.0278592981194379e-06
1820,1.7396261000612867e-06,8.555732620152412e-07
1821,2.067954028461827e-06,9.181045470540994e-07
1822,2.1464843484864105e-06,7.278597422555322e-07
1823,1.912299921968952e-06,8.044507353588415e-07
1824,1.780223215064325e-06,8.067426051638904e-07
1825,2.003238250836148e-06,8.470836405649607e-07
1826,1.925425294757588e-06,8.235465429606847e-07
1827,1.8664977687876672e-06,7.20790751529421e-07
1828,1.8601426745590288e-06,8.245899039138749e-07
1829,1.8972438056152896e-06,8.31598072181805e-07
1830,1.8243589465782861e-06,7.065738145684008e-07
1831,1.8085798956235521e-06,7.764420502098801e-07
1832,1.8427817849442363e-06,8.253281293946202e-07
1833,1.6251831311819842e-06,7.367187890849891e-07
1834,1.8557047951617278e-06,7.644981110388471e-07
1835,2.072286179100047e-06,8.213513638111181e-07
1836,1.8596315385366324e-06,7.083670539032028e-07
1837,1.916899009302142e-06,7.514522053497785e-07
1838,1.6285378023894737e-06,6.387907660609926e-07
1839,1.8345631360716652e-06,6.348259375954513e-07
1840,1.7886085288409959e-06,6.783718617953127e-07
1841,1.5383634490717668e-06,7.717499102000147e-07
