year,agissant_VERB en_ADP
1800,2.924073059240584e-07
1801,3.809892181738661e-07
1802,2.8196785706313676e-07
1803,2.6719646939454833e-07
1804,3.856087342768433e-07
1805,5.42989653240511e-07
1806,1.700184730779597e-07
1807,4.4697196699416963e-07
1808,3.263146579612908e-07
1809,3.298184643174551e-07
1810,5.639705560334107e-07
1811,4.863728668702549e-07
1812,3.6807472270083963e-07
1813,2.3293507922517165e-07
1814,2.076806868700487e-07
1815,5.745085900343838e-07
1816,4.1485108681627025e-07
1817,3.238296812924091e-07
1818,5.018815505408725e-07
1819,3.498654788103295e-07
1820,4.4736633952879856e-07
1821,4.260162995706196e-07
1822,4.5115271518625377e-07
1823,5.297119969327468e-07
1824,4.707401899395336e-07
1825,3.9008112917571225e-07
1826,5.337638731006678e-07
1827,6.249311232942034e-07
1828,5.475863957826732e-07
1829,6.609918519195901e-07
1830,4.957497239388431e-07
1831,6.127343894490878e-07
1832,8.050331512521325e-07
1833,7.957952945503166e-07
1834,7.448955585687145e-07
1835,5.210967870539207e-07
1836,7.58100618725166e-07
1837,6.658701465767081e-07
1838,8.717095845156564e-07
1839,7.956298500033654e-07
1840,8.153201713767544e-07
1841,8.545750027622034e-07
1842,9.6666101123688e-07
1843,7.377732202940024e-07
1844,7.261366441468908e-07
1845,9.413844814787353e-07
1846,1.060250184536926e-06
1847,1.0932064213875492e-06
1848,1.1681661931106646e-06
1849,1.0708891764465989e-06
1850,9.056520777761534e-07
1851,1.0119169076006074e-06
1852,1.1998935107726538e-06
1853,1.0880860124018454e-06
1854,1.0303002717648724e-06
1855,9.706387906760483e-07
1856,1.0499340099556775e-06
1857,1.079301654272058e-06
1858,9.757990255820914e-07
1859,1.0820868165950515e-06
1860,1.1131710841993936e-06
1861,1.0884443781833397e-06
1862,1.0188058858773275e-06
1863,1.143768177058746e-06
1864,1.1545704552418101e-06
1865,1.0157369736418786e-06
1866,1.1448787535783822e-06
1867,1.0564571084614727e-06
1868,1.0843023687812092e-06
1869,1.0196787449956446e-06
1870,1.2012831902552534e-06
1871,1.3860635768025986e-06
1872,1.2010015559837939e-06
1873,1.3342803839577755e-06
1874,1.2970875928886016e-06
1875,1.4750096681837022e-06
1876,1.2116213348178917e-06
1877,1.2153163453376692e-06
1878,1.2005708178719487e-06
1879,9.616077800700396e-07
1880,1.4132096950447703e-06
1881,1.3547582042860995e-06
1882,1.0608684135604562e-06
1883,1.1254742986466226e-06
1884,1.155297006505407e-06
1885,1.1743948107323376e-06
1886,1.1971175339908768e-06
1887,1.451379928241181e-06
1888,1.280804166725602e-06
1889,1.3607876638843663e-06
1890,1.3161208549661296e-06
1891,1.5903679049245056e-06
1892,1.4191911610339503e-06
1893,1.4552338178930313e-06
1894,1.386338675857246e-06
1895,1.3981241764327024e-06
1896,1.3981855389033626e-06
1897,1.526598902401588e-06
1898,1.5051223538620206e-06
1899,1.7677196098020431e-06
1900,1.628433373923599e-06
1901,1.4899578442140182e-06
1902,2.087852706722515e-06
1903,1.6589477169759448e-06
1904,1.5425173991445718e-06
1905,1.4832020927002532e-06
1906,1.5370822978866272e-06
1907,1.8375379937651815e-06
1908,1.488642068281365e-06
1909,1.5501772097081812e-06
1910,1.6310347845660544e-06
1911,1.5966443314141543e-06
1912,1.736300111687683e-06
1913,1.6566540246287786e-06
1914,1.6721768503202838e-06
1915,1.9638530091015127e-06
1916,1.9502745232102825e-06
1917,1.9202208747515215e-06
1918,1.625322266107787e-06
1919,2.3793080856648885e-06
1920,1.721925546149805e-06
1921,1.7689937834575176e-06
1922,1.5501042671672849e-06
1923,1.513834220645549e-06
1924,1.394873818227893e-06
1925,1.4275635180638346e-06
1926,1.3163589649423102e-06
1927,1.4605485034735466e-06
1928,1.7401860787913392e-06
1929,1.3379628214238437e-06
1930,1.1648496816007992e-06
1931,1.3116159820469875e-06
1932,1.216508620061063e-06
1933,1.5703336018191294e-06
1934,1.4258080653917204e-06
1935,1.3512192378328791e-06
1936,1.2864322016525875e-06
1937,1.5487075533116013e-06
1938,1.7580830551366944e-06
1939,1.429993719881395e-06
1940,1.2171758356771534e-06
1941,1.2071646118272383e-06
1942,1.2076163002916473e-06
1943,1.0916164292495978e-06
1944,1.2402898974528398e-06
1945,1.4073135723435826e-06
1946,1.2208808861657872e-06
1947,1.187318762418954e-06
1948,1.091537496833439e-06
1949,1.3027169636359304e-06
1950,1.2368925439432132e-06
1951,1.1077196369058129e-06
1952,1.304392220902173e-06
1953,1.3025557201729043e-06
1954,1.3388374391354319e-06
1955,1.074652125510056e-06
1956,1.179098386927535e-06
1957,1.4392275975438906e-06
1958,1.4865221800164363e-06
1959,1.512170925366263e-06
1960,1.384858734354566e-06
1961,1.0477823799703856e-06
1962,1.2239976108219253e-06
1963,1.195573261725258e-06
1964,1.1480447987821663e-06
1965,1.0911254264556192e-06
1966,1.0851047225202137e-06
1967,1.0161421641896595e-06
1968,9.063676991161174e-07
1969,1.1254475538180486e-06
1970,1.1671563928672413e-06
1971,1.1037277722891758e-06
1972,1.1824988348507759e-06
1973,1.2239311857342727e-06
1974,1.2229993302526054e-06
1975,1.174851494312179e-06
1976,9.393038205018911e-07
1977,9.637922175897984e-07
