year,pourraient_VERB aider_VERB,pourraient_VERB céder_VERB
1800,0.0,3.144164484325529e-09
1801,9.524730337773235e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,1.4234775136401367e-08,1.9928686256776018e-08
1808,1.5862518409903714e-08,4.5321479902327155e-09
1809,9.036122072814123e-09,9.036122072814123e-09
1810,0.0,2.3401267590372754e-09
1811,2.2563691359778204e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,2.0130190847567064e-08,2.8757416004054903e-08
1814,3.1466771410748606e-09,3.1466772298927026e-08
1815,5.394447111228828e-09,0.0
1816,2.7811246638975717e-08,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,2.070210003424222e-09,3.1053151161586356e-09
1820,7.119888678630559e-09,0.0
1821,3.8459806006585495e-08,9.861488514673056e-09
1822,1.5038423839541792e-08,1.4035862250239006e-08
1823,1.1859224713361982e-08,1.4824030003524058e-08
1824,2.3579115548955087e-08,8.421112696055388e-10
1825,6.163809906922779e-09,8.805443485471187e-09
1826,8.80798456392995e-09,7.927186018719112e-09
1827,2.1199728195142598e-08,1.566936447261469e-08
1828,5.4116576109208836e-08,5.503380862137419e-09
1829,1.2859763920403111e-08,6.858540846366168e-09
1830,3.444155893816969e-08,1.0436835395921662e-08
1831,1.870944643656003e-08,1.2472964883158966e-08
1832,5.411987746839486e-09,1.6235963684607668e-08
1833,2.89590715851773e-08,1.0425265983826648e-08
1834,2.8003592333902816e-08,4.667265685043276e-09
1835,2.2689263801112247e-08,1.0588323107185715e-08
1836,1.1425274948351216e-08,6.048674894287842e-09
1837,2.1569462660409044e-08,1.3915781860163179e-09
1838,2.5879863585487328e-08,1.7042836475411605e-08
1839,3.076248944466897e-08,2.7965900706306e-09
1840,5.159447979963261e-08,8.917564464638872e-09
1841,1.733548060656176e-08,8.988767952189392e-09
1842,2.0795621225033756e-08,0.0
1843,3.2488010504039266e-08,1.3585895075607368e-08
1844,2.030767731753258e-08,9.879410178825765e-09
1845,2.6785095030845696e-08,8.928364714222425e-09
1846,2.5759806732139623e-08,3.5127007969038004e-09
1847,2.9662729161827883e-08,3.235934187273415e-09
1848,4.907585093860689e-08,3.057184372323718e-08
1849,1.005529792763582e-08,5.865590679832167e-09
1850,3.59816780814981e-08,3.394498016007219e-09
1851,3.0957306051959677e-08,9.029214709244116e-09
1852,3.190167419120371e-08,1.1067927019325907e-08
1853,2.149895550473957e-08,3.5831591027601917e-09
1854,2.8056588163849483e-08,2.182179059673217e-08
