year,ont_VERB ôté_VERB,ont_VERB oté_VERB,ont_VERB sauté_VERB
1800,1.5091990235305275e-07,2.2009151834367913e-08,2.2009151834367913e-08
1801,2.28593535211985e-07,0.0,5.000483582762172e-08
1802,2.0140561218795483e-07,2.2378401354217203e-09,2.4616241489638924e-08
1803,2.515937467251206e-07,0.0,2.7304748684287006e-08
1804,3.1392505661642645e-07,4.943701892301533e-09,4.69651695311768e-08
1805,2.0184431548386783e-07,8.528632911009026e-09,4.264316544322355e-08
1806,1.7001848107156547e-07,5.76333825108577e-09,5.76333825108577e-09
1807,2.1636859059981361e-07,0.0,3.9857372513552036e-08
1808,1.0877155176558517e-07,0.0,3.852325747288887e-08
1809,2.6882463544097845e-07,0.0,3.840352036377226e-08
1810,1.4040760731859336e-07,1.6380887757350138e-08,2.3401266702194334e-08
1811,6.769107585569145e-08,5.0141535368197765e-09,1.2535384286138651e-08
1812,1.6536691305191198e-07,0.0,5.3344164641089264e-09
1813,1.8979895344273245e-07,0.0,2.0130190847567064e-08
1814,3.492811515570793e-07,3.1466771410748606e-09,1.1013369771717407e-07
1815,2.88602933551374e-07,0.0,1.0788894222457657e-08
1816,2.595716352971067e-07,1.8540831092650478e-08,6.025770460382773e-08
1817,3.0981780696492933e-07,6.227493631882908e-09,2.490997452753163e-08
1818,3.2187179499487684e-07,1.1921177378582115e-09,1.668964877410417e-08
1819,3.446899654591107e-07,8.280840013696888e-09,3.726378139390363e-08
1820,3.287015317710029e-07,3.5599443393152796e-09,4.746592452420373e-08
1821,1.962436186886407e-07,2.9584463767662328e-09,4.043210211079895e-08
1822,2.0051231786055723e-07,2.0051231786055723e-09,1.7043547018147365e-08
1823,1.5812298670425662e-07,1.9765373782121287e-09,3.9530746676064155e-08
1824,1.7263280938095704e-07,2.5263338088166165e-09,2.5263338088166165e-08
1825,2.0076410578440118e-07,1.7610886082763955e-09,7.924898959288385e-09
1826,2.078684246953344e-07,8.807984341885344e-10,2.290075862276808e-08
1827,1.6683264902894734e-07,9.217273055917019e-10,1.6591091167583727e-08
1828,2.2288692491656548e-07,1.8344602503717056e-09,4.035812395386529e-08
1829,1.6889157450350467e-07,0.0,2.1432940755516938e-08
1830,2.0143093593105732e-07,3.1310507520032616e-09,3.444155893816969e-08
1831,2.0268568334813608e-07,1.5591206103948707e-09,8.886987501455224e-08
1832,2.448924476539105e-07,2.705993873419743e-09,3.5177919244233635e-08
1833,1.8417969727124728e-07,1.1583628500844156e-09,4.51761508202253e-08
1834,2.3242982649662736e-07,9.334530925997342e-10,3.360431222176885e-08
1835,2.1479169731719594e-07,7.563087933704082e-10,2.571449897459388e-08
1836,1.9490175873215776e-07,3.3603749782784575e-09,4.838939915430274e-08
1837,1.5794412888681109e-07,2.087367279024477e-09,2.2961039292113128e-08
