year,priant_VERB en_ADP,priant_VERB sans_ADP
1800,1.5720821977538435e-08,6.288328968651058e-09
1801,2.6193007984787187e-08,1.1905912700171939e-08
1802,5.594600338554301e-08,6.713520406265161e-09
1803,4.8758479920252285e-08,2.5354410126965377e-08
1804,4.696516864299838e-08,7.4155526164076946e-09
1805,3.695740913300938e-08,1.421438877713399e-08
1806,5.76333825108577e-08,5.76333825108577e-09
1807,5.124519120158766e-08,1.4234775136401367e-08
1808,4.758755522971114e-08,3.3991110370834576e-08
1809,1.581321384946932e-08,4.743964154840796e-08
1810,1.1700633351097167e-08,2.106114038724627e-08
1811,1.504245972228091e-08,7.521229861140455e-09
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,3.738464116054274e-08,1.4378708002027452e-08
1814,1.8880061958270744e-08,9.754699448194515e-08
1815,4.8550024445148665e-08,2.6972236000233352e-08
1816,7.416332437060191e-08,4.1716869958463576e-08
1817,2.1796227045456362e-08,1.2454987263765815e-08
1818,4.530047448270125e-08,5.960588467246453e-09
1819,3.5193570058211776e-08,2.173720581311045e-08
1820,3.5599445169509636e-08,4.390598107306687e-08
1821,4.141825016290568e-08,8.875339574387908e-09
1822,4.8122956286533736e-08,1.1028177482330648e-08
1823,5.0401705031788424e-08,1.9765373338032077e-08
1824,7.242156829789792e-08,2.5263338088166165e-08
1825,2.8177417732422327e-08,2.201360693732113e-08
1826,2.3781558056157337e-08,9.688783109140786e-09
1827,3.133872955585204e-08,5.530363722527909e-09
1828,2.843413443587295e-08,1.7427371545863934e-08
1829,4.6295149047637096e-08,9.430493719264632e-09
1830,4.4878393001823724e-08,2.0873670791843324e-08
1831,5.924658252887127e-08,2.182768810143898e-08
1832,4.464889968858188e-08,5.411987746839486e-09
1833,6.370995642157595e-08,1.853380560135065e-08
1834,5.3206826944318664e-08,2.8003591889813606e-08
1835,7.184933537018878e-08,2.647080776796429e-08
1836,8.132107787162113e-08,3.293167516460471e-08
1837,5.705470584871364e-08,2.504840679318221e-08
1838,3.9135402474244074e-08,1.0730675459313943e-08
1839,9.927894950578775e-08,2.586845759822154e-08
