year,petit_ADJ homme_NOUN,petit_ADJ somme_NOUN
1800,1.0407184682925674e-06,1.2576657937302116e-08
1801,9.358047539098635e-07,9.524730337773235e-09
1802,7.899575393821578e-07,1.3427040812530322e-08
1803,6.709166722185245e-07,3.900678446910888e-09
1804,1.033233747449458e-06,4.449331569844617e-08
1805,8.841349692367828e-07,1.421438877713399e-08
1806,1.1670759931803332e-06,5.76333825108577e-09
1807,6.747283407548821e-07,1.1387820464392462e-08
1808,6.073078413493249e-07,6.798221985349073e-09
1809,6.325285539787728e-07,1.8072244145628247e-08
1810,8.798876685034429e-07,3.510190182964834e-08
1811,7.395876231441889e-07,0.0
1812,7.308150329343732e-07,8.00162425207418e-09
1813,1.1416694469801314e-06,2.0130190847567064e-08
1814,8.716295631927551e-07,3.1466771410748606e-09
1815,7.633142462548648e-07,2.697223555614414e-09
1816,5.886714120606484e-07,4.6352077731626196e-09
1817,1.0010696549489495e-06,2.490997452753163e-08
1818,1.226689135158665e-06,1.0729059418679299e-08
1819,7.701181493624532e-07,7.24573512300708e-09
1820,1.1593551567656846e-06,2.1359666035891678e-08
1821,1.028553251902764e-06,9.861488514673056e-09
1822,1.0326383943493056e-06,2.105379337535851e-08
1823,1.3687521122074386e-06,1.8777104315859106e-08
1824,8.934800792559372e-07,5.894778887238772e-09
1825,9.316158922079154e-07,2.553578504205234e-08
1826,8.534936745130395e-07,1.4973572604048968e-08
1827,8.258676866823578e-07,5.530363722527909e-09
1828,8.511895733254171e-07,6.420610709767516e-09
1829,1.5037351042690439e-06,9.430493719264632e-09
1830,1.6469326831192177e-06,8.349468672008697e-09
1831,1.4593368691251385e-06,4.677361609140007e-09
1832,1.8969016561953822e-06,4.058990921151917e-09
1833,1.889289797496474e-06,6.950177322551099e-09
1834,1.5317965296191005e-06,3.733812370398937e-09
1835,1.5534582757936732e-06,2.117664621437143e-08
1836,1.4200944389308745e-06,5.376600054063374e-09
1837,1.3700087606594025e-06,1.6003149028165353e-08
1838,1.2403398077509564e-06,1.2624323808552163e-08
1839,8.340829860120635e-07,1.0487212875887053e-08
1840,1.170111844916999e-06,1.2739377552861697e-08
1841,1.020225151915355e-06,6.420548537278137e-09
1842,1.1276593925302336e-06,4.024959032733477e-09
1843,1.3414594813854208e-06,1.2995204023980023e-08
1844,9.879409890167778e-07,6.037417232818143e-09
1845,1.2767561390347737e-06,1.2834524554250493e-08
1846,1.1808529221113417e-06,7.025401593807601e-09
1847,7.604445526609993e-07,9.168480197274675e-09
1848,8.729065612556042e-07,4.02261068899179e-09
1849,7.960444090571173e-07,1.256912263158938e-08
1850,1.008844832561806e-06,2.1724787302446202e-08
1851,8.203685855079357e-07,3.8696632564949596e-09
1852,8.222818816960853e-07,5.859490670445666e-09
1853,1.1633323619975044e-06,1.7318601663873778e-08
1854,9.445717824019262e-07,1.8184826089395756e-08
1855,1.5565246087589912e-06,1.539011762474729e-08
1856,1.3041339999020352e-06,7.248064815001953e-09
