year,durent_VERB aider_VERB,durent_VERB céder_VERB
1800,0.0,1.8864987794131594e-08
1801,0.0,3.333655484993869e-08
1802,0.0,4.699464284385613e-08
1803,0.0,1.950339223455444e-09
1804,0.0,1.9774807569206132e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,1.729001475325731e-08
1807,0.0,3.4163463169534225e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,4.743964154840796e-08
1810,0.0,1.6380887757350138e-08
1811,0.0,4.512738271955641e-08
1812,0.0,4.000812481308458e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,9.44003133440674e-08
1815,0.0,3.506390555685357e-08
1816,0.0,2.5493642752394408e-08
1817,0.0,2.3353100786493997e-08
1818,0.0,3.457141417584353e-08
1819,0.0,1.1489665752151268e-07
1820,0.0,8.899861114741725e-08
1821,0.0,7.198886464721e-08
1822,0.0,5.514088741165324e-08
1823,0.0,3.063632902922109e-08
1824,0.0,7.494790565942822e-08
1825,0.0,1.0038205289220059e-07
1826,0.0,4.7563116112314674e-08
1827,0.0,4.885154680778214e-08
1828,0.0,3.66892045633449e-08
1829,2.571952872898464e-09,2.5719527840806222e-08
1830,0.0,1.0436836106464398e-07
1831,0.0,4.2096257146795324e-08
1832,0.0,5.276687886635045e-08
1833,0.0,8.571885246055899e-08
1834,0.0,9.334530659543816e-08
1835,0.0,5.899208588289184e-08
1836,0.0,5.712637474175608e-08
1837,2.7831563720326358e-09,7.166627824517491e-08
1838,5.680945491803868e-09,8.647661786653771e-08
1839,0.0,8.809258389419483e-08
1840,1.9109065441114126e-09,1.1083258044664035e-07
1841,2.5682194149112547e-09,1.373997378095737e-07
1842,1.0733224087289273e-08,1.2879868904747127e-07
1843,1.1813822142769936e-09,1.0514301607145171e-07
1844,9.879410178825765e-09,1.5093543481725646e-07
1845,5.580227946389016e-10,1.4173778595250042e-07
1846,0.0,1.0596647115335145e-07
1847,0.0,1.380665253236657e-07
1848,0.0,1.198738033281188e-07
1849,8.379414939696517e-10,1.298809308991622e-07
1850,3.394498016007219e-09,1.3238542351245997e-07
1851,8.384270167027807e-09,1.064157402197452e-07
1852,3.906327261660181e-09,1.1718982051434068e-07
1853,7.763511611358354e-09,8.898178549543445e-08
