year,étudiant_VERB en_ADP,etudiant_VERB en_ADP
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,1.4287095284615248e-08
1802,0.0,2.2378401354217203e-09
1803,9.751696339321825e-09,5.851017448321727e-09
1804,0.0,0.0
1805,4.264316544322355e-08,1.4214388555089386e-08
1806,1.152667650217154e-08,1.152667650217154e-08
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,1.1330369531492579e-08,1.1330369531492579e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,2.3401267590372754e-09
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,1.600324850414836e-08,2.6672083208723052e-08
1813,3.4508900625951355e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.3486118000116676e-08,1.618334155573109e-08
1816,0.0,0.0
1817,0.0,7.784367039853635e-09
1818,1.5497530370112145e-08,4.768470951432846e-09
1819,6.210630232317271e-09,1.449147024601416e-08
1820,1.4239777357261119e-08,1.1866481131050932e-08
1821,1.2819934447350079e-08,5.916893086599373e-09
1822,0.0,5.012807946513931e-09
1823,1.9765373782121287e-09,1.9765373782121287e-09
1824,1.3473780313688621e-08,2.189489212156559e-08
1825,8.805443041381977e-10,2.641632912414593e-09
1826,2.642395191543301e-09,7.0463874735082754e-09
1827,2.7651818612639545e-09,3.6869092223668076e-09
1828,8.255071293206129e-09,8.255070960139221e-09
1829,1.0287811491593857e-08,6.858540846366168e-09
1830,8.349468672008697e-09,1.982998831806526e-08
1831,2.9623292263636358e-08,3.1182412207897414e-08
1832,1.0823975493678972e-08,2.0294954161670375e-08
1833,2.0850531967653296e-08,5.791814361444381e-09
1834,1.6802156110884425e-08,3.267085713076767e-08
1835,1.663879345414898e-08,1.8151411040889798e-08
1836,7.392825018825988e-09,9.409050427677812e-09
1837,1.0436836284100082e-08,3.478945576063097e-09
1838,5.680945491803868e-09,5.680945713848473e-09
1839,2.027527834513876e-08,3.4957374772659477e-09
1840,1.4013314952876499e-08,1.3376346419402552e-08
1841,1.926164472365599e-08,1.926164561183441e-09
1842,2.3478927246856074e-08,3.3541325272778977e-09
1843,1.2995204023980023e-08,6.497602234034616e-09
1844,1.4270259640625227e-08,2.195424508855126e-09
1845,2.0088821273134272e-08,3.3481367678334095e-09
1846,1.1123552745573306e-08,4.6836010625384006e-09
1847,3.7752563741833e-08,9.707802561820245e-09
1848,3.861706332486392e-08,4.827132860096839e-09
1849,2.76520690789539e-08,1.6758829879393033e-09
1850,2.647708541303473e-08,2.0366988096043315e-09
1851,1.4188765717904062e-08,2.1928092452938586e-08
1852,1.3021090872200602e-08,5.859490670445666e-09
1853,1.6124216628554677e-08,1.3138249599364826e-08
1854,1.6626126253527218e-08,6.754363790495432e-09
1855,2.175844215912548e-08,1.2205955357558196e-08
1856,1.1389816201301528e-08,1.1389816201301528e-08
1857,1.8061584228235006e-08,1.5132678499174546e-08
1858,1.4191660291373864e-08,1.0766087354951992e-08
1859,2.49516496353408e-08,1.3748868044061169e-08
1860,1.0527522853465143e-08,3.204028764525191e-09
1861,1.2733101684148096e-08,8.488734437595014e-09
1862,3.207770404856092e-08,1.0843167252971853e-08
1863,1.6482248454963155e-08,5.993544882620938e-09
1864,1.6781548595190543e-08,7.671564938860342e-09
1865,1.8827376990770972e-08,1.4120533631256649e-09
1866,2.919367680931373e-08,1.4110277668510918e-08
1867,1.844068364675877e-08,3.0572712361731647e-08
1868,1.778354707937524e-08,1.5313609158518204e-08
1869,2.490594752657671e-08,1.2697150109097777e-08
1870,3.1537268796455464e-08,1.6628741494884025e-08
1871,2.8677177965619194e-08,1.0621177271019633e-09
1872,2.3584624031514068e-08,1.8746752372678088e-08
1873,1.1972009161809183e-08,1.0176207432266438e-08
1874,1.3144139998644278e-08,5.377148060148329e-09
1875,2.6319025181464895e-08,1.5448122780981066e-08
1876,3.627608791134662e-08,1.632423995978627e-08
1877,1.1132669008873108e-08,1.1751150386096754e-08
1878,3.8650167510922984e-08,1.2078177347163432e-08
1879,2.2604503158163425e-08,1.649517811230794e-08
1880,2.5671385017744797e-08,1.2835692508872398e-08
1881,1.8825771164188154e-08,1.4642265677711208e-08
1882,1.8635077481121698e-08,1.5972923872453748e-08
1883,2.5277355319985872e-08,1.200674426549142e-08
1884,3.234831424947515e-08,1.1222884843675729e-08
1885,3.545099502844096e-08,1.933690724209569e-08
1886,3.6784744139595205e-08,3.0331279932127586e-08
1887,3.3297514079322355e-08,1.632231122483674e-08
1888,4.057993407968752e-08,2.028996703984376e-08
1889,2.6313573542324775e-08,3.571127993318157e-08
1890,2.0318598359381213e-08,1.5730528268864674e-08
1891,3.314594465564369e-08,1.9760081571007504e-08
1892,4.826754462783356e-08,1.8805536683430546e-08
1893,3.1407925149551374e-08,2.0322774629821794e-08
1894,2.7096618282484997e-08,2.268554166739989e-08
1895,3.4306101071024386e-08,1.5648398132839247e-08
1896,3.066455178668548e-08,3.3613064720494634e-08
1897,2.680288169187861e-08,2.0393497446313802e-08
1898,3.7910979244770715e-08,4.9793523526631134e-08
1899,3.758753308602536e-08,3.8693050541382945e-08
1900,3.4780054392058446e-08,3.166542394961169e-08
1901,3.297355988252093e-08,3.129693859627025e-08
1902,3.1425816615637814e-08,5.155797921929661e-08
1903,3.132127801563911e-08,3.7261520757780886e-08
