year,revenant_VERB en_ADP,revenant_VERB sans_ADP
1800,1.5406406683737828e-07,5.345079756580162e-08
1801,1.9049460320275102e-07,7.857902772911984e-08
1802,2.8196785706313676e-07,1.208433673127729e-07
1803,1.5992782209650613e-07,5.265915836716317e-08
1804,2.2246658204494452e-07,8.157108055684148e-08
1805,2.2458733806018927e-07,8.24434565060983e-08
1806,2.910485816798314e-07,4.034336598124355e-08
1807,1.3095994200185146e-07,4.555128052530222e-08
1808,1.7675376939862986e-07,8.611080914988634e-08
1809,1.9201759871023683e-07,4.0662548883574345e-08
1810,1.9891076874500868e-07,1.2636684765254813e-07
1811,2.2062275562007017e-07,8.273353335752631e-08
1812,1.5736529235255148e-07,1.0135391192989118e-07
1813,1.6966875193702435e-07,8.052076339026826e-08
1814,2.2970743707162455e-07,8.18136021152327e-08
1815,2.265667786716108e-07,8.631115377966125e-08
1816,2.8274768482106083e-07,6.952811482108245e-08
1817,1.7748357183933194e-07,1.089811392240847e-07
1818,2.348471959123799e-07,5.6029534789558966e-08
1819,1.9045932164729606e-07,5.175525075173937e-08
1820,2.3139637583824424e-07,9.8491796052258e-08
1821,2.3766186751927876e-07,3.944595405869222e-08
1822,3.3786325559503894e-07,6.917674966189225e-08
1823,3.4589403341556135e-07,6.917880635004536e-08
1824,1.98738261403264e-07,9.347434737350113e-08
1825,2.6416329301781616e-07,7.308517524506897e-08
1826,2.554315328140433e-07,8.719904343035267e-08
1827,2.3411872929202104e-07,4.608636378078401e-08
1828,2.283903057787029e-07,7.613009717077901e-08
1829,2.666257739036837e-07,5.2296373287408215e-08
1830,1.69076743494756e-07,6.470837954353215e-08
1831,1.7618063052893262e-07,2.9623292263636358e-08
1832,1.8671357970845293e-07,5.817886894465829e-08
1833,2.0503022213347322e-07,8.108539617524002e-08
1834,2.6323377255721425e-07,4.573920264761e-08
1835,2.7151484260912184e-07,6.277362984974388e-08
1836,3.259563818858169e-07,6.451919887240365e-08
1837,2.296103938093097e-07,4.800944786165218e-08
1838,2.234505322995517e-07,6.312161815458239e-08
1839,2.1953231632565462e-07,5.243606460147987e-08
1840,2.0064518801987674e-07,6.624475901162441e-08
1841,2.4333879622417953e-07,6.548959596841541e-08
1842,2.139936565725975e-07,1.0330727917562399e-07
1843,1.9551876295764714e-07,7.383638722657793e-08
1844,1.8935535939235137e-07,4.2810778255741866e-08
1845,1.8805368606766848e-07,6.863680113156079e-08
1846,1.7504959193281877e-07,6.147226216945967e-08
1847,2.3999844600552933e-07,5.770749211819748e-08
1848,2.1078481182712494e-07,6.597081636527946e-08
1849,1.9021271668862028e-07,3.9383248662261394e-08
1850,2.0027538294442593e-07,4.1412874907109654e-08
1851,2.3153485528837336e-07,6.191461210391935e-08
1852,1.8489948505617804e-07,6.119912754343204e-08
1853,1.6840848449106716e-07,5.016422721659808e-08
1854,2.343244673852496e-07,4.416314647315289e-08
1855,2.3987356101429214e-07,8.4380300080511e-08
1856,2.4695192024637436e-07,1.0613237733103631e-07
1857,2.2064420690526276e-07,1.200851205140907e-07
1858,2.05534396613416e-07,7.92775489699693e-08
1859,2.1641736935862355e-07,5.906921174414492e-08
1860,2.2062025806235397e-07,5.9045671241264586e-08
1861,2.145763513539123e-07,6.508029892771106e-08
1862,2.543626189677184e-07,6.957699172360776e-08
1863,1.8480097185857858e-07,6.692791743034832e-08
1864,2.3542114391261748e-07,8.198984735585668e-08
1865,1.9109787530169342e-07,6.307171562802694e-08
1866,2.2722412040820927e-07,5.741423336758089e-08
1867,1.8780380628413695e-07,4.610170734054009e-08
1868,1.9858293986985132e-07,5.878450182184025e-08
1869,2.080379122304521e-07,6.348574588255218e-08
1870,2.7580775263658097e-07,5.332665242718804e-08
1871,2.0074024931204804e-07,7.965882775629041e-08
1872,2.2435628288519638e-07,5.503078692736807e-08
1873,2.1130595939666819e-07,6.045864270332046e-08
1874,2.4854373847915667e-07,6.572069910504297e-08
1875,2.1627372870369754e-07,6.579756239855072e-08
1876,2.0979671333520855e-07,7.497058618355368e-08
1877,2.7275038227969617e-07,7.298082560502905e-08
1878,2.3250491665294248e-07,4.1669710126868154e-08
1879,2.663665892299605e-07,7.331190632342555e-08
1880,2.9265378387322016e-07,5.519347689997289e-08
1881,1.9662471917314406e-07,5.787181223126936e-08
1882,2.389283269010889e-07,5.657077450926806e-08
1883,2.4139874721385013e-07,7.014466518739937e-08
1884,2.1455515408774772e-07,5.0172896948197376e-08
1885,2.610482381371071e-07,8.766064496512627e-08
1886,2.981500415444316e-07,6.19532544710033e-08
1887,2.480991430076074e-07,6.006610520081779e-08
1888,2.27628068394381e-07,6.847864053582953e-08
1889,2.3995473785731747e-07,6.265136648364589e-08
1890,2.74628801477661e-07,7.340913077413802e-08
1891,2.2246027597816465e-07,5.2268603667471325e-08
1892,2.099951617040574e-07,4.764069250207115e-08
1893,2.506475604846514e-07,3.202376674948937e-08
1894,2.6844557865501883e-07,4.978216106010791e-08
1895,2.491706538876315e-07,8.907549142733728e-08
1896,2.6241777995039683e-07,4.953504351146165e-08
1897,2.295725085588174e-07,7.283392100543296e-08
1898,2.065299531395226e-07,5.149103021739876e-08
1899,1.9844006793334756e-07,3.924580482816964e-08
1900,2.2581081715600249e-07,4.46430576950263e-08
1901,2.079010936739678e-07,3.2414686101933654e-08
1902,3.0640171466700394e-07,3.338993082024899e-08
1903,2.3328951836987244e-07,4.212171966777589e-08
1904,2.2250947750990235e-07,4.030969069646062e-08
1905,1.8475516849747464e-07,3.870569253994205e-08
1906,2.530938765232804e-07,4.784091611753638e-08
1907,2.1959941420846008e-07,3.445705187843373e-08
1908,2.318175660320776e-07,3.5853138458108447e-08
1909,2.6404721609196713e-07,5.941062264369634e-08
1910,2.442276887393291e-07,8.016226071827504e-08
1911,2.037703321633444e-07,3.351835864418007e-08
1912,2.1671193017880341e-07,5.0010443786163705e-08
1913,1.898470340933045e-07,5.356019472380069e-08
1914,2.4242211793534807e-07,4.486818383497848e-08
1915,2.7449174933025233e-07,7.657494904833584e-08
1916,1.8239186783119976e-07,4.944358011904626e-08
1917,2.7745054254069146e-07,6.908847183240141e-08
