year,battant_VERB en_ADP
1800,7.545995117652637e-08
1801,1.166779455274991e-07
1802,5.594600338554301e-08
1803,5.265916058760922e-08
1804,7.168367943677367e-08
1805,7.675770063997334e-08
1806,8.35684019762084e-08
1807,1.395007984683616e-07
1808,1.0197332578343321e-07
1809,1.1069249694628525e-07
1810,5.3822915901946544e-08
1811,6.518399686683551e-08
1812,4.5342541277193504e-08
1813,3.163315653864629e-08
1814,7.237357380063258e-08
1815,1.294667271167782e-07
1816,9.733936678912869e-08
1817,6.694555665376356e-08
1818,7.867976847819591e-08
1819,1.1075623262968293e-07
1820,1.2578469466006936e-07
1821,7.790576006527772e-08
1822,7.519211919770896e-08
1823,1.2056878517796576e-07
1824,9.600068295867459e-08
1825,8.453225319726698e-08
1826,5.901349353631957e-08
1827,6.820781928151831e-08
1828,1.2382606939809193e-07
1829,9.259030453456774e-08
1830,8.245100113768444e-08
1831,8.263339168479433e-08
1832,9.470978867831548e-08
1833,8.80355770505048e-08
1834,1.1388127663103376e-07
1835,8.24376584773745e-08
1836,7.460032236394909e-08
1837,8.349469204915749e-08
1838,8.647661475791324e-08
1839,8.94908822601792e-08
1840,1.0255198645836572e-07
1841,9.502412012807326e-08
1842,1.0800306426972384e-07
1843,7.02922405282358e-08
1844,9.879410267643607e-08
1845,1.0267619643400394e-07
1846,7.142491398326456e-08
1847,7.172987182002544e-08
1848,9.573813741781123e-08
1849,1.0222886004385145e-07
1850,9.436704573317911e-08
1851,1.1351012574323249e-07
1852,6.510545347282459e-08
1853,8.957897534855874e-08
1854,9.248282450968759e-08
1855,1.1038429192922194e-07
1856,1.1907535113486745e-07
1857,1.0055908683526127e-07
1858,1.1353328566165999e-07
1859,1.797537123593429e-07
1860,1.7622157696961516e-07
1861,1.3157539058283874e-07
1862,1.2334102450495266e-07
1863,1.0488703594546678e-07
1864,1.0212770717998865e-07
1865,1.3226231998508808e-07
1866,1.3283123223573057e-07
1867,9.511510157267367e-08
1868,1.3535255050101114e-07
1869,1.1671610877783678e-07
1870,9.575861703581268e-08
1871,2.0180236504074855e-07
1872,1.808154441729215e-07
1873,2.0412274670533748e-07
1874,2.551158218011551e-07
1875,1.6592429119555163e-07
1876,1.529641804332016e-07
1877,1.4348773724748298e-07
1878,1.352755845118736e-07
1879,1.2463024112729926e-07
1880,1.180883684170908e-07
1881,1.4014740173928786e-07
1882,1.1181046799535466e-07
1883,1.251229175824875e-07
1884,1.3401444931560036e-07
1885,1.2891271877757404e-07
1886,1.6520867118785532e-07
1887,1.834627801899913e-07
1888,1.5851536261379806e-07
1889,1.4660419339618258e-07
1890,1.677922878418059e-07
1891,1.6063034402602483e-07
1892,1.3539986021271488e-07
1893,1.367168493970894e-07
1894,1.8589540218272305e-07
1895,1.6370632116569084e-07
1896,1.480154303568071e-07
1897,1.4508516277267347e-07
1898,1.1486460682608168e-07
1899,1.4371704182281064e-07
1900,1.515787535488755e-07
1901,1.0618603973888696e-07
1902,1.7578816202679093e-07
1903,1.306853365523608e-07
1904,1.236163820195202e-07
1905,1.2282606398628104e-07
1906,1.430083322873088e-07
1907,1.3114251196100213e-07
1908,1.193467558113781e-07
1909,1.0836937569536076e-07
1910,1.2665637338926672e-07
1911,1.0321526033862938e-07
1912,1.0470936717688062e-07
1913,1.108324880760847e-07
1914,1.5737347985878003e-07
1915,3.4164209861131667e-07
1916,3.505000263359648e-07
1917,2.0836207070829005e-07
1918,2.159438761140109e-07
1919,1.482463558577507e-07
1920,1.219129308616118e-07
1921,1.8174594407227573e-07
1922,1.3575400803489401e-07
1923,1.1040586089805515e-07
1924,9.668718048416736e-08
1925,9.128487477028102e-08
1926,1.270659730767676e-07
1927,1.1929670606924958e-07
1928,1.0626218649445462e-07
1929,1.3145679078618855e-07
1930,1.4389936442427143e-07
1931,1.0835089003791154e-07
1932,1.0301964104009187e-07
1933,1.1011836020813348e-07
1934,8.74655370353139e-08
1935,7.899067533401194e-08
1936,1.2488455602976956e-07
1937,1.1709739800025432e-07
1938,1.400243145877056e-07
1939,1.0705835418178822e-07
1940,1.0396709937410265e-07
1941,1.5052663870918082e-07
1942,1.2440268903901597e-07
1943,1.422585294008627e-07
1944,1.0924832949399388e-07
1945,1.3942425569624106e-07
1946,1.197214967163518e-07
1947,1.3828210931876583e-07
1948,9.567261027854101e-08
1949,1.0798709204618007e-07
1950,8.18922800682742e-08
1951,8.848963362062534e-08
1952,7.381363020808607e-08
1953,9.265491796028869e-08
1954,1.0065711908424646e-07
1955,9.385607890877168e-08
1956,1.2384021008671198e-07
1957,7.598132478747743e-08
1958,8.768578330098364e-08
1959,1.1936151445013365e-07
1960,1.0381249992974517e-07
1961,1.1742389371960371e-07
1962,1.2874171551047198e-07
1963,1.0216364421111734e-07
1964,1.0342746126212887e-07
1965,1.056104381724765e-07
1966,8.585565680618856e-08
1967,9.17042402015511e-08
1968,1.0420085061468853e-07
1969,1.0854801035797834e-07
1970,9.42738594966741e-08
1971,9.2491156955532e-08
1972,8.77255144082767e-08
1973,1.262523707801222e-07
1974,1.0238540726348333e-07
1975,8.967024189843187e-08
1976,8.398884743243684e-08
1977,8.580101751309854e-08
1978,9.029698944118536e-08
1979,1.0767630698182984e-07
1980,9.437350279029033e-08
1981,1.1765521978901461e-07
