year,appartenant_VERB en_ADP
1800,6.917161954334006e-08
1801,1.4048977448055666e-07
1802,1.4545960880241182e-07
1803,1.2677205063482688e-07
1804,3.806650568094483e-07
1805,2.5301611117356515e-07
1806,3.0833859909762396e-07
1807,5.665440880875394e-07
1808,2.900574713748938e-07
1809,3.0496912017952127e-07
1810,2.4103306373035593e-07
1811,1.7048121492280188e-07
1812,2.053750307595692e-07
1813,1.6104152678053651e-07
1814,2.454408161156607e-07
1815,1.2407228666688752e-07
1816,2.3871319854151807e-07
1817,1.4478922594207688e-07
1818,1.3947777688372298e-07
1819,1.0040518816367694e-07
1820,2.7174240813110373e-07
1821,2.406203236660076e-07
1822,1.8948414037822658e-07
1823,2.6584427814668743e-07
1824,2.1052781562502787e-07
1825,2.3950804006744875e-07
1826,2.59835530869168e-07
1827,2.89422359855962e-07
1828,3.549680513970088e-07
1829,3.3864046145026805e-07
1830,2.1499882052467e-07
1831,2.385454536124598e-07
1832,3.436612132645678e-07
1833,3.092828819717397e-07
1834,3.920503104382078e-07
1835,2.911788783421798e-07
1836,3.367095757766947e-07
1837,3.569398074887431e-07
1838,3.610556689181976e-07
1839,3.628575484526664e-07
1840,4.1657764882074844e-07
1841,3.826646945981338e-07
1842,3.4547565519460477e-07
1843,4.0462342099090165e-07
1844,3.326068167552876e-07
1845,3.850357188639464e-07
1846,3.37804721084467e-07
1847,3.7644701933459146e-07
1848,4.135243898417684e-07
1849,3.996980808551598e-07
1850,3.7067917446620413e-07
1851,4.3404722305240284e-07
1852,3.7630951510436716e-07
1853,4.4132576704214443e-07
1854,3.673334845188947e-07
1855,3.449509051733912e-07
1856,4.224586405143782e-07
1857,4.0418893831883906e-07
1858,4.267285476089455e-07
1859,4.1246605064770847e-07
1860,4.2613581285877444e-07
1861,4.112320368676592e-07
1862,4.418590435761871e-07
1863,3.895804354669963e-07
1864,4.785138685292623e-07
1865,4.5279841742740246e-07
1866,5.775482350145467e-07
1867,4.3772359958893503e-07
1868,4.144554281992896e-07
1869,4.6393432739932905e-07
1870,4.191589653146366e-07
1871,4.3971672880616097e-07
1872,6.065481557016028e-07
1873,4.980355470252107e-07
1874,4.911128712592472e-07
1875,4.525728058979439e-07
1876,5.719530236092396e-07
1877,5.621997729576833e-07
1878,5.151342747922172e-07
1879,5.425080757959222e-07
1880,5.538601044463576e-07
1881,4.950480274601432e-07
1882,5.477381819218863e-07
1883,6.679541115772736e-07
1884,5.532222075999016e-07
1885,5.440116410682094e-07
1886,5.00143471526826e-07
1887,5.843387498316588e-07
1888,5.592422098743555e-07
1889,6.390439466485986e-07
1890,6.154568836791441e-07
1891,5.647559078170161e-07
1892,6.155678988761792e-07
1893,5.690376951861253e-07
1894,6.440172910515685e-07
1895,5.476939008985937e-07
1896,6.634157330154267e-07
1897,6.922135753484326e-07
1898,5.890347551940067e-07
1899,6.494904596365814e-07
1900,6.815852771069331e-07
1901,6.801495260333468e-07
1902,5.489697514349245e-07
1903,7.560308290521789e-07
1904,6.363555939969956e-07
1905,6.316769258774002e-07
1906,6.126723519628285e-07
1907,7.127981120902405e-07
1908,7.273767437254719e-07
1909,6.870728270769177e-07
1910,6.225935749171185e-07
1911,6.325925028249912e-07
1912,6.147117233012978e-07
1913,5.891621412956738e-07
1914,6.308332558546681e-07
1915,6.809280534980644e-07
1916,6.482602543655958e-07
1917,6.108298293838743e-07
1918,6.248588988455595e-07
1919,6.666482477157842e-07
1920,6.678708359686425e-07
1921,6.255089601836517e-07
1922,5.82119128011982e-07
1923,6.49696005439182e-07
1924,5.814122800984478e-07
1925,5.323117875377648e-07
1926,5.238684934738558e-07
1927,5.663806064148957e-07
1928,6.672808012808673e-07
1929,5.837572985001316e-07
1930,6.606766760341998e-07
1931,6.204513738339301e-07
1932,5.490728085533192e-07
1933,6.423570653169008e-07
1934,6.350237526930869e-07
1935,6.211539584910497e-07
1936,5.698615836990939e-07
1937,5.36381605797942e-07
1938,5.847311967954738e-07
1939,7.89172986515041e-07
1940,5.933732154517202e-07
1941,1.1510860531416256e-06
1942,1.016460942082631e-06
1943,5.429049565464084e-07
1944,5.012570341023093e-07
1945,3.943092394820269e-07
1946,5.15080841978488e-07
1947,5.662413968821056e-07
1948,4.7292712679336546e-07
1949,4.987040256310138e-07
1950,4.371133570657548e-07
1951,4.2858835058723344e-07
1952,4.439362442099082e-07
1953,4.923639380649547e-07
1954,4.573547016661905e-07
1955,4.092125038823724e-07
1956,4.6745319082219794e-07
1957,4.497034069572692e-07
1958,4.41737796563757e-07
1959,3.813368039118359e-07
1960,4.36012498994387e-07
1961,4.016036143639212e-07
1962,4.3061882593065093e-07
1963,4.1318079979646427e-07
1964,3.984999352724117e-07
1965,4.42688303792238e-07
1966,3.8718133055226645e-07
1967,4.3140437355759786e-07
1968,3.4224589740006195e-07
1969,4.732511627025815e-07
1970,4.4423683220884413e-07
1971,3.9771197180016316e-07
1972,3.4782397051458247e-07
1973,3.4622919997673307e-07
1974,4.416073693391809e-07
1975,3.849537506539491e-07
1976,3.5366730344321695e-07
1977,3.3732726478774566e-07
1978,3.398018293410132e-07
1979,3.815486593339301e-07
1980,3.479312340459728e-07
1981,2.8781249739040504e-07
1982,3.0789212246418174e-07
1983,2.8355768222354527e-07
1984,2.499372726560978e-07
1985,3.290510335318686e-07
1986,3.0631821346105426e-07
1987,3.092073370680737e-07
1988,3.1122112886805553e-07
1989,3.3477545002824627e-07
1990,3.4816881111510156e-07
1991,3.0010701834726206e-07
1992,2.8100714644097025e-07
1993,3.113034665602754e-07
1994,3.07000732391316e-07
1995,2.564819112649275e-07
1996,2.3701129236997076e-07
1997,2.934475560323335e-07
1998,2.4555865252295916e-07
1999,2.4222066485890537e-07
2000,2.505023815047025e-07
2001,2.5980585860452265e-07
2002,2.5192022690134763e-07
2003,2.2209698613551154e-07
2004,2.1979907671720866e-07
2005,2.350957259977804e-07
2006,2.277193118516152e-07
2007,2.1130796312718303e-07
2008,1.7923821360454895e-07
2009,1.959727171652048e-07
2010,1.7478033953466365e-07
2011,1.3613340854590206e-07
2012,1.2085097012004553e-07
2013,1.626059855652784e-07
2014,1.3447414914935507e-07
2015,1.9949177954003972e-07
2016,1.6819281256630347e-07
2017,1.4515077850774105e-07
2018,1.3191295522574364e-07
2019,1.5688574706018699e-07
