year,seraient_VERB en_ADP,seraient_VERB sans_ADP
1800,6.822837121944758e-07,3.521464293498866e-07
1801,7.857902346586343e-07,1.500145003774378e-07
1802,7.877197276684456e-07,3.2224897950072773e-07
1803,5.519460160030576e-07,2.574447819370107e-07
1804,6.995338139859086e-07,3.5100282502753544e-07
1805,4.5201755938251154e-07,2.3311596919484145e-07
1806,7.002456072768837e-07,2.622318788780831e-07
1807,1.1814863682957366e-06,2.903894085193315e-07
1808,6.073078111512586e-07,3.4217717370665923e-07
1809,8.335822485605604e-07,3.230413767596474e-07
1810,1.0390162969997618e-06,3.01876355024433e-07
1811,9.426608471585496e-07,2.8831382792304794e-07
1812,8.695099040778587e-07,4.4542377963807667e-07
1813,9.432432648281974e-07,5.808998366774176e-07
1814,9.345631042378955e-07,3.9648131178182666e-07
1815,1.0006699540099362e-06,4.234640869071882e-07
1816,7.763973144392367e-07,4.843791998609959e-07
1817,8.204722803384357e-07,3.42512151974006e-07
1818,1.049063598657085e-06,6.31822388186265e-07
1819,9.854200015979586e-07,4.833940465687192e-07
1820,1.030010594149644e-06,4.983921826351434e-07
1821,9.86148847914592e-07,5.127973849994305e-07
1822,1.2582147519424325e-06,5.403807108450565e-07
1823,1.1908638271052041e-06,4.5559187356047914e-07
1824,1.0105335377375013e-06,5.355827852326911e-07
1825,1.0522504680920974e-06,4.543608724816295e-07
1826,1.1459187589935027e-06,4.923663254885469e-07
1827,1.3346611922315788e-06,5.806882086289988e-07
1828,1.2685292176684015e-06,6.16378656559391e-07
1829,1.2731165952573065e-06,7.184321475506295e-07
1830,1.3171286354918266e-06,7.347532573476201e-07
1831,1.1241260153838084e-06,7.140772595448652e-07
1832,1.2176972177257994e-06,6.819104783062357e-07
1833,1.6159161759787821e-06,7.401938546536257e-07
1834,1.3637749134431942e-06,6.534171461680671e-07
1835,1.2993384643777972e-06,7.101739356585313e-07
1836,1.3004651009396184e-06,5.800007443212962e-07
1837,1.4020150729265879e-06,5.315828843777126e-07
1838,1.3261852700452437e-06,5.807189040751837e-07
1839,1.4814935411777697e-06,5.78894116642914e-07
1840,1.4185296777213807e-06,5.860113674316381e-07
1841,1.4035318827154697e-06,7.191014219642966e-07
1842,1.5643673805243452e-06,7.077219379425514e-07
1843,1.4152958556223894e-06,7.54903226152237e-07
1844,1.453919935556769e-06,6.586273570974299e-07
1845,1.5591157307426329e-06,6.456323831116606e-07
1846,1.3933713489677757e-06,5.374432134885865e-07
1847,1.5349114619311877e-06,7.183774073382665e-07
1848,1.795693492567807e-06,5.48684113255149e-07
1849,1.4002002899360377e-06,7.315229026971792e-07
1850,1.4073589227336925e-06,6.130463248155138e-07
1851,1.3943686099082697e-06,6.468787319136027e-07
1852,1.369167648590519e-06,5.957148800916912e-07
1853,1.1460136875030003e-06,5.201552539801924e-07
1854,1.237087758454436e-06,5.860709393346042e-07
1855,9.99296275949746e-07,6.007452952871972e-07
1856,1.1162020427946118e-06,5.539592393688508e-07
1857,1.2457611546778935e-06,5.735773243031872e-07
