year,tuant_VERB en_ADP,tuant_VERB sans_ADP
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,0.0,3.900678446910888e-09
1804,1.4831105232815389e-08,4.943701892301533e-09
1805,1.421438877713399e-08,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,2.4926814390369145e-08
1809,0.0,1.581321384946932e-08
1810,4.680253518074551e-09,7.020380277111826e-09
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,8.091670444798638e-09
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,3.099506074022429e-08
1819,2.2772310259711048e-08,5.175524897538253e-09
1820,1.1866481131050932e-09,0.0
1821,0.0,1.97229765852569e-09
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,2.8659792761231984e-08,0.0
1824,8.421112696055388e-10,0.0
1825,4.4027217427355936e-09,8.805443041381977e-10
1826,5.284790383086602e-09,3.170874407487645e-08
1827,9.217273055917019e-10,2.7651818612639545e-09
1828,9.172301251858528e-10,9.172301251858528e-10
1829,3.429270423183084e-09,0.0
1830,1.0436835395921662e-08,1.0436835840010872e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,1.213489042584115e-08,9.334530925997342e-10
1835,6.806779140333674e-09,5.294161553592858e-09
1836,1.1425274948351216e-08,1.0753200108126748e-08
1837,5.5663127440652715e-09,6.262101948095733e-09
1838,1.0730675015224733e-08,1.64116205070286e-08
1839,9.088918062616358e-09,2.7266752411492234e-08
1840,6.369688665408546e-10,2.5478755105723394e-08
1841,1.926164561183441e-09,8.346713542550788e-09
1842,3.3541325272778977e-09,1.1404051036834062e-08
1843,3.5441467538532834e-09,1.6539351221922516e-08
1844,1.2074834465636286e-08,1.0977122322231025e-08
1845,4.464182357111213e-09,9.48638767539478e-09
1846,7.610851504580296e-09,4.6836010625384006e-09
1847,3.235934187273415e-09,1.240441438454809e-08
1848,2.413566457803995e-09,2.333114323960217e-08
1849,1.0893239199560867e-08,2.011059585527164e-08
1850,4.073397619208663e-09,1.1541293254424545e-08
1851,5.8044946626978344e-09,9.029214709244116e-09
1852,6.510545436100301e-09,1.3672145193766028e-08
1853,8.360704129017904e-09,9.555090940693844e-09
1854,7.79349651480743e-09,7.27393034694046e-09
1855,1.1144567935161831e-08,1.8574279891936385e-08
1856,4.659470143053568e-09,1.8120163147727908e-08
1857,6.345961978126979e-09,2.5383847912507917e-08
1858,6.851146205910652e-09,1.565976326389773e-08
1859,4.073738679721828e-09,1.2730433596175317e-08
1860,7.781212646440494e-09,3.204028820036342e-09
1861,8.960331143725853e-09,1.6034276129062164e-08
1862,1.2650361647104091e-08,7.680577063240435e-09
1863,9.989241434027463e-09,5.9935452156878455e-09
1864,1.6781548595190543e-08,5.753673537611803e-09
1865,5.6482134525026595e-09,8.47231973466478e-09
1866,1.0704348740731007e-08,2.1895258939252926e-08
1867,1.0190904120577216e-08,5.82337378318698e-09
1868,6.915823469455518e-09,9.385760613156435e-09
1869,1.70923168951731e-08,1.5138908793232986e-08
1870,1.834895613228582e-08,1.3761717099214366e-08
1871,1.6993883633631413e-08,0.0
1872,7.256807044164759e-09,6.652073114565837e-09
1873,1.2570609442263958e-08,5.387403856360606e-09
1874,2.330097642611051e-08,1.0754296120296658e-08
1875,1.7736734747586524e-08,1.3731664694205392e-08
1876,1.6928840551599933e-08,1.209202959984168e-08
1877,1.1132669008873108e-08,2.4739263970730008e-09
1878,1.268208649207736e-08,1.268208649207736e-08
1879,2.321543601802034e-08,1.4662380642960215e-08
