year,mourant_VERB en_ADP,mourant_VERB cent_DET
1800,6.602745239447927e-08,3.144164484325529e-09
1801,4.0480102825313224e-08,0.0
1802,6.713520406265161e-08,8.951360541686881e-09
1803,6.046051481689574e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,5.970043304159844e-08,0.0
1806,1.0085842205853623e-07,8.645007376628655e-09
1807,1.7081731584767113e-08,0.0
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,3.388545621874073e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,9.526891631139733e-08,2.5070767684098882e-09
1812,3.7340914360584065e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,5.3944472000466703e-08,0.0
1816,7.648093003354006e-08,0.0
1817,2.6466848268569265e-08,4.670620334934483e-09
1818,9.536941902865692e-09,2.384235475716423e-09
1819,6.417651121637391e-08,1.035105001712111e-09
1820,2.966620193944891e-08,7.119888678630559e-09
1821,2.2681422962023134e-08,0.0
1822,8.72228582693424e-08,0.0
1823,3.2612866740500124e-08,1.9765373782121287e-09
1824,5.4737231636181605e-08,8.421112696055388e-10
1825,7.220463649204589e-08,1.7610886082763955e-09
1826,4.4039921931471326e-08,3.5231937367541377e-09
1827,3.410391025138182e-08,3.6869092223668076e-09
1828,4.1275356466030644e-08,7.337841001486822e-09
1829,3.3435387791769244e-08,3.429270423183084e-09
1830,1.5133412034629146e-07,1.0436835840010872e-09
1831,2.182768810143898e-08,4.677361609140007e-09
1832,3.3824925083081325e-08,0.0
1833,2.6642345218874652e-08,0.0
1834,2.520323283405901e-08,2.8003592777992026e-09
1835,2.4958190181223472e-08,0.0
1836,5.2421849972006385e-08,2.016224964762614e-09
1837,7.027470161347082e-08,1.3915781860163179e-09
1838,2.5248647617104325e-08,3.787297142565649e-09
1839,2.9364196407755117e-08,2.0974426639952526e-09
1840,3.567025785855549e-08,0.0
1841,6.163726862240537e-08,1.926164561183441e-09
1842,4.561620414733625e-08,0.0
1843,5.847841949568888e-08,5.906911071384968e-10
1844,6.256959972361642e-08,2.7442805805577564e-09
1845,5.022205229465726e-08,1.1160455892778032e-09
1846,3.39561074813588e-08,1.1709002656346001e-09
1847,2.534815113364175e-08,5.393223645455691e-10
1848,6.757986170669028e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,4.5486274302675156e-08,1.3577992064028876e-09
1851,5.159551008659946e-08,0.0
1852,2.929745512858517e-08,0.0
1853,4.717826085354204e-08,1.7915795513800958e-09
1854,7.014146774508845e-08,5.195664454227256e-10
1855,5.519214596461097e-08,1.5920811335945473e-09
1856,4.245295315286057e-08,3.1063134287023786e-09
1857,3.905207179855097e-08,4.881509085841174e-10
1858,4.697928801533635e-08,4.893676019968041e-10
1859,3.208069188076479e-08,5.092173349652285e-10
1860,5.996110985506675e-08,0.0
1861,4.480165571862926e-08,2.8295783494058924e-09
1862,5.69266269678792e-08,0.0
1863,5.943598679891693e-08,0.0
1864,3.835782536043553e-08,4.794727948009836e-10
