year,réfléchissant_VERB en_ADP,réfléchissant_VERB sans_ADP
1800,3.458580977167003e-08,0.0
1801,1.904946067554647e-08,4.7623651688866175e-09
1802,2.9091921760482364e-08,0.0
1803,1.9503391568420625e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,7.4155526164076946e-09
1805,8.528632911009026e-09,0.0
1806,3.7461699520235925e-08,8.645007376628655e-09
1807,2.2775640928784924e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,1.129515236897305e-08,1.129515236897305e-08
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,4.888760685162197e-08,0.0
1814,4.405347864278042e-08,1.8880061958270744e-08
1815,2.966945977789237e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,3.42512151974006e-08,3.113746815941454e-09
1818,2.2650237241350624e-08,7.152706427149269e-09
1819,3.9333990287104825e-08,1.449147024601416e-08
1820,9.493184904840746e-09,7.119888678630559e-09
1821,3.4515210245444905e-08,4.930744257336528e-09
1822,2.3058916553964082e-08,1.2030739071633434e-08
1823,9.882686669016039e-09,6.917880934764753e-09
1824,3.2000230021367315e-08,8.421112696055388e-10
1825,4.6668848341369085e-08,1.4088708866211164e-08
1826,4.315912249808207e-08,9.688783109140786e-09
1827,3.0417001140037314e-08,2.7651818612639545e-09
1828,1.0089530988466322e-08,1.2841221419535032e-08
1829,1.7146351560803907e-08,1.714635211591542e-09
1830,2.7135773184028267e-08,2.1917355041978226e-08
1831,2.3386808933878456e-08,1.870944643656003e-08
1832,6.088486359523415e-08,1.3529969367098715e-09
1833,3.70676112027013e-08,0.0
1834,3.733812459216779e-08,6.534171426153534e-09
1835,3.1764969321557146e-08,6.806779140333674e-09
1836,3.696412598230836e-08,6.720750067579218e-10
1837,1.7394727436226276e-08,8.349468672008697e-09
1838,2.5248647617104325e-08,5.049729523420865e-09
1839,2.3071868193724754e-08,8.38977065598101e-09
1840,2.8663599493938818e-08,2.5478754661634184e-09
1841,2.5682194149112547e-08,9.630822361827995e-09
1842,1.2745703603656011e-08,4.695785538189057e-09
1843,9.451057825238252e-09,2.3627644285539873e-09
1844,2.9638231424655714e-08,2.195424508855126e-09
1845,1.5624638138866942e-08,1.1160455892778032e-09
1846,1.8148954339380907e-08,3.5127007969038004e-09
1847,3.4516631330916425e-08,2.1572894581822766e-09
1848,1.448139919091318e-08,1.6090443422100975e-09
1849,3.100383594301093e-08,8.379414495607307e-09
1850,1.8330290174617403e-08,4.073397619208663e-09
1851,1.805842853030981e-08,5.8044946626978344e-09
1852,2.2135855370919444e-08,3.2552727180501506e-09
1853,2.030456869306363e-08,2.9859659189668264e-09
1854,1.9223957981040485e-08,2.0782658372020535e-09
1855,1.6982198758341838e-08,7.429711956774554e-09
1856,2.6403664810104033e-08,4.659470143053568e-09
1857,1.6597131002882293e-08,1.9526036343364694e-09
1858,1.468102794888182e-08,4.893676130990343e-09
1859,3.0043821652725455e-08,1.5276520048956854e-09
1860,2.013961006297471e-08,8.238931314963338e-09
1861,1.5091083938045813e-08,3.3011746669586728e-09
1862,2.7559716397895784e-08,4.517986429419807e-09
1863,1.848009772986714e-08,9.489779628779615e-09
1864,1.1986819536957682e-08,6.712618905169165e-09
1865,1.6003271208209213e-08,6.589582213223366e-09
1866,3.5518972651971126e-08,9.244664589402873e-09
1867,1.6014277903764196e-08,1.067618526917613e-08
1868,4.544684273355415e-08,3.951899252285784e-09
1869,1.6115613732381462e-08,6.8369265804335555e-09
1870,2.981705193860762e-08,2.2936195165357276e-09
1871,2.0180236148803488e-08,6.37270636261178e-09
1872,1.3304146229131675e-08,5.442605477412599e-09
