year,abandonnant_VERB en_ADP
1800,9.432493897065797e-09
1801,0.0
1802,4.699464284385613e-08
1803,7.801356671777171e-09
1804,1.4831105232815389e-08
1805,1.9900143755080535e-08
1806,4.8988376022407465e-08
1807,2.562259560079383e-08
1808,1.8128591960930862e-08
1809,9.036122072814123e-09
1810,1.1700633351097167e-08
1811,2.2563691359778204e-08
1812,2.1337665856435706e-08
1813,7.189353823378042e-08
1814,3.1466771410748606e-09
1815,3.506390555685357e-08
1816,3.9399267848239106e-08
1817,1.4011860338669635e-08
1818,2.384235386898581e-08
1819,3.622867339458935e-08
1820,2.8479553826343817e-08
1821,2.5639868894700157e-08
1822,1.1028177482330648e-08
1823,6.127265805844218e-08
1824,4.29476756380609e-08
1825,2.2013607603454943e-08
1826,1.6735169694470642e-08
1827,3.96342727526644e-08
1828,1.9261833017480967e-08
1829,1.628903412154159e-08
1830,1.7742621594152297e-08
1831,1.870944643656003e-08
1832,1.488296597074168e-08
1833,1.7375443306377747e-08
1834,2.240287422239362e-08
1835,4.235329242874286e-08
1836,3.2259599436201825e-08
1837,1.0436836284100082e-08
1838,3.092959488526503e-08
1839,2.37710154893378e-08
1840,2.1019973317493168e-08
1841,3.274479842829692e-08
1842,2.750388716776797e-08
1843,2.8943864194275193e-08
1844,2.9089374464774664e-08
1845,2.5669049108500985e-08
1846,2.6345256642912318e-08
1847,4.907833428546837e-08
1848,3.539897619475596e-08
1849,6.703531951757213e-09
1850,4.752297311227949e-08
1851,3.031236062156495e-08
1852,3.320378283433456e-08
1853,7.166318205520383e-09
1854,4.1045748133683446e-08
1855,2.1227748447927297e-08
1856,1.5531567143511893e-08
1857,3.661131842136456e-08
1858,3.327699621413771e-08
1859,3.106225676674512e-08
1860,3.295572525985335e-08
1861,4.4330059900676844e-08
1862,2.5752521892741242e-08
1863,1.6482248454963155e-08
1864,2.2535221688713136e-08
1865,1.6473954644879996e-08
1866,2.6274309394835882e-08
1867,9.220341823379385e-09
1868,2.0253484556143064e-08
1869,1.4162205630441349e-08
1870,4.7019200088982416e-08
1871,3.1863531146925084e-08
1872,3.08414298544335e-08
1873,3.95076291681562e-08
1874,3.345780963392997e-08
1875,2.9179789251543298e-08
1876,2.9020871039620033e-08
1877,2.9068635498674666e-08
1878,4.106580209217725e-08
1879,2.993569481191116e-08
1880,2.2462462112571302e-08
1881,3.0679034201952504e-08
1882,2.4624924765959122e-08
1883,2.8437025179073316e-08
1884,2.8387296069354306e-08
1885,2.8360796489046436e-08
1886,2.258712406000285e-08
1887,3.264462478114183e-08
1888,1.7119660356001987e-08
1889,3.5084767091575486e-08
1890,1.7041405175888258e-08
1891,2.42220359325529e-08
1892,2.1312942521944933e-08
1893,2.155445777418663e-08
1894,1.5123694296903523e-08
1895,1.5046536017138123e-08
1896,3.774098406017501e-08
1897,1.4566784223291052e-08
1898,2.263341902786209e-08
1899,2.984892333302014e-08
1900,3.218453115128028e-08
1901,2.682594613112599e-08
1902,1.5712908307818907e-08
1903,2.430099144135056e-08
1904,2.741058935384899e-08
1905,2.7352022868853965e-08
1906,2.1091157265118454e-08
1907,3.394276504309346e-08
1908,2.89771957540097e-08
1909,2.3654228797909127e-08
1910,3.0461659528135954e-08
1911,4.149891807969652e-08
1912,3.229841105678588e-08
1913,3.2878535449754054e-08
1914,2.6117300322425763e-08
1915,5.301342997920955e-08
1916,2.6369908923129515e-08
1917,3.72858446340274e-08
1918,4.709414369585829e-08
1919,2.5781976331629153e-08
1920,3.33178178379967e-08
1921,3.559191341651058e-08
1922,2.1396012073182646e-08
1923,3.715581931018619e-08
1924,2.1915761205804074e-08
1925,1.0998177923937646e-09
1926,2.452150482668003e-08
1927,3.233275258640589e-08
1928,2.170947854818195e-08
1929,4.233354422567004e-08
1930,1.9956846175617216e-08
1931,2.8513390759599133e-08
1932,2.520693342944469e-08
1933,2.408838994938378e-08
1934,2.2765002327673756e-08
1935,1.6755596909945325e-08
1936,3.6374142808881516e-08
1937,2.392312481447334e-08
1938,2.8523471029551217e-08
1939,1.5294050470515685e-08
