year,fût_VERB avant_ADP,fût_VERB savant_ADJ
1800,0.0,0.0
1801,9.524730337773235e-09,9.524730337773235e-09
1802,4.0281122437590966e-08,6.713520406265161e-09
1803,1.950339267864365e-08,2.9255089017965474e-08
1804,7.4155526164076946e-09,0.0
1805,7.675770063997334e-08,0.0
1806,8.645007376628655e-09,5.76333825108577e-09
1807,5.693910232196231e-09,8.540865792383556e-09
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,4.518061036407062e-09
1810,1.4040760554223652e-08,0.0
1811,4.011322829455821e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,1.1502966579257645e-08,1.1502966579257645e-08
1814,2.2026739543434815e-08,0.0
1815,8.091670622434322e-08,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,2.6466848268569265e-08,1.71256075987003e-08
1818,4.768470951432846e-09,0.0
1819,3.726378139390363e-08,0.0
1820,2.4919611263385377e-08,1.4239777357261119e-08
1821,1.2819934447350079e-08,6.903041693817613e-09
1822,1.0025615893027862e-08,3.0076847679083585e-09
1823,4.5460360809101985e-08,9.882686891060644e-10
1824,1.51580028528997e-08,0.0
1825,3.3460683113162304e-08,6.163809906922779e-09
1826,2.4662355713189754e-08,4.403992281964975e-09
1827,2.488663675137559e-08,3.6869092223668076e-09
1828,2.2930752408001354e-08,6.420610709767516e-09
1829,5.658296231558779e-08,0.0
1830,4.383471008395645e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,1.091384405071949e-08
1832,3.5177919244233635e-08,5.411987746839486e-09
1833,4.749287541017111e-08,4.6334514003376626e-09
1834,2.8937046536725575e-08,2.8003592777992026e-09
1835,3.479020449503878e-08,6.050470346963266e-09
1836,2.9571300075303952e-08,2.016224964762614e-09
1837,2.852735292435682e-08,1.3915781860163179e-09
1838,3.850418650586107e-08,9.468243078458727e-09
1839,3.425822825420255e-08,6.9914751765765e-10
1840,1.2102408852854296e-08,6.369688665408546e-10
1841,4.1091510638580075e-08,3.852329122366882e-09
1842,1.2745703159566801e-08,6.708265054555795e-10
1843,1.594865928211675e-08,3.5441467538532834e-09
1844,3.2931367854871496e-08,0.0
1845,3.459741293454499e-08,5.580227835366713e-09
1846,1.8734404250153602e-08,2.3418005312692003e-09
1847,3.128069891999985e-08,2.1572894581822766e-09
1848,3.781254065415851e-08,3.218088684420195e-09
1849,2.011059585527164e-08,0.0
1850,2.308258650884909e-08,0.0
1851,3.1602251482354404e-08,1.2253933867611977e-08
1852,3.7761164861649377e-08,2.2135854038651814e-08
1853,2.09017620989016e-08,2.388772735173461e-09
1854,2.0263090760863633e-08,3.63696517347023e-09
1855,2.812676669350367e-08,5.837630823180007e-09
1856,1.4496129630003907e-08,1.0354378465748937e-09
1857,4.930324237761852e-08,2.9289055625270066e-09
1858,3.1808895073481835e-08,1.9574704079872163e-09
1859,1.8331824946926645e-08,4.582956236731661e-09
1860,1.876645328025006e-08,9.15436793036406e-09
1861,5.423358118150645e-08,3.3011746669586728e-09
1862,2.801151488540654e-08,3.6143890103090826e-09
1863,2.6970951694238465e-08,2.4973103585068657e-09
1864,4.1234660130839984e-08,1.4384183844029508e-09
1865,3.388927893865912e-08,7.0602665935837194e-09
1866,2.238181906477621e-08,1.9462451650298362e-09
1867,2.5719900875742496e-08,3.88224918879132e-09
1868,3.951899429921468e-08,9.87974813071446e-10
1869,4.49283774628384e-08,1.953407657850903e-09
1870,4.0711746862598375e-08,2.2936195165357276e-09
1871,7.647247457498452e-08,1.0621177271019633e-09
1872,1.8746751706544273e-08,4.8378714367913744e-09
1873,2.8732820567256567e-08,4.190203295451056e-09
1874,2.0911132381229436e-08,3.5847653734322193e-09
1875,3.833423178889461e-08,1.716458086775674e-09
1876,2.3579458385825092e-08,3.02300739996042e-09
1877,2.1646856751544874e-08,2.4739263970730008e-09
1878,2.0532901601200138e-08,6.039088784604019e-09
1879,1.9549840857280287e-08,1.221865053580018e-09
1880,2.888030792291829e-08,7.059631101924424e-09
1881,3.486253774553916e-08,1.3945015142624584e-09
1882,1.5972924316542958e-08,1.3310770263785798e-09
1883,3.6020232130340446e-08,6.951272890631799e-09
1884,3.1688145440966764e-08,5.281357573494461e-09
1885,2.4493415295978593e-08,6.445635691854079e-10
1886,1.1616235084943582e-08,3.2267319927115068e-09
1887,2.2198344495905076e-08,4.570247291724172e-09
1888,2.6630582183884144e-08,0.0
1889,3.195219733242993e-08,6.265136742733546e-10
1890,4.915789730830511e-08,3.2771931834929546e-09
1891,3.952016314201501e-08,0.0
1892,2.5074049503359674e-08,6.268512375839919e-10
1893,2.9560400349737392e-08,1.847525021858587e-09
1894,3.0247388593807045e-08,5.041231432301174e-09
1895,2.9491211250842753e-08,5.416753268150387e-09
1896,2.7126333179694484e-08,0.0
1897,1.981082675683865e-08,3.4960281336537946e-09
1898,2.546259736391221e-08,3.960848538042683e-09
1899,2.8743407654019393e-08,2.7637891975018647e-09
1900,1.661137005726232e-08,0.0
1901,2.51493244007861e-08,2.794369402536745e-09
1902,1.6203935970793282e-08,1.9641135384773634e-09
1903,2.2680925582108102e-08,1.6200660812870638e-09
1904,1.7736262236667244e-08,0.0
1905,2.2191263937543226e-08,5.160759042333041e-10
1906,3.549487459508782e-08,3.0865106026567446e-09
1907,3.034277540336916e-08,0.0
1908,3.045061092166179e-08,4.911389073214423e-10
