year,détruisant_VERB en_ADP
1800,3.772997558826319e-08
1801,5.2386017301842e-08
1802,4.699464284385613e-08
1803,1.1702034896643454e-08
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,4.610670600868616e-08
1807,4.839823830593559e-08
1808,3.852325747288887e-08
1809,7.00299480627109e-08
1810,6.552355102940055e-08
1811,7.521229861140455e-09
1812,1.600324850414836e-08
1813,1.1502966579257645e-08
1814,1.5733386149463513e-08
1815,2.6972236000233352e-08
1816,7.648093003354006e-08
1817,4.203558034987509e-08
1818,1.5497530370112145e-08
1819,2.070209959015301e-08
1820,3.9159388620646496e-08
1821,1.7750679148775816e-08
1822,2.4061478143266868e-08
1823,1.087095569118901e-08
1824,1.3473780313688621e-08
1825,8.805443485471187e-09
1826,2.2019960965735663e-08
1827,3.410390903013649e-08
1828,4.953042775923677e-08
1829,2.3147574523818548e-08
1830,1.878630406793036e-08
1831,5.76874619184764e-08
1832,3.2471927369215337e-08
1833,3.01174338801502e-08
1834,5.1339920759119195e-08
1835,2.4201881387853064e-08
1836,4.166864897570122e-08
1837,2.7831564608504777e-08
1838,2.651107955387033e-08
1839,5.103776956616457e-08
1840,3.630722389402763e-08
1841,5.3290552415319326e-08
1842,4.427455024824667e-08
1843,4.548321541619771e-08
1844,3.1284798751585186e-08
1845,4.3525776760589e-08
1846,3.9810608143397985e-08
1847,3.235934187273415e-08
1848,3.218088551193432e-08
1849,2.1786478399121734e-08
1850,3.869727649430388e-08
1851,4.5791015423901626e-08
1852,3.385483537954315e-08
1853,3.881755716861335e-08
1854,3.896748168585873e-08
1855,3.1841622671890946e-08
1856,4.34883880018333e-08
1857,2.880090299584026e-08
1858,4.1106879677954566e-08
1859,2.1387128512628806e-08
1860,3.524431591017674e-08
1861,5.611996911625283e-08
1862,3.298130124562704e-08
1863,4.5950510951797696e-08
1864,1.965838514195184e-08
1865,2.8241066374334878e-08
1866,5.157549765044678e-08
1867,4.755755256269367e-08
1868,4.1494942593089945e-08
1869,2.6371003158942585e-08
1870,3.268407766654491e-08
1871,2.8677177965619194e-08
1872,3.3260366905096816e-08
