year,donnant_VERB en_ADP
1800,4.96778000069753e-07
1801,3.119349116786907e-07
1802,4.5875722776145267e-07
1803,2.457427399349399e-07
1804,3.58418390078441e-07
1805,3.8663137047478813e-07
1806,3.861436539409624e-07
1807,2.932363827312656e-07
1808,3.104521510977065e-07
1809,4.902096293335489e-07
1810,2.5975407424994046e-07
1811,4.613021360455605e-07
1812,3.8141078562148323e-07
1813,2.933256553205865e-07
1814,2.4858749725353846e-07
1815,1.6183341244868643e-07
1816,2.75794860726819e-07
1817,2.319741412293297e-07
1818,3.0875850143274874e-07
1819,3.239878765270987e-07
1820,2.7055577334067493e-07
1821,2.6034328470814216e-07
1822,3.1480433904107485e-07
1823,3.281052158854436e-07
1824,3.680026168240147e-07
1825,2.9057960659883975e-07
1826,3.170874265379098e-07
1827,3.7975163991177396e-07
1828,3.769815748455585e-07
1829,3.652172892998351e-07
1830,4.2373554265395796e-07
1831,2.2763160245631298e-07
1832,3.314842444979149e-07
1833,2.9306579563126434e-07
1834,3.173740594775154e-07
1835,3.0706138431924046e-07
1836,2.701741550481529e-07
1837,2.699661649785412e-07
1838,3.048774317448988e-07
1839,3.6076011156183085e-07
1840,2.9427962999761803e-07
1841,3.595507109821483e-07
1842,3.3943820199056063e-07
1843,3.573681226498593e-07
1844,3.479747761048202e-07
1845,3.5936668041358644e-07
1846,3.0853220778226387e-07
1847,4.314578916364553e-07
1848,3.94215874166548e-07
1849,2.052956631359848e-07
1850,4.0598195027996553e-07
1851,3.269865374022629e-07
1852,4.518318519330933e-07
1853,3.66079433433697e-07
1854,3.460312427705503e-07
1855,3.1045581749822304e-07
1856,3.6550954973790795e-07
1857,3.480515999854106e-07
1858,4.0470700923833647e-07
1859,3.9260655171347025e-07
1860,4.018767469915474e-07
1861,3.21628732535828e-07
1862,3.5963171285402495e-07
1863,4.0656212263456837e-07
1864,3.816603566519916e-07
1865,3.920801248114003e-07
1866,4.7099132416406064e-07
1867,3.7657815710190334e-07
1868,4.080335997969087e-07
1869,3.892164670560305e-07
1870,3.537908241924015e-07
1871,3.9404568497047876e-07
1872,3.954959879592934e-07
1873,3.3222323736481485e-07
1874,4.056759621562378e-07
1875,3.856309263028379e-07
1876,3.8573574556721724e-07
1877,3.036744544715475e-07
1878,4.6259418695626664e-07
1879,3.873312266478024e-07
1880,4.043243109208561e-07
1881,3.116711013717577e-07
1882,3.6205295828040107e-07
1883,4.581520727242605e-07
1884,4.1260605598836264e-07
1885,4.0285223690261773e-07
1886,4.865911478191265e-07
1887,3.773718333377474e-07
1888,3.7853470757909236e-07
1889,4.435716789430444e-07
1890,4.1161547414958477e-07
1891,3.894648443747428e-07
1892,5.064957804279402e-07
1893,4.951367031935661e-07
1894,4.3417605866125086e-07
1895,4.483867712679057e-07
1896,4.865049163527146e-07
1897,4.7138112790889863e-07
1898,4.4191750703248545e-07
1899,4.250707661412889e-07
1900,4.3968219642920303e-07
1901,4.35921634789338e-07
1902,4.527281589616905e-07
1903,4.077166408933408e-07
1904,3.8966032889220514e-07
1905,4.5466288156603696e-07
1906,4.7429381311303587e-07
1907,4.196560325908649e-07
1908,4.223794576319051e-07
1909,3.7791755858052056e-07
1910,4.54787226544795e-07
1911,3.995600934558752e-07
1912,4.5530342163146997e-07
1913,4.242391753450647e-07
1914,4.0381365806752e-07
1915,4.0643629972691997e-07
1916,3.867586713113269e-07
1917,3.322826671592338e-07
1918,5.685756150342058e-07
1919,4.1803630779213563e-07
1920,9.541012104818947e-07
1921,6.482271714958188e-07
1922,4.3382260628277436e-07
1923,4.129603894398315e-07
1924,4.228452894494694e-07
1925,3.9263494500119123e-07
1926,4.112925182653271e-07
1927,4.247854690220265e-07
1928,4.1590789123802097e-07
1929,4.1219504964828957e-07
1930,4.1489232671665377e-07
1931,4.4138730004306126e-07
1932,5.140022949490231e-07
1933,3.3494333706585167e-07
1934,4.0138294821190357e-07
1935,4.5000749082646507e-07
1936,3.8556592585337057e-07
1937,3.5758776562033745e-07
1938,4.356311933406687e-07
1939,4.909390440843708e-07
1940,4.133326285682415e-07
1941,4.397738848638255e-07
