year,voulut_VERB aider_VERB,voulut_VERB céder_VERB
1800,3.144164484325529e-09,5.659496338239478e-08
1801,0.0,9.524730337773235e-09
1802,4.475680270843441e-09,6.713520406265161e-09
1803,1.755305234496518e-08,6.046051725938639e-08
1804,3.460591457837836e-08,3.4605911691798497e-08
1805,5.685755422035754e-09,1.1371510622026904e-08
1806,2.881669125542885e-09,2.0171682990621775e-08
1807,0.0,2.562259560079383e-08
1808,0.0,1.8128591960930862e-08
1809,0.0,4.0662548883574345e-08
1810,7.020380277111826e-09,1.8721014072298203e-08
1811,5.0141535368197765e-09,3.008491944456182e-08
1812,0.0,3.7340914360584065e-08
1813,4.601186631703058e-08,3.738463982827511e-08
1814,1.2586708564299443e-08,7.866692497415784e-08
1815,1.8880564667256294e-08,4.315557688983063e-08
1816,6.952811659743929e-09,6.952811482108245e-08
1817,4.670620334934483e-09,4.670620090685418e-08
1818,1.7881765401739358e-08,3.099506074022429e-08
1819,1.449147024601416e-08,2.380741526142316e-08
1820,2.966620371580575e-08,4.9839221638592335e-08
1821,1.577838126820552e-08,4.043210166670974e-08
1822,1.5038423839541792e-08,3.408709403629473e-08
1823,9.882686891060644e-10,3.9530748452420994e-08
1824,3.8737120178211626e-08,1.6000114122505238e-08
1825,3.874394849390228e-08,3.0819051310970735e-08
1826,2.642395191543301e-09,4.1397525851749606e-08
1827,9.217273166939322e-09,4.608636494651819e-08
1828,1.7427371545863934e-08,2.8434133270138773e-08
1829,6.858540846366168e-09,6.515613454327607e-08
1830,2.0873671680021744e-09,5.844628248041772e-08
1831,1.4032085715598441e-08,2.3386808933878456e-08
1832,1.2176972319366541e-08,3.111892887819323e-08
1833,6.950177322551099e-09,6.255159235024621e-08
1834,1.8669062740173104e-08,5.8807543945604834e-08
1835,9.075705520444899e-09,4.310960122211327e-08
1836,2.4866775305554256e-08,4.771732625696856e-08
1837,1.8090515752078318e-08,6.19252319422614e-08
1838,1.3255539776935166e-08,2.840472923537618e-08
