year,tout_DET entier_ADJ,tout_DET sentier_NOUN
1800,3.3328143445032765e-07,1.2576657937302116e-08
1801,3.762268363516341e-07,2.3811825844433088e-09
1802,2.730164965214499e-07,2.2378401354217203e-09
1803,3.588624224448722e-07,0.0
1804,3.781931923185766e-07,1.730295728918918e-08
1805,1.6772978028711805e-07,0.0
1806,2.9104859322615084e-07,0.0
1807,2.4768510797912313e-07,2.8469551160981155e-09
1808,1.9941451512295316e-07,0.0
1809,1.603911670144953e-07,0.0
1810,2.9485596542144776e-07,0.0
1811,2.807925909564801e-07,5.0141535368197765e-09
1812,1.8403736135041981e-07,0.0
1813,3.36461766892171e-07,0.0
1814,3.429878177030332e-07,6.293354282149721e-09
1815,2.643278946834471e-07,0.0
1816,5.098728479424608e-07,2.3176038865813098e-09
1817,2.849078271083272e-07,0.0
1818,3.361772087373538e-07,0.0
1819,3.229527578696434e-07,3.1053151161586356e-09
1820,3.595543773826648e-07,3.5599443393152796e-09
1821,3.204983727300714e-07,1.97229765852569e-09
1822,2.747018754689634e-07,1.0025615893027862e-09
1823,3.063632902922109e-07,4.941343445530322e-09
1824,4.261083006440458e-07,8.421112696055388e-10
1825,3.10832149352791e-07,8.805443041381977e-10
1826,3.109218482677534e-07,8.807984341885344e-10
1827,2.89422359855962e-07,9.217273055917019e-10
1828,3.0085146818237263e-07,6.420610709767516e-09
1829,2.4776477403065655e-07,0.0
1830,2.640519483065873e-07,4.174734336004349e-09
1831,2.1204040479005926e-07,3.1182412207897414e-09
1832,2.9089434860907204e-07,2.0294953273491956e-08
1833,3.3013341749210667e-07,0.0
1834,2.8563664500325103e-07,1.8669061851994684e-09
1835,3.5622144878288964e-07,7.563087933704082e-09
1836,3.48806935335233e-07,2.016224964762614e-09
1837,2.024746237339059e-07,6.262101948095733e-09
1838,2.5816743232098815e-07,1.2624323808552163e-09
1839,2.516931090212893e-07,2.7965900706306e-09
1840,3.458740991391096e-07,1.2739377552861697e-08
1841,2.542537345107121e-07,1.219904177673925e-08
1842,3.5822134236696e-07,4.695785538189057e-09
1843,2.2328123350234819e-07,1.0041748765843295e-08
1844,2.8869831680822244e-07,1.097712254427563e-09
1845,3.3090751117015316e-07,1.1160455892778032e-09
1846,3.114594733233389e-07,1.1709002656346001e-09
1847,2.831442316164612e-07,1.6179670936367074e-09
1848,3.3629027029746794e-07,2.413566457803995e-09
1849,2.639515628288791e-07,8.379414939696517e-10
1850,2.6001853825619037e-07,2.1045888587423178e-08
1851,2.9280451485647063e-07,1.2898877521649865e-09
1852,3.828200760835898e-07,9.114764054629632e-09
1853,2.854583556199941e-07,4.180352064508952e-09
1854,3.7252914353302913e-07,5.7152309551611324e-09
1855,3.767925420561369e-07,1.0613874223963649e-08
1856,4.038207634948776e-07,4.659470143053568e-09
1857,3.5244494256403414e-07,9.763017949637742e-09
1858,3.0487601065942727e-07,5.8724113904951025e-09
1859,3.39647954206157e-07,1.2221215595076274e-08
1860,4.270512476978183e-07,5.492620580582752e-09
1861,4.352834537257877e-07,1.3676294763342867e-08
1862,3.6550508752952737e-07,1.445755604123633e-08
1863,4.4851694269709697e-07,5.9935452156878455e-09
1864,3.6391983826433716e-07,5.274200631788517e-09
1865,3.473651020158286e-07,1.5061901947888146e-08
1866,4.2184862536487344e-07,9.731226158216089e-09
1867,3.6735784192387655e-07,1.1161466417775046e-08
