year,tout_DET antre_NOUN,tout_DET centre_NOUN
1800,5.345079623353399e-08,1.2576657937302116e-08
1801,5.000483449535409e-08,1.1905912922216544e-08
1802,7.161088433349505e-08,1.7902721083373763e-08
1803,6.241085515057421e-08,0.0
1804,5.9324420931261557e-08,2.4718509461507665e-09
1805,5.4014676953428875e-08,2.55858996212055e-08
1806,9.509508203109363e-08,1.152667650217154e-08
1807,9.394952105168386e-08,1.1387820464392462e-08
1808,7.931259293769699e-08,2.2660739951163578e-09
1809,9.487928398499434e-08,2.259030518203531e-09
1810,1.3104709584155216e-07,0.0
1811,1.1281845502253418e-07,2.5070767684098882e-09
1812,9.068507722531649e-08,2.1337665856435706e-08
1813,1.2365688917270745e-07,1.4378708002027452e-08
1814,7.237357380063258e-08,0.0
1815,1.1058616422587875e-07,1.0519172022327439e-07
1816,1.1819780176836048e-07,0.0
1817,9.185553295765203e-08,4.670620334934483e-09
1818,1.1086694939876907e-07,8.344824387052086e-09
1819,6.831692955788782e-08,7.24573512300708e-09
1820,8.66253122566718e-08,2.4919611263385377e-08
1821,8.67810940885505e-08,1.7750679148775816e-08
1822,7.920236555492011e-08,1.1028177482330648e-08
1823,7.609668595254249e-08,1.9765373782121287e-09
1824,7.57900142644985e-08,4.29476756380609e-08
1825,8.893497494000258e-08,3.522177216552791e-09
1826,7.046387195952519e-08,1.2331178300684087e-08
1827,7.097300414038443e-08,7.373818444733615e-09
1828,7.613009717077901e-08,1.1923991238838028e-08
1829,8.573175913628717e-08,3.086343269842473e-08
1830,7.30578506580315e-08,1.1480519646056564e-08
1831,8.575163490398552e-08,1.5591206548037917e-08
1832,8.794479811058409e-08,6.764984572527055e-09
1833,1.042526562855528e-07,9.266902800675325e-09
1834,9.42787645730192e-08,1.3068342852307069e-08
1835,6.882410019670715e-08,1.1344631900556124e-08
1836,8.199315110202221e-08,1.8146025460019644e-08
1837,8.697363695908678e-08,8.349468672008697e-09
1838,6.690891440896962e-08,3.092959488526503e-08
1839,6.571986688186371e-08,2.237272145322322e-08
1840,5.987507306626227e-08,2.738966137227905e-08
1841,7.704658555596211e-08,4.8796167106957e-08
1842,8.04991833192048e-08,1.475818356411196e-08
1843,8.269675788596942e-08,4.134837894298471e-08
1844,6.860701895483601e-08,2.5247382184900857e-08
1845,8.593550920865667e-08,7.14269177137794e-08
1846,6.849766620575792e-08,3.219975752699611e-08
1847,8.737022216820378e-08,4.1527822958187244e-08
1848,6.918891010121442e-08,4.5857762254186696e-08
1849,5.9493846293889874e-08,8.714591759328982e-08
1850,7.535785506718184e-08,4.073397619208663e-08
1851,9.029214242950445e-08,6.320450296470881e-08
1852,7.552232506036205e-08,4.231854533465196e-08
1853,7.644073085621983e-08,4.837264788726259e-08
1854,7.429800030767097e-08,4.676098086520142e-08
1855,8.650307492530374e-08,4.0332722051061864e-08
1856,7.765783571755946e-08,5.9537675234366816e-08
1857,7.419894143545491e-08,3.2706110930647014e-08
1858,7.046893601980742e-08,8.906490367444064e-08
1859,6.568903598846987e-08,5.244938638959695e-08
1860,6.087654663700093e-08,8.147387187129596e-08
1861,5.800635555219813e-08,6.130752749911039e-08
1862,6.325181112210032e-08,6.686619702378493e-08
1863,6.592899493007565e-08,8.44090957130561e-08
1864,4.890622662401256e-08,9.301772507797068e-08
1865,6.636650340396955e-08,6.071829261600215e-08
1866,6.909170657820596e-08,8.076917556998353e-08
1867,5.192508290008391e-08,8.929173134220036e-08
1868,4.3470891220032115e-08,4.7916778433965135e-08
1869,5.371870959169911e-08,6.397409979541635e-08
1870,2.981705371496446e-08,6.70883695264024e-08
1871,5.735435792963983e-08,1.1046024361860418e-07
1872,4.475031190054324e-08,5.805445701945189e-08
1873,4.0704829895599204e-08,9.278306867255282e-08
1874,4.301718625754347e-08,1.0216581802779956e-07
1875,3.604562226477981e-08,1.0355964086272706e-07
1876,3.9299096865619276e-08,1.0520065929497946e-07
1877,3.5871931536313184e-08,8.844287113785043e-08
1878,4.166971123709118e-08,9.72293285883552e-08
1879,2.5659167013358797e-08,8.125402373160284e-08
1880,4.1074215584302465e-08,9.498412767428022e-08
1881,6.344982012018718e-08,1.1504637309478483e-07
1882,4.126338848386979e-08,1.5507047290697074e-07
1883,4.9290843961991015e-08,1.4028931794030086e-07
1884,4.2250860587955685e-08,1.3797546660754278e-07
1885,3.351730454292934e-08,1.0055191923541429e-07
1886,4.2592862070645054e-08,1.2261581217032358e-07
1887,5.15785056887097e-08,1.2600825050057551e-07
1888,4.438430378783664e-08,1.4076164389642543e-07
1889,3.821733551845341e-08,1.3156786948798072e-07
1890,2.94947390955258e-08,1.573052763603755e-07
1891,5.099375988137922e-08,1.2302244201123358e-07
1892,3.322311670217459e-08,1.4104152334937226e-07
1893,2.709703228465088e-08,1.6381388068253955e-07
1894,2.898708162391017e-08,1.443052486393981e-07
1895,3.25005187207239e-08,1.2819648897988145e-07
1896,3.9510093363670507e-08,1.503742370623229e-07
1897,4.4865694825979574e-08,1.5207722015020408e-07
1898,2.9423445124798775e-08,1.6239477895751975e-07
1899,3.4823745664880335e-08,1.4537531889402544e-07
1900,3.3741843985524156e-08,1.8895433651078264e-07
1901,3.129693859627025e-08,1.352474829907635e-07
1902,3.4371987589487674e-08,1.1637372399064816e-07
1903,3.672149784250678e-08,1.5606635894727106e-07
1904,4.1384613957973215e-08,2.1713485498509044e-07
1905,3.509316304217691e-08,1.5224239158229125e-07
1906,3.6523711499647504e-08,1.8673390211887408e-07
1907,3.599990350267035e-08,1.9594233924280502e-07
1908,3.241516655094756e-08,1.6354924925465752e-07
1909,2.6404720854245056e-08,1.639293160660138e-07
1910,2.9392829281604804e-08,1.4322323771409629e-07
1911,3.883873178622821e-08,1.6971993666015095e-07
1912,3.7507832728600476e-08,1.8493445885781057e-07
1913,3.3408836808135334e-08,1.7128656409903797e-07
1914,3.0805021311586245e-08,1.6674891889500998e-07
1915,3.534228543156104e-08,1.3547875665764764e-07
1916,3.076489329956189e-08,1.5272571673996538e-07
1917,4.934891040253575e-08,1.2392059467458694e-07
1918,4.824277954895706e-08,1.6195790131234844e-07
1919,4.327688707395083e-08,2.0441423803641e-07
1920,3.8618382713906385e-08,1.476585249626794e-07
1921,2.7261891522023518e-08,1.5524132668254254e-07
1922,3.467629533515648e-08,1.3132725251718824e-07
1923,5.201814579081088e-08,1.1359064400195962e-07
1924,3.996403552530836e-08,1.340728946752634e-07
1925,3.5194170022734284e-08,1.2317959341423546e-07
1926,3.566764272822098e-08,1.1591984316883241e-07
1927,3.233275180924977e-08,1.3044593405453497e-07
1928,3.770593770546782e-08,1.531089577344602e-07
1929,3.2307179376189765e-08,9.914961540680167e-08
1930,3.886333388436469e-08,1.4179864449292978e-07
1931,1.8248571542756054e-08,1.3116160157977674e-07
1932,3.287861050083052e-08,1.1397917942801428e-07
1933,2.7529588830788043e-08,1.089712884372318e-07
1934,2.156684431042777e-08,1.0184343146590891e-07
1935,2.2739740757060645e-08,1.579813559970944e-07
1936,1.8187071404440758e-08,1.3943422194628852e-07
1937,3.5255132035949543e-08,1.6998009799706892e-07
1938,2.2040864577910213e-08,1.2187301390298444e-07
1939,2.7529290846928234e-08,1.2235240198776864e-07
1940,1.5214697057785997e-08,1.5721854706995941e-07
1941,3.836953554881006e-08,7.67390702094417e-08
1942,5.158160010232393e-08,1.274368961468042e-07
1943,1.4516175816936538e-08,1.6258117518930248e-07
1944,2.2492303131116387e-08,1.8636480270117772e-07
1945,3.267756198965799e-08,1.6338779840197049e-07
1946,1.8097434661967782e-08,1.2946627236942732e-07
1947,2.622591699363852e-08,1.4781879587033586e-07
1948,1.522064252412747e-08,1.5655518814661207e-07
1949,1.2762110479513922e-08,1.3743811011490692e-07
1950,2.2334258220624292e-08,1.1592543813776501e-07
1951,2.0256663457729474e-08,1.290029605360843e-07
1952,1.7926166662185494e-08,1.339190063287532e-07
