year,enlevant_VERB en_ADP,enlevant_VERB sans_ADP
1800,2.2009151834367913e-08,0.0
1801,3.809892135109294e-08,2.3811825844433088e-09
1802,4.923248297927785e-08,2.2378401354217203e-09
1803,7.801356893821776e-09,0.0
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,0.0
1806,0.0,2.305335300434308e-08
1807,2.8469551160981155e-09,0.0
1808,0.0,2.4926814390369145e-08
1809,0.0,2.25903047379461e-08
1810,7.020380277111826e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0
1814,5.664018942752591e-08,0.0
1815,6.74305908887618e-08,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,3.113746815941454e-09
1818,1.0729059418679299e-08,1.1921177378582115e-09
1819,2.6912729822470283e-08,0.0
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,9.861488514673056e-09,7.88919063410276e-09
1822,5.012807946513931e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,5.894778887238772e-09,2.3579115548955087e-08
1825,7.924898959288385e-09,2.0252519661312363e-08
1826,8.807984341885344e-10,8.807984341885344e-10
1827,6.452091305675367e-09,2.7651818612639545e-09
1828,2.4765213879618386e-08,4.586150570418113e-09
1829,9.430493719264632e-09,3.429270423183084e-09
1830,3.339787468803479e-08,8.349468672008697e-09
1831,3.1182413096075834e-08,1.7150327380477393e-08
1832,2.841293600397421e-08,0.0
1833,2.6642345218874652e-08,1.0425265983826648e-08
1834,1.6802156110884425e-08,1.120143711119681e-08
1835,1.8907719834260206e-08,8.31939672707449e-09
1836,7.392825018825988e-09,9.409050427677812e-09
1837,1.6698937344017395e-08,3.478945576063097e-09
1838,6.312161904276081e-09,0.0
1839,2.23727205650448e-08,3.4957374772659477e-09
1840,8.280594876453051e-09,9.554533164646273e-09
1841,8.346713542550788e-09,9.630822361827995e-09
1842,9.391571076378114e-09,4.695785538189057e-09
1843,1.063243981747064e-08,1.7720733769266417e-09
1844,2.7991662321369404e-08,6.037417232818143e-09
1845,1.1160455670733427e-08,0.0
1846,7.025401593807601e-09,9.952652035849496e-09
1847,1.240441438454809e-08,4.314578916364553e-09
