year,pouvait_VERB aider_VERB,pouvait_VERB céder_VERB
1800,9.432493897065797e-09,6.288328968651058e-09
1801,0.0,2.8574191901498125e-08
1802,4.475680270843441e-09,4.475680270843441e-09
1803,1.1702034896643454e-08,1.3652374342143503e-08
1804,2.9662210465630778e-08,1.9774807569206132e-08
1805,3.1271653710973624e-08,8.528632911009026e-09
1806,3.1698359492793315e-08,1.152667650217154e-08
1807,5.693910232196231e-09,2.562259560079383e-08
1808,0.0,7.478044494746428e-08
1809,4.0662548883574345e-08,9.036122072814123e-09
1810,1.8721014072298203e-08,3.2761775514700275e-08
1811,2.5070768572277302e-08,2.0056614147279106e-08
1812,8.535066342574282e-08,4.5342538612658245e-08
1813,3.4508900625951355e-08,2.300593315851529e-08
1814,4.72001566720337e-08,1.5733386149463513e-08
1815,1.8880564667256294e-08,2.966945977789237e-08
1816,6.952811659743929e-09,7.184571870766376e-08
1817,4.670620157298799e-08,2.9580593974287694e-08
1818,2.384235386898581e-08,3.695565098382758e-08
1819,4.968504185853817e-08,1.449147024601416e-08
1820,3.678609061807947e-08,3.678609061807947e-08
1821,6.01550809165019e-08,3.155676253641104e-08
1822,5.9151133768864383e-08,5.3135764233047666e-08
1823,5.435477845594505e-08,4.348382276475604e-08
1824,2.2737005167527968e-08,3.705289586264371e-08
1825,3.522177394188475e-08,3.3460683113162304e-08
1826,2.8185549894033102e-08,5.813269510213104e-08
1827,7.92685455053288e-08,5.622536392024813e-08
1828,5.595103758082587e-08,6.237164740241496e-08
1829,8.401712392469562e-08,6.086955295359076e-08
1830,5.4271545479878114e-08,4.5922078584226256e-08
1831,2.0268567268999504e-08,5.76874619184764e-08
1832,4.6001897402447867e-08,1.2853470821028168e-07
1833,3.359252431778259e-08,1.0772774317047151e-07
1834,2.42697808516823e-08,6.814207864636046e-08
1835,5.899208588289184e-08,5.142899794918776e-08
1836,2.1506400216253496e-08,6.115882911217341e-08
1837,5.218418053232199e-08,7.305785487687899e-08
1838,3.471689069556305e-08,6.312161815458239e-08
1839,5.733009800223954e-08,5.383435919270596e-08
1840,4.33138822586443e-08,6.305991462340899e-08
1841,4.6227949468402585e-08,8.218302127716015e-08
1842,5.970355942963579e-08,8.251166150330391e-08
1843,8.565021403228457e-08,6.556670939517062e-08
1844,8.836583731408609e-08,7.080244301960192e-08
1845,7.477505192809986e-08,7.421703429599802e-08
1846,6.966856602730331e-08,4.976326195560432e-08
1847,3.66739207890987e-08,6.310071398729633e-08
1848,4.183515400768556e-08,7.401604307233356e-08
1849,4.357295679824347e-08,6.368355087715827e-08
1850,5.499086697113853e-08,9.436704573317911e-08
1851,5.288539739467524e-08,4.127640806927957e-08
1852,3.7761164861649377e-08,6.77096707590863e-08
1853,5.0761421732659073e-08,7.10659904257227e-08
1854,7.06610379097583e-08,4.572184764128906e-08
1855,6.368324534378189e-08,6.42139355022664e-08
1856,6.057311452423164e-08,8.335274515047786e-08
1857,2.5871997877402464e-08,7.615154373752375e-08
1858,3.327699715782728e-08,1.1206518024664547e-07
1859,7.587338046732839e-08,8.453007893649556e-08
1860,9.01705234923611e-08,8.284703056915532e-08
1861,7.121105483065548e-08,7.026785908692545e-08
1862,5.69266269678792e-08,8.313094923551034e-08
1863,4.195481650981492e-08,5.5939754162182e-08
1864,5.657778956447146e-08,6.089304349643498e-08
1865,6.307171673824996e-08,6.26010319138004e-08
1866,6.568577504140194e-08,7.590356432274348e-08
1867,6.842464017609018e-08,6.551295683721037e-08
1868,5.5820578381826635e-08,6.273639741039005e-08
1869,6.055563517293194e-08,9.815873625029781e-08
1870,5.2753250656678574e-08,1.1296076252165221e-07
1871,7.541035529357032e-08,8.921789174110017e-08
1872,7.196333484671413e-08,7.49870068261771e-08
1873,4.19020302899753e-08,6.644464889404844e-08
1874,1.1292011237173938e-07,5.496640298474631e-08
1875,7.266339707712177e-08,3.776207790906483e-08
1876,8.706261667157378e-08,4.776351758550845e-08
1877,5.566334237983028e-08,6.308512467967375e-08
1878,6.76377922559368e-08,4.7104890654736664e-08
1879,6.720257772485638e-08,5.498392852132383e-08
1880,5.840239936105718e-08,6.546203223933844e-08
1881,4.462404845639867e-08,3.346803723047742e-08
1882,5.257754409626614e-08,5.790185042542362e-08
1883,5.624211496524367e-08,4.1707636455612374e-08
1884,5.2813575734944607e-08,6.46966284989503e-08
1885,5.994441210077639e-08,4.060750313783501e-08
1886,3.033127882190456e-08,5.0982364996343676e-08
1887,5.157850324621904e-08,7.63884173693441e-08
1888,9.257297506337636e-08,6.213802095089704e-08
1889,5.0121094830046786e-08,5.450668894013688e-08
1890,7.209825270138026e-08,3.5393686204088226e-08
1891,6.119250883784844e-08,5.991766727220238e-08
1892,7.772955257223657e-08,5.202865338560514e-08
1893,3.94138659487453e-08,6.404753349897874e-08
1894,5.1672621736997826e-08,7.309785843290229e-08
1895,6.801034402315054e-08,3.7315409429083957e-08
1896,5.248355705589347e-08,4.776593343081004e-08
1897,4.603103676004139e-08,3.96216535136773e-08
1898,4.9227686815811467e-08,5.828105642535775e-08
1899,4.919544949189003e-08,5.140648084989152e-08
1900,5.087231969014283e-08,4.5162163786471865e-08
1901,4.135666742399735e-08,3.968004591570207e-08
1902,3.4863013809172116e-08,4.0264328760031276e-08
1903,5.2922157323109786e-08,5.2922157323109786e-08
1904,3.9772224624812225e-08,4.8909090111237674e-08
1905,4.3866453580676534e-08,5.26397414546409e-08
1906,5.349951948119269e-08,5.9158121956670584e-08
1907,5.3999855254005524e-08,5.708556116701402e-08
1908,5.402527847309102e-08,3.192402786567072e-08
1909,4.675835896250646e-08,5.170924666231258e-08
1910,4.1684376839157267e-08,4.80973554317643e-08
1911,3.830669470517023e-08,3.990280461607654e-08
1912,5.62617508137464e-08,6.095022797580896e-08
1913,5.780258760523793e-08,5.780258760523793e-08
1914,3.4823067096567684e-08,3.3483718908655646e-08
1915,3.2986132936230206e-08,8.482148672328549e-08
1916,7.581348882013117e-08,7.1418504887788e-08
1917,6.579854527899442e-08,4.7155623406069935e-08
1918,6.317507228459363e-08,6.202643021424592e-08
1919,4.327688785110695e-08,4.327688785110695e-08
1920,4.846228307542333e-08,6.057785384427916e-08
1921,6.209653236055601e-08,5.9067428281878165e-08
1922,5.75478971143184e-08,5.976127681606158e-08
1923,5.520293200333981e-08,4.883336046646036e-08
