year,voudrait_VERB aider_VERB,voudrait_VERB céder_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,1.730295728918918e-08
1805,0.0,0.0
1806,8.645007376628655e-09,8.645007376628655e-09
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.106114038724627e-08
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,4.670620334934483e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,1.7596784473994376e-08
1820,3.5599443393152796e-09,1.0679833017945839e-08
1821,1.97229765852569e-09,1.2819934447350079e-08
1822,2.0051231786055723e-09,8.02049271442229e-09
1823,1.9765373782121287e-09,2.174191138237802e-08
1824,2.5263338088166165e-09,4.210556348027694e-09
1825,0.0,3.522177216552791e-09
1826,8.807984341885344e-10,3.5231937367541377e-09
1827,9.217273055917019e-10,9.217273055917019e-10
1828,0.0,5.503380862137419e-09
1829,2.571952872898464e-09,1.5431716349212365e-08
1830,1.0436835840010872e-09,1.878630406793036e-08
1831,4.677361609140007e-09,1.5591206103948707e-09
1832,0.0,4.058990921151917e-09
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,0.0,2.8003592777992026e-09
1835,6.050470346963266e-09,6.050470346963266e-09
1836,1.3441500135158435e-09,1.1425274948351216e-08
1837,1.1132625488130543e-08,1.2524203896191466e-08
1838,0.0,1.199310784016916e-08
1839,6.9914751765765e-10,2.0974426639952526e-09
1840,1.9109065441114126e-09,6.3696887764308485e-09
1841,1.2841097074556274e-09,1.926164472365599e-08
1842,8.049918065466954e-09,1.7441490030023488e-08
1843,1.7720733769266417e-09,5.31621990873532e-09
1844,6.037417232818143e-09,4.9397050894128824e-09
1845,1.1160455892778032e-09,1.2834524554250493e-08
1846,1.1709002656346001e-09,4.0981511517657054e-09
1847,0.0,2.1572894581822766e-09
1848,2.413566457803995e-09,3.218088684420195e-09
1849,2.513824481908955e-09,4.1897072478036534e-09
1850,0.0,3.394498016007219e-09
1851,3.2247193804124663e-09,5.159551008659946e-09
1852,2.6042181744401205e-09,3.906327261660181e-09
1853,3.5831591027601917e-09,3.5831591027601917e-09
1854,5.195664343204953e-09,6.234797567117312e-09
1855,5.306937111981824e-10,6.8990182455763716e-09
1856,5.177189343896771e-09,3.6240324075009767e-09
1857,1.4644527812635033e-09,1.7085282522089074e-08
1858,0.0,3.4255731584664773e-09
1859,3.055304009791371e-09,9.165912473463322e-09
1860,3.661747127736703e-09,1.0069804545764782e-08
1861,0.0,7.073945429425521e-09
1862,9.035972525772706e-10,7.228778020618165e-09
1863,9.989241434027463e-09,3.995696662428827e-09
1864,2.3973640850272204e-09,2.8768367688059016e-09
1865,9.41368871743009e-10,7.530950973944073e-09
1866,5.838735717134114e-09,1.8489329178805747e-08
1867,8.73506067478047e-09,7.279217228983725e-09
1868,8.397785578040384e-09,2.4699371437009177e-09
1869,2.9301114867763545e-09,8.30198221279943e-09
1870,1.7202146374017957e-09,1.0321287824410774e-08
1871,3.18635318130589e-09,5.3105884134652115e-09
1872,6.047339518033823e-09,3.0236697590169115e-09
1873,1.1972008939764578e-09,1.3169209722718733e-08
1874,0.0,7.766991494406739e-09
1875,0.0,5.721527251978387e-09
1876,6.04601479992084e-10,4.836811839936672e-09
1877,3.710889595609501e-09,3.0924081073635534e-09
1878,4.831270938865373e-09,1.8117265465633636e-09
1879,6.10932526790009e-10,3.0546627449723474e-09
1880,0.0,3.2089231272180996e-09
1881,6.972507571312292e-10,1.673401861523871e-08
1882,6.655385131892899e-10,8.652000893505374e-09
1883,8.847074184359371e-09,9.479008689083912e-09
1884,4.621187876807653e-09,5.941527270181268e-09
1885,5.156508553483263e-09,7.090199094506033e-09
1886,7.744156427236248e-09,3.2267319927115068e-09
1887,1.3057849246322917e-09,1.3057849246322917e-09
1888,5.07249175996094e-09,6.340614699951175e-10
1889,6.265136853755848e-09,7.51816386923565e-09
1890,1.2453334363726754e-08,1.3108772733971819e-08
1891,4.461953917456185e-09,8.92390783491237e-09
1892,6.268512375839919e-10,4.387958441043338e-09
1893,5.542574843531156e-09,2.463366621796581e-09
1894,4.411077725308132e-09,7.561847148451761e-09
1895,2.4074457982692365e-09,3.0093072478365457e-09
1896,1.7691086373616827e-09,4.717623180994224e-09
1897,8.157399200570126e-09,6.409385022720926e-09
1898,8.487532454637403e-09,1.13167097914868e-09
1899,4.9748205555033564e-09,4.4220627160029835e-09
1900,4.15284251431558e-09,2.0245106924221545e-08
1901,6.147612641171918e-09,2.6825947685438223e-08
1902,6.38336894454028e-09,1.718599307309887e-08
1903,4.320176216765503e-09,5.400220270956879e-09
1904,1.0749250378694342e-09,1.0749250378694342e-08
1905,1.0321518084666081e-09,6.192911072844254e-09
1906,6.6874399351490865e-09,3.0865106026567446e-09
1907,5.65712765521198e-09,6.685696440911215e-09
1908,3.929111258571538e-09,2.9468334439286537e-09
1909,5.5009836685826485e-09,2.2003934230241384e-09
1910,5.34415089958884e-09,6.412980813053082e-09
1911,5.320374141248863e-10,1.0108711201439746e-08
1912,5.2094213387476884e-09,8.856016364688912e-09
1913,1.6969567084856862e-08,9.545381374209683e-09
1914,6.696743604095445e-09,3.3483718020477227e-09
1915,8.246533234057551e-09,2.3561523843085297e-09
1916,9.888715624128963e-09,9.888715624128963e-09
1917,9.869782324756216e-09,4.386569774084137e-09
1918,8.040463406189247e-09,9.189101035644853e-09
1919,7.366278698128781e-09,5.524709134618888e-09
1920,7.572231730534895e-09,4.543339038320937e-09
1921,1.2873671018098776e-08,3.7863738810983705e-09
1922,1.0329110011753073e-08,1.623145884366295e-08
1923,2.1231896241147297e-09,7.431163684401554e-09
1924,0.0,0.0
1925,5.499089184013428e-09,2.1996355847875293e-09
1926,1.114613823460786e-08,0.0
1927,1.4493992672726108e-08,1.1149224876660924e-09
1928,4.570416489713125e-09,1.1426041224282812e-09
1929,6.684243825105796e-09,8.912325100141061e-09
1930,3.1510811737689437e-09,2.100720708497761e-09
1931,6.843213995466613e-09,3.4216069977333063e-09
1932,4.383814644626227e-09,5.4797681947604815e-09
1933,1.7205993074753678e-08,1.0323596200123575e-08
1934,2.2765002327673756e-08,2.3963160344919743e-09
1935,1.196828414151696e-08,4.787313656606784e-09
1936,2.424942913137329e-09,1.2124714565686645e-09
1937,1.0072894518486919e-08,1.6368453259474336e-08
1938,1.1668692678767911e-08,6.482607339819424e-09
1939,9.176430282309411e-09,1.5294050470515685e-09
1940,1.0143131667916805e-08,2.5357829169792012e-09
1941,1.4757512545315876e-08,8.854508237732261e-09
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,2.9032351633873077e-08,1.4516175816936538e-08
1944,6.4263723231761105e-09,6.4263723231761105e-09
1945,1.089252066321933e-08,2.178504043826024e-09
1946,9.744772988540262e-09,4.1763312808029696e-09
1947,1.0728784083369192e-08,3.5762612871081956e-09
1948,1.4133454406817236e-08,0.0
1949,1.3743811422273211e-08,6.8719057111366055e-09
1950,4.2541445921528975e-09,1.0635361480382244e-09
1951,2.7719645245838365e-08,4.264560704569931e-09
1952,1.2653764258629963e-08,3.1634410646574906e-09
1953,1.8315507332999914e-08,3.232148326759443e-09
1954,2.14995790059902e-08,2.9317608341017376e-09
1955,1.783265446420046e-08,1.8771215692936494e-09
1956,1.744228228517386e-08,7.849027205963921e-09
1957,1.9437083054185678e-08,4.417518795207798e-09
1958,2.3162280982091943e-08,5.790570245522986e-09
1959,1.705164542897819e-08,2.325224457422337e-09
1960,9.689166802218097e-09,6.2287499602575735e-09
1961,1.250668635321972e-08,4.16889545107324e-09
1962,1.77574772664002e-08,8.244543714397423e-09
1963,2.198458126656533e-08,3.2330267352165265e-09
1964,2.5552667537454e-08,4.258777774879263e-09
