year,concernant_VERB en_ADP
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,5.851017448321727e-09
1804,2.4718509461507665e-09
1805,1.4214388555089386e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,1.8128591960930862e-08
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,0.0
1812,2.1337665856435706e-08
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,9.341240669868967e-09
1818,1.1921176934492905e-08
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,1.97229765852569e-09
1822,9.023054303725075e-09
1823,9.882686891060644e-10
1824,2.0210670470532932e-08
1825,2.641632912414593e-09
1826,9.688783109140786e-09
1827,3.6869092223668076e-09
1828,1.834460228167245e-08
1829,4.286588084490006e-09
1830,6.262101504006523e-09
1831,4.677361609140007e-09
1832,4.7354891563600177e-08
1833,6.950177322551099e-09
1834,1.4001796166951408e-08
1835,4.5378527602224494e-09
1836,4.032449929525228e-09
1837,2.1569462660409044e-08
1838,1.2624323808552163e-08
1839,5.5931801412612e-09
1840,1.2739377330817092e-09
1841,3.2102742686390684e-09
1842,4.024959032733477e-09
1843,8.860366662588604e-09
1844,8.232841963717874e-09
1845,3.9061593959388574e-09
1846,8.196302303531411e-09
1847,5.3932236454556914e-09
1848,7.24069959545659e-09
1849,8.379414939696517e-10
1850,1.6293590476834652e-08
1851,1.870337307252612e-08
1852,7.812654523320361e-09
1853,7.763511611358354e-09
1854,1.3508727469968562e-08
1855,2.0166361025530932e-08
1856,4.659470143053568e-09
1857,1.9037885934380938e-08
1858,7.34051397444091e-09
1859,2.2405561850291633e-08
1860,9.612086238064421e-09
1861,5.187560159214399e-09
1862,2.1234535907410645e-08
1863,1.1487627737949424e-08
1864,1.6302074357099627e-08
1865,6.118897832863013e-09
1866,9.244664589402873e-09
1867,8.249779526181555e-09
1868,7.409810987013543e-09
1869,1.2208797528501236e-08
1870,1.490852596930381e-08
1871,8.496941816815706e-09
1872,7.861540751719076e-09
1873,4.190203295451056e-09
1874,5.377148060148329e-09
1875,6.293679799540541e-09
1876,7.859819461941697e-09
1877,2.040989244278535e-08
1878,1.0266450800600069e-08
1879,1.5273313280772527e-08
1880,1.6686399817444908e-08
1881,1.1156012114099667e-08
1882,9.317538740560849e-09
1883,5.687405213450347e-09
1884,1.3203393933736152e-08
1885,1.8692343672910283e-08
1886,9.680196200179125e-09
1887,2.6115698048556624e-08
1888,3.4873380627686856e-08
1889,1.566284169030041e-08
1890,2.4906668727453507e-08
1891,2.103492668936724e-08
1892,3.0715710863660206e-08
1893,2.0938616174248637e-08
1894,2.520615716150587e-08
1895,2.7083764564395096e-08
1896,2.5357223876198987e-08
1897,1.5149455023788505e-08
1898,4.866185321361627e-08
1899,3.150719507516442e-08
1900,2.6474371139784125e-08
1901,2.0119459875900247e-08
1902,2.6024505217492333e-08
1903,1.3500550899436803e-08
