year,soit_VERB avant_ADV,soit_VERB savant_ADJ
1800,5.345079756580162e-08,6.288328968651058e-09
1801,7.381665767525192e-08,9.524730337773235e-09
1802,6.489736392722989e-08,1.5664880947952042e-08
1803,9.946730017418304e-08,1.3652374342143503e-08
1804,6.426812149129546e-08,1.730295728918918e-08
1805,1.4214388954769674e-07,7.675770063997334e-08
1806,1.152667650217154e-07,6.051504897186533e-08
1807,1.395007984683616e-07,2.562259560079383e-08
1808,7.931259204951857e-08,0.0
1809,1.8975856619363185e-07,1.8072244145628247e-08
1810,7.722418615685456e-08,2.574139479349924e-08
1811,1.4791753244480788e-07,2.5070768572277302e-08
1812,9.068507722531649e-08,0.0
1813,4.3136125782439194e-08,2.8757416004054903e-08
1814,6.922689976818219e-08,9.440030979135372e-09
1815,2.966945977789237e-08,5.394447111228828e-09
1816,6.952811304472561e-08,1.3905623319487859e-08
1817,3.42512151974006e-08,2.6466848268569265e-08
1818,2.5034472272977837e-08,2.1458118837358597e-08
1819,2.6912729822470283e-08,2.6912729822470283e-08
1820,3.559944161679596e-08,1.4239777357261119e-08
1821,4.930744168518686e-08,3.35290586406245e-08
1822,8.822541985864518e-08,1.604098542884458e-08
1823,5.138997138942614e-08,1.581229902569703e-08
1824,1.0694812857536817e-07,1.1789557774477544e-08
1825,6.956300069305144e-08,7.924898959288385e-09
1826,5.460950447400137e-08,2.1139161532346407e-08
1827,8.940754980812926e-08,1.1982455028203276e-08
1828,1.3116390107370535e-07,2.935136400594729e-08
1829,8.658907546532646e-08,6.858540846366168e-09
1830,9.080046936560393e-08,3.1310507520032616e-09
1831,5.76874619184764e-08,1.5591206103948707e-09
1832,6.900284432731496e-08,1.0823975493678972e-08
1833,6.718504863556518e-08,9.266902800675325e-09
1834,7.467625096069241e-08,1.120143711119681e-08
1835,6.352993864311429e-08,2.2689263801112247e-08
1836,6.451919887240365e-08,2.419469957715137e-08
1837,6.818733311320102e-08,1.530736071231331e-08
1838,7.637716237240966e-08,8.2058102535143e-09
1839,6.222413162504381e-08,2.307186797168015e-08
1840,5.032054062326097e-08,1.0828470564661075e-08
1841,6.22793194793303e-08,5.778493683550323e-09
1842,1.5496092942157702e-07,5.366612043644636e-09
1843,5.729703644874462e-08,1.1813821920725331e-08
1844,6.256959750317037e-08,8.232841963717874e-09
1845,1.0435026354116417e-07,1.897277535078956e-08
1846,9.367202125076801e-08,3.102885770545072e-08
1847,9.222412700182758e-08,1.0786447290911383e-08
1848,1.0539240236084879e-07,2.011305433313737e-08
1849,1.2652915870603465e-07,1.6758828991214614e-08
1850,1.5682580567499826e-07,7.467895635215882e-09
1851,1.6510563227711827e-07,1.805842941848823e-08
1852,9.114763344086896e-08,9.765818376195057e-09
1853,1.0570319375347026e-07,1.4929829816878737e-08
1854,8.261106643203675e-08,1.3508727469968562e-08
1855,8.278821894691646e-08,1.326734277995456e-08
1856,8.8012214405353e-08,1.6049286344355096e-08
1857,7.078187991282903e-08,2.0502337605421417e-08
1858,1.1695885859808186e-07,1.2723557318849998e-08
1859,1.5480206627671578e-07,1.782260738991681e-08
1860,9.383226995396399e-08,1.5104706818647173e-08
1861,1.4666646563910035e-07,1.131831339762357e-08
1862,1.0526908056363027e-07,1.3102160245637151e-08
1863,6.742737923559616e-08,1.0988165932701577e-08
1864,1.0212770717998865e-07,1.726102105692462e-08
1865,9.97850975181791e-08,1.2237795665726026e-08
