year,quittant_VERB en_ADP
1800,0.0
1801,1.1905912700171939e-08
1802,1.3427040812530322e-08
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,4.518061036407062e-09
1810,0.0
1811,5.0141535368197765e-09
1812,1.3336041604361526e-08
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,6.227493631882908e-09
1818,0.0
1819,0.0
1820,4.746592452420373e-09
1821,9.86148829262845e-10
1822,2.0051231786055723e-09
1823,1.9765373782121287e-09
1824,0.0
1825,6.163809906922779e-09
1826,1.3211976401805714e-08
1827,2.7651818612639545e-09
1828,1.4675682002973645e-08
1829,8.573175946935407e-09
1830,1.2524203230057651e-08
1831,4.677361609140007e-09
1832,8.117981509236927e-09
1833,2.0850531967653296e-08
1834,1.213489042584115e-08
1835,4.5378527602224494e-09
1836,2.083432448785061e-08
1837,2.0873671680021744e-09
1838,2.5248647617104325e-09
1839,6.9914749545318955e-09
1840,8.280594876453051e-09
1841,5.778493683550323e-09
1842,9.391571076378114e-09
1843,2.3627644840651385e-09
1844,1.6465684371524958e-09
1845,9.48638767539478e-09
1846,1.1123552745573306e-08
1847,2.6966118227278457e-09
1848,1.850401076808339e-08
1849,1.8434713311421547e-08
1850,2.7155984128057753e-09
1851,1.6123596680017727e-08
1852,1.4323199737376058e-08
1853,1.0152284346531815e-08
1854,8.313063126763609e-09
1855,7.429711956774554e-09
1856,6.212626857404757e-09
1857,7.81041464836818e-09
1858,2.936205678594206e-08
1859,5.601390462572908e-09
1860,1.7851016831382793e-08
1861,5.65915647676718e-09
1862,1.1746764450037972e-08
1863,1.5982786649715308e-08
1864,3.356309563606885e-09
1865,4.7068443587150455e-09
1866,2.0435574399346734e-08
1867,4.85281148598915e-09
1868,4.939874287401835e-09
1869,6.348574999037737e-09
1870,4.587239033071455e-09
1871,0.0
1872,9.071008943983827e-09
1873,5.387403856360606e-09
1874,1.1949218503559678e-08
1875,1.2587360043170293e-08
1876,3.02300739996042e-09
1877,1.1751150275074451e-08
1878,1.2078177513696886e-08
1879,1.4662380642960215e-08
1880,1.8611754359909582e-08
1881,1.1156012114099667e-08
1882,8.652000893505374e-09
1883,1.3270612164717477e-08
1884,1.0562715146988921e-08
1885,2.5782542767416317e-09
1886,1.0970888975059268e-08
1887,5.223139698529167e-09
1888,6.974675947901687e-09
1889,1.1277245803853475e-08
1890,5.243509182406569e-09
1891,1.2748440525456317e-08
1892,6.268512375839919e-10
1893,1.2316833108982905e-09
1894,1.071261657159539e-08
1895,9.629783193076946e-09
1896,7.076434549446731e-09
1897,5.826713334045053e-09
1898,6.224190496340043e-09
1899,3.8693048765026106e-09
1900,6.7483690857628176e-09
1901,6.706486588292648e-09
1902,1.1293653123800595e-08
1903,5.400220270956879e-09
1904,1.1824175416563776e-08
1905,9.28936660926638e-09
1906,8.230695236477459e-09
1907,1.0285686968813934e-08
1908,2.9468334439286537e-09
