year,donnant_VERB en_ADP,donnant_VERB cent_DET
1800,4.96778000069753e-07,0.0
1801,3.119349116786907e-07,0.0
1802,4.5875722776145267e-07,0.0
1803,2.457427399349399e-07,0.0
1804,3.58418390078441e-07,5.438072037122765e-08
1805,3.8663137047478813e-07,1.1371510844071508e-08
1806,3.861436539409624e-07,2.881669125542885e-09
1807,2.932363827312656e-07,5.693910232196231e-09
1808,3.104521510977065e-07,1.3596443970698147e-08
1809,4.902096293335489e-07,1.3554183553310395e-08
1810,2.5975407424994046e-07,1.4040760554223652e-08
1811,4.613021360455605e-07,3.760615285841595e-08
1812,3.8141078562148323e-07,0.0
1813,2.933256553205865e-07,0.0
1814,2.4858749725353846e-07,0.0
1815,1.6183341244868643e-07,2.697223555614414e-09
1816,2.75794860726819e-07,0.0
1817,2.319741412293297e-07,1.556873407970727e-09
1818,3.0875850143274874e-07,7.152706427149269e-09
1819,3.239878765270987e-07,1.8631890696951814e-08
1820,2.7055577334067493e-07,0.0
1821,2.6034328470814216e-07,3.94459531705138e-09
1822,3.1480433904107485e-07,1.9048670196752937e-08
1823,3.281052158854436e-07,0.0
1824,3.680026168240147e-07,0.0
1825,2.9057960659883975e-07,0.0
1826,3.170874265379098e-07,2.642395191543301e-09
1827,3.7975163991177396e-07,1.1060727445055818e-08
1828,3.769815748455585e-07,4.586150570418113e-09
1829,3.652172892998351e-07,1.3717081692732336e-08
1830,4.2373554265395796e-07,3.235419043789989e-08
1831,2.2763160245631298e-07,1.5591206103948707e-09
1832,3.314842444979149e-07,6.764984572527055e-09
1833,2.9306579563126434e-07,0.0
1834,3.173740594775154e-07,8.401078055442213e-09
1835,3.0706138431924046e-07,7.563087933704082e-09
1836,2.701741550481529e-07,2.016224964762614e-09
1837,2.699661649785412e-07,1.1132625488130543e-08
1838,3.048774317448988e-07,1.8936485712828244e-09
1839,3.6076011156183085e-07,6.292327547896548e-09
1840,2.9427962999761803e-07,3.1848443882154243e-09
1841,3.595507109821483e-07,4.494383976094696e-09
1842,3.3943820199056063e-07,6.708265054555795e-10
1843,3.573681226498593e-07,4.7255288571079745e-09
1844,3.479747761048202e-07,2.195424508855126e-09
1845,3.5936668041358644e-07,2.2320911785556063e-09
1846,3.0853220778226387e-07,1.7563503984519002e-09
1847,4.314578916364553e-07,3.775256551818984e-09
1848,3.94215874166548e-07,1.448139919091318e-08
1849,2.052956631359848e-07,7.54147322368226e-09
1850,4.0598195027996553e-07,1.3577992064028876e-09
1851,3.269865374022629e-07,0.0
1852,4.518318519330933e-07,0.0
1853,3.66079433433697e-07,5.3747388761848924e-09
1854,3.460312427705503e-07,3.117398783558656e-09
1855,3.1045581749822304e-07,2.653468555990912e-09
1856,3.6550954973790795e-07,4.141751386299575e-09
1857,3.480515999854106e-07,9.274867096564776e-09
1858,4.0470700923833647e-07,8.31924928945682e-09
1859,3.9260655171347025e-07,2.036869339860914e-09
1860,4.018767469915474e-07,4.57718396518203e-09
1861,3.21628732535828e-07,6.6023493339173456e-09
1862,3.5963171285402495e-07,1.1746764450037972e-08
1863,4.0656212263456837e-07,3.995696662428827e-09
1864,3.816603566519916e-07,2.3973640850272204e-09
1865,3.920801248114003e-07,4.706844247692743e-09
1866,4.7099132416406064e-07,4.865612801552288e-09
1867,3.7657815710190334e-07,2.91168689159349e-09
1868,4.080335997969087e-07,4.93987406535723e-10
1869,3.892164670560305e-07,3.906815315701806e-09
1870,3.537908241924015e-07,3.4404292748035914e-09
1871,3.9404568497047876e-07,0.0
1872,3.954959879592934e-07,3.0236697590169115e-09
1873,3.3222323736481485e-07,1.1972008939764578e-09
1874,4.056759621562378e-07,2.9873046258899194e-09
1875,3.856309263028379e-07,2.8607636259891933e-09
1876,3.8573574556721724e-07,4.836811839936672e-09
1877,3.036744544715475e-07,6.184815992682502e-10
1878,4.6259418695626664e-07,3.6234530931267273e-09
1879,3.873312266478024e-07,1.3440515367335593e-08
1880,4.043243109208561e-07,0.0
1881,3.116711013717577e-07,0.0
1882,3.6205295828040107e-07,3.3276925659464496e-09
1883,4.581520727242605e-07,3.791603475633565e-09
1884,4.1260605598836264e-07,5.281357573494461e-09
1885,4.0285223690261773e-07,1.2891271383708158e-09
1886,4.865911478191265e-07,1.2906927748801422e-09
1887,3.773718333377474e-07,1.9586774424595887e-09
1888,3.7853470757909236e-07,6.340614699951175e-10
1889,4.435716789430444e-07,3.132568426877924e-09
1890,4.1161547414958477e-07,6.554386478008212e-10
1891,3.894648443747428e-07,6.374220040683554e-10
1892,5.064957804279402e-07,1.8805537127519756e-09
1893,4.951367031935661e-07,1.847525021858587e-09
1894,4.3417605866125086e-07,0.0
1895,4.483867712679057e-07,4.213029924926559e-09
1896,4.865049163527146e-07,2.358811590497112e-09
1897,4.7138112790889863e-07,1.7480140668268973e-09
1898,4.4191750703248545e-07,1.13167097914868e-09
1899,4.250707661412889e-07,2.7637891975018647e-09
1900,4.3968219642920303e-07,0.0
1901,4.35921634789338e-07,1.1177477832191585e-09
1902,4.527281589616905e-07,1.9641135384773634e-09
1903,4.077166408933408e-07,2.1600881083827517e-09
1904,3.8966032889220514e-07,1.6123875568041512e-09
1905,4.5466288156603696e-07,4.64468330463319e-09
1906,4.7429381311303587e-07,2.572092316910357e-09
1907,4.196560325908649e-07,3.0857059130084963e-09
1908,4.223794576319051e-07,4.911389073214423e-10
1909,3.7791755858052056e-07,2.2003934230241384e-09
1910,4.54787226544795e-07,5.878565634276356e-09
1911,3.995600934558752e-07,1.5961122423746588e-09
1912,4.5530342163146997e-07,4.688478938419394e-09
1913,4.242391753450647e-07,5.30298971401777e-10
