year,commençant_VERB en_ADP
1800,5.973912209356058e-08
1801,1.1429676516350185e-07
1802,2.6854081625060644e-08
1803,8.581492494386112e-08
1804,9.88740396223875e-08
1805,3.695740957709859e-08
1806,1.0085842205853623e-07
1807,2.2775640928784924e-08
1808,6.798222074166915e-08
1809,1.0391540428145163e-07
1810,3.978215445954447e-08
1811,7.270522672797597e-08
1812,2.9339290108509886e-08
1813,5.7514832008109806e-08
1814,1.1642705288750221e-07
1815,7.282503844407984e-08
1816,1.1356259221884102e-07
1817,3.89218364205135e-08
1818,5.0068944545955674e-08
1819,4.6579724966022695e-08
1820,6.170570543417853e-08
1821,4.536284592404627e-08
1822,9.925359734097583e-08
1823,1.2847492314449482e-07
1824,8.084268010577489e-08
1825,1.1799293986314296e-07
1826,8.103345550125596e-08
1827,1.6406746539132655e-07
1828,7.33784091266898e-08
1829,9.687688679038686e-08
1830,1.1271782796029584e-07
1831,5.9246584527272717e-08
1832,1.041807635715486e-07
1833,1.0656938198572163e-07
1834,1.0361329039199063e-07
1835,1.739510224751939e-07
1836,3.071382650432497e-07
1837,2.136072474456796e-07
1838,1.110940524018389e-07
1839,1.971595954275429e-07
1840,1.006410799142543e-07
1841,1.3033713042176487e-07
1842,8.452414235193828e-08
1843,1.5771452410717757e-07
1844,1.3007890165006586e-07
1845,1.4006372284214308e-07
1846,1.258717781116303e-07
1847,1.3752720917636907e-07
1848,1.3194163883678556e-07
1849,9.217356322643866e-08
1850,1.6361480437154796e-07
1851,1.709101269398161e-07
1852,1.7383156292183344e-07
1853,1.9468498169139536e-07
1854,1.1690244861028987e-07
1855,1.0666943595083467e-07
1856,1.4806760662011698e-07
1857,1.415637571611228e-07
1858,1.4485281196741084e-07
1859,1.3494259509805318e-07
1860,1.1305644398440506e-07
1861,1.2685941808143752e-07
1862,1.4864174607831515e-07
1863,1.6132625602072181e-07
1864,1.970633248804532e-07
1865,1.798014488407773e-07
1866,1.7856798706361587e-07
1867,1.737306476456979e-07
1868,1.887031895186908e-07
1869,1.6457459039997957e-07
1870,1.8865020479097439e-07
1871,1.625040180197601e-07
1872,1.7053497236574344e-07
1873,1.6341791936325123e-07
1874,2.336072162378855e-07
1875,1.607749074983289e-07
1876,1.7352061831843457e-07
1877,2.22653381953819e-07
1878,1.8177656524454022e-07
1879,2.3520902736606786e-07
1880,1.3670013143673998e-07
1881,1.6524842749721103e-07
1882,1.8235754950524097e-07
1883,2.2749619699169443e-07
1884,1.6174157835280312e-07
1885,2.12705981272876e-07
1886,2.1102826508467842e-07
1887,1.7236360849715027e-07
1888,1.9719311694643693e-07
1889,1.685321819877572e-07
1890,1.264996569716459e-07
1891,1.9441371779116423e-07
1892,2.7393399104624905e-07
1893,2.0261190103454396e-07
1894,2.350474130885516e-07
1895,1.8537331958334846e-07
1896,2.7539125269093745e-07
1897,2.1675374894947197e-07
1898,1.9691074815142429e-07
1899,2.1999761656843475e-07
1900,2.133522880587435e-07
1901,1.7157428922054407e-07
1902,2.1556146245771401e-07
1903,1.9116779093053538e-07
1904,2.590569234683926e-07
1905,1.8888377528725186e-07
1906,1.5998413971374248e-07
1907,1.4502818268535833e-07
1908,1.6158469362537176e-07
1909,1.7988216044484417e-07
1910,1.2451871400642744e-07
1911,1.521627015499405e-07
1912,1.4013342797269956e-07
1913,1.9037733300919513e-07
1914,1.6072185360371805e-07
