year,annonçant_VERB en_ADP,annonçant_VERB sans_ADP
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,1.6668277424969347e-08
1802,1.7902721083373763e-08,1.5664880947952042e-08
1803,1.950339223455444e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,5.6475762733043666e-08,0.0
1810,3.510190182964834e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,7.468182872116813e-08,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,1.3486118000116676e-08,5.394447111228828e-09
1816,9.270415546325239e-09,4.6352077731626196e-09
1817,5.916118794857539e-08,0.0
1818,4.768470773797162e-08,0.0
1819,1.8631890696951814e-08,0.0
1820,1.779972080839798e-08,4.746592452420373e-09
1821,4.2404398215012407e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,4.5460358588655936e-08,0.0
1824,7.242157096243318e-08,0.0
1825,5.899646993157148e-08,0.0
1826,5.0205510859768765e-08,0.0
1827,4.424290978022327e-08,0.0
1828,3.5771975603893225e-08,0.0
1829,1.1402324417986165e-07,1.714635211591542e-09
1830,5.0096812032052185e-08,0.0
1831,8.731075240575592e-08,1.5591206103948707e-09
1832,6.494385473843067e-08,0.0
1833,6.950177322551099e-08,1.1583628500844156e-09
1834,3.360431222176885e-08,1.8669061851994684e-09
1835,3.327758690829796e-08,3.025235173481633e-09
1836,4.099657546774438e-08,8.064899859050456e-09
1837,5.0792603900617905e-08,2.0873671680021744e-09
1838,2.9035945203759184e-08,6.312161904276081e-10
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,4.395085184683012e-08,7.64362617644565e-09
1841,4.943822418113086e-08,3.852329122366882e-09
1842,2.4149754196400863e-08,1.341653010911159e-09
1843,2.7171790151214736e-08,1.1813822142769936e-09
1844,1.866110821424627e-08,4.9397050894128824e-09
1845,1.785672942844485e-08,1.674068439427856e-09
1846,3.9810608143397985e-08,1.7563503984519002e-09
1847,2.9123407685460734e-08,5.393223645455691e-10
1848,2.574470947536156e-08,2.413566457803995e-09
1849,2.0948537127196687e-08,0.0
1850,1.6972489191857676e-08,0.0
1851,3.224719336003545e-08,0.0
1852,4.036538214791108e-08,6.510545436100301e-09
1853,2.508211416341055e-08,0.0
1854,2.234135720868835e-08,2.0782657816909023e-09
1855,3.661786607267459e-08,0.0
1856,2.9509978460851016e-08,1.0354378465748937e-09
1857,2.001418764052687e-08,4.393358121745905e-09
1858,3.2787627668451336e-08,7.34051397444091e-09
1859,3.717286722881852e-08,3.055304009791371e-09
1860,2.1970483293776155e-08,2.288591982591015e-09
1861,4.621644578151063e-08,8.017138064531082e-09
1862,3.3884898442693157e-08,2.2589932147099034e-09
1863,3.3963420520422005e-08,1.4983863039219614e-09
1864,2.1096802527154068e-08,2.8768367688059016e-09
1865,1.5061901947888146e-08,2.8241067262513297e-09
1866,2.238181906477621e-08,0.0
1867,3.202855580752839e-08,4.85281148598915e-10
1868,2.1241458370013788e-08,8.397785578040384e-09
1869,2.8812763730456936e-08,1.953407657850903e-09
1870,3.612450782952692e-08,2.2936195165357276e-09
1871,2.442870794538976e-08,3.18635318130589e-09
1872,2.237515595027162e-08,6.047339295989218e-10
1873,1.6760813348337678e-08,0.0
1874,2.9275584623178474e-08,6.572069999322139e-09
