year,tant_ADV eu_VERB,tant_ADV su_VERB
1800,5.973912209356058e-08,2.8297480980654655e-07
1801,9.762848662830947e-08,0.0
1802,3.3567602031325805e-08,6.713520406265161e-09
1803,7.606323038089613e-08,0.0
1804,9.145848167690929e-08,2.2246657849223084e-08
1805,1.0802935435094696e-07,8.528632911009026e-09
1806,9.797675204481493e-08,8.645007376628655e-09
1807,1.537355700520493e-07,2.8469551160981155e-09
1808,7.024829073998262e-08,4.5321479902327155e-09
1809,6.777091243748146e-08,4.518061036407062e-09
1810,9.828532654410083e-08,4.680253518074551e-09
1811,6.016983888912364e-08,5.0141535368197765e-09
1812,4.000812481308458e-08,5.3344164641089264e-09
1813,1.7254450312975678e-07,1.1502966579257645e-08
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,5.1247248222807684e-08,0.0
1816,8.343373991692715e-08,4.6352077731626196e-09
1817,8.874178547557676e-08,1.8682481339737933e-08
1818,6.914282835168706e-08,1.3113295338484932e-08
1819,8.384350280721264e-08,2.2772310259711048e-08
1820,1.2459804565878585e-07,0.0
1821,1.0255947557880063e-07,1.2819934447350079e-08
1822,8.321261191213125e-08,6.015369535816717e-09
1823,8.499110748516614e-08,3.9530747564242574e-09
1824,1.3894836570216285e-07,3.3684450784221553e-08
1825,1.0478477463493618e-07,1.1447076175841175e-08
1826,9.336463335785083e-08,7.0463874735082754e-09
1827,7.92685455053288e-08,1.2904182611350734e-08
1828,1.0181254594954225e-07,9.172301140836225e-09
1829,1.2602568233432976e-07,1.2859763920403111e-08
1830,4.174734158368665e-08,1.1480519646056564e-08
1831,5.3010101197514814e-08,9.354723218280014e-09
1832,1.1500473817704915e-07,6.764984572527055e-09
1833,5.3284690437749305e-08,1.2741991461950875e-08
1834,8.214387037241977e-08,2.8003592777992026e-09
1835,6.277362984974388e-08,9.075705520444899e-09
1836,1.2702217588866915e-07,1.4785650037651976e-08
1837,8.071153700939249e-08,1.0436836284100082e-08
1838,9.531364497661343e-08,5.680945491803868e-09
1839,9.29866175169991e-08,6.9914749545318955e-09
1840,5.286841542329057e-08,1.0191501864653674e-08
1841,5.072233477676491e-08,1.4767261191650505e-08
1842,6.641182181965632e-08,2.0124795163667386e-09
1843,5.316219997553162e-08,1.2404512972352677e-08
1844,6.586273570974299e-08,5.488561272137815e-10
1845,6.138250796539069e-08,1.674068439427856e-09
