year,ait_VERB eu_VERB,ait_VERB su_VERB
1800,7.168694992287783e-06,5.596612595581973e-07
1801,6.9173352130746935e-06,3.8575157645936997e-07
1802,8.550787242711522e-06,3.6700578220916213e-07
1803,7.360580184467835e-06,5.773003977083135e-07
1804,1.0811875654326286e-05,9.096411304199137e-07
1805,8.804392564343289e-06,7.078765520418528e-07
1806,7.581671525258571e-06,5.475171178659366e-07
1807,1.0436937373015098e-05,7.174326697167999e-07
1808,9.567364031681791e-06,7.183454613368667e-07
1809,9.293651601183228e-06,4.789144441019744e-07
1810,8.87142050487455e-06,5.452495202007412e-07
1811,8.579217137594242e-06,5.665993398906721e-07
1812,9.951353604265023e-06,5.627809400721162e-07
1813,9.596349627827294e-06,7.505685744035873e-07
1814,8.184507350961212e-06,6.261887506298081e-07
1815,8.304751645482611e-06,1.8341120266995858e-07
1816,7.801054380252026e-06,4.449799462236115e-07
1817,8.460049684799742e-06,7.114911682037928e-07
1818,8.406814231420867e-06,5.078421736470773e-07
1819,9.881112418952398e-06,6.686778419862094e-07
1820,8.422828614129685e-06,5.55351334696752e-07
1821,9.136669177678414e-06,6.222599040484056e-07
1822,8.544832780899014e-06,5.714600774808787e-07
1823,7.736167390248738e-06,4.447209107638628e-07
1824,8.135636562656146e-06,4.89266653858067e-07
1825,8.215478374040686e-06,4.95746462547686e-07
1826,7.460362667188747e-06,3.664121379642893e-07
1827,9.523286280455068e-06,4.829851150134346e-07
1828,9.241093721357174e-06,4.4027046897099353e-07
1829,9.407345714862458e-06,4.4751979544344067e-07
1830,1.0187395673710853e-05,4.4565288703779515e-07
1831,9.518431397737004e-06,4.162851894307096e-07
1832,9.77134368440602e-06,4.410769918195001e-07
1833,7.853700481064152e-06,3.2318322951141454e-07
1834,8.939679901232012e-06,4.0698554926166253e-07
1835,8.488053936162032e-06,3.274817004239594e-07
1836,8.428492947132327e-06,3.978684048888681e-07
1837,8.50950073072454e-06,3.6668086522695376e-07
1838,9.004298590298276e-06,3.837794508854131e-07
1839,8.649153642181773e-06,2.6427775878801185e-07
1840,8.313080797961447e-06,4.089339995516639e-07
1841,9.380421033711173e-06,3.723918098330614e-07
1842,8.332335710292682e-06,3.293758084055298e-07
1843,8.844417607178912e-06,4.5365078449322027e-07
1844,8.237781912612263e-06,4.412803207287652e-07
1845,8.42056397232227e-06,3.2923344406299293e-07
1846,8.502492164552677e-06,4.109859901291202e-07
1847,8.429608897131402e-06,3.246720723382168e-07
1848,8.62447723193327e-06,3.51576176171875e-07
1849,8.87380065250909e-06,3.35176594035147e-07
1850,8.547345714760013e-06,3.088993310029764e-07
1851,9.307829714089166e-06,3.714876584126614e-07
1852,9.215676982421428e-06,2.7865135621141235e-07
1853,8.517169590049889e-06,3.386085438705777e-07
1854,7.781027306918986e-06,3.4083558375641587e-07
1855,8.204524419852532e-06,3.65647963462834e-07
1856,8.459009222860914e-06,3.194325870481407e-07
1857,8.300517947645858e-06,4.2762019347719615e-07
1858,8.307504685944878e-06,3.547915241597366e-07
1859,8.220804375014268e-06,3.289543997198052e-07
1860,7.855820513213985e-06,3.1491026675212197e-07
1861,8.150600478984416e-06,4.032148979149497e-07
1862,8.036142389755696e-06,3.298129911399883e-07
1863,8.426924068771768e-06,4.405255538131314e-07
1864,8.583042472309899e-06,4.828290798286616e-07
1865,8.312757927342318e-06,3.478357939457055e-07
1866,8.398047611990478e-06,2.5787747404137917e-07
1867,8.341982720594388e-06,3.280500493474392e-07
1868,8.068296665442176e-06,3.492490918688418e-07
1869,8.295145562442485e-06,3.174287428464595e-07
1870,8.36655090097338e-06,3.2798757843011117e-07
1871,7.494302735722158e-06,3.1332473326983745e-07
1872,8.566660653741565e-06,2.6668766395232524e-07
1873,8.701255865162238e-06,3.2384284054387535e-07
1874,8.23002392280614e-06,3.2800605254124093e-07
1875,8.489029823977035e-06,3.518739219998679e-07
1876,8.442654689133633e-06,3.403906418952829e-07
1877,8.070566764217801e-06,3.704704738538567e-07
1878,8.413054274569731e-06,3.5268277542854776e-07
1879,8.369164788746275e-06,3.7389071394500206e-07
1880,7.870205081417225e-06,3.76727570028379e-07
1881,8.113210242299829e-06,3.521116411775438e-07
1882,8.176140909199603e-06,2.635532609929214e-07
1883,8.59619649418164e-06,3.1659888577451056e-07
1884,7.81178823672235e-06,3.096195939633617e-07
1885,7.832091796444729e-06,3.30661123371101e-07
1886,7.824824933777563e-06,3.0589418997806206e-07
1887,8.3237264334457e-06,2.467933484240348e-07
1888,8.231386345869396e-06,3.4619756661413703e-07
1889,8.121496648527682e-06,3.414499474274635e-07
1890,7.900657692516688e-06,3.067452780669555e-07
1891,8.08633558335714e-06,2.7090436560683884e-07
1892,7.98420387582155e-06,2.733071369220852e-07
1893,8.17652926343726e-06,2.931406299921946e-07
1894,8.180658369383309e-06,2.438695787532197e-07
1895,7.69359485275345e-06,3.5630196748570597e-07
1896,7.833024028514046e-06,2.818779876179178e-07
1897,7.804300366842654e-06,3.2513062819816696e-07
1898,8.244788659794722e-06,3.7458309520843613e-07
1899,8.057550985540729e-06,3.6924222968082177e-07
1900,7.57322732169996e-06,3.462432403011917e-07
1901,7.830381946405396e-06,2.811135573210777e-07
1902,7.012376499915263e-06,2.1998071986217838e-07
1903,7.723395356151741e-06,3.0349238500093634e-07
1904,7.667978024983313e-06,2.982916953442327e-07
1905,8.151419024216011e-06,3.194509758941422e-07
1906,8.034186976146884e-06,2.901319930970203e-07
1907,8.132377843139693e-06,2.879992280213628e-07
1908,7.933857887110207e-06,3.325010311527876e-07
1909,7.829549758753274e-06,3.53163130739631e-07
1910,7.858573553676251e-06,3.6821197113567905e-07
1911,7.935869689390529e-06,3.2560689078309224e-07
1912,7.968851605255622e-06,3.1673280886934663e-07
1913,7.606608505739132e-06,3.7651227557944367e-07
1914,7.896130227891263e-06,3.174256448801316e-07
1915,7.742316483927425e-06,2.2265639643137547e-07
1916,7.531905339419609e-06,3.131426637992263e-07
1917,7.3650508056744e-06,3.136397310754546e-07
1918,6.88723139319336e-06,2.6992984203388914e-07
1919,7.509000170102809e-06,3.1214605655804917e-07
1920,7.20346406524186e-06,3.657387992461736e-07
1921,7.075975190673489e-06,3.6197732811160677e-07
1922,7.338832347159041e-06,3.143000526506512e-07
1923,7.5744787864096e-06,3.0786250704295526e-07
1924,7.679540431126952e-06,3.815920877059398e-07
1925,7.552449005743256e-06,3.387438880508853e-07
1926,7.199290848802775e-06,3.366133682902728e-07
