year,avait_VERB eu_VERB,avait_VERB su_VERB
1800,1.2391152267809957e-05,1.6664072290950571e-06
1801,1.138919651566539e-05,1.2596456144819967e-06
1802,7.617607934662374e-06,1.0182172900385922e-06
1803,1.0118359568878077e-05,1.2833231721742777e-06
1804,1.3528439922083635e-05,2.091185933750239e-06
1805,1.1561983228602912e-05,1.7170981436720467e-06
1806,1.0907117939495947e-05,1.4610062635256327e-06
1807,1.8698801795835607e-05,2.249094450235134e-06
1808,1.3834382116328925e-05,1.6768947261880385e-06
1809,1.7141523130703717e-05,1.9585795598686673e-06
1810,1.453920776839368e-05,1.4461983255387167e-06
1811,2.3466238417313434e-05,2.58981026490801e-06
1812,2.3106025764718652e-05,2.203114036092302e-06
1813,2.3678856450715102e-05,2.5967947294702753e-06
1814,1.9320597857586108e-05,2.26246083911974e-06
1815,1.9770648577832617e-05,1.7585897467142786e-06
1816,1.8334563719690777e-05,1.942152039191569e-06
1817,2.0687733922386542e-05,2.193634600189398e-06
1818,2.3510945538873784e-05,2.622658939799294e-06
1819,2.3209124265122227e-05,2.6291666017641546e-06
1820,2.4361885152757168e-05,2.9393274871836184e-06
1821,2.5530407583573833e-05,2.630058816066594e-06
1822,2.5793904569582082e-05,2.8071724500478012e-06
1823,2.578294152044691e-05,2.59914668276906e-06
1824,2.5482286218903027e-05,2.6703348794399062e-06
1825,2.6175059247179888e-05,3.243044602641021e-06
1826,2.7164704079041258e-05,2.5930705760401906e-06
1827,2.9689757866435684e-05,3.1578376820107223e-06
1828,2.8421292881830595e-05,2.8993645173613913e-06
1829,3.514916534186341e-05,4.021676886623027e-06
1830,3.099426976405084e-05,3.1832348668103805e-06
1831,2.8018956072628498e-05,2.64115033132839e-06
1832,2.9910703233326785e-05,2.7804087494587293e-06
1833,2.7746265914174728e-05,2.809029865602497e-06
1834,2.833496910170652e-05,2.8115607619838556e-06
1835,2.9176881071180105e-05,2.6175846414844273e-06
1836,2.799259527819231e-05,2.82607538792945e-06
1837,2.9207138140918687e-05,2.9717152756347787e-06
1838,3.0011173294042237e-05,3.1857480280450545e-06
1839,2.968230728583876e-05,3.0629653338110074e-06
1840,3.34848155034706e-05,3.7925126434856793e-06
1841,2.7531312298378907e-05,3.217978928660159e-06
1842,3.311266846139915e-05,3.6727751648868434e-06
1843,2.855932507372927e-05,3.3521721434226492e-06
1844,3.128260505036451e-05,4.034092398796929e-06
1845,3.197637852281332e-05,3.5724619920074474e-06
1846,3.0318120479932986e-05,3.3973672088905005e-06
1847,3.148024552501738e-05,3.5153032058587996e-06
1848,2.7911288270843215e-05,2.946964741568081e-06
1849,3.179652776452713e-05,3.0685416732012527e-06
1850,2.8255801225895993e-05,2.8826077596022515e-06
1851,2.934817166533321e-05,3.0041485388210276e-06
1852,2.822972419380676e-05,3.2735022159613436e-06
1853,2.901283914980013e-05,3.3544340567459585e-06
1854,2.812153434206266e-05,3.2550838113820646e-06
1855,3.123928399872966e-05,3.6739925235451665e-06
1856,2.9078200896037742e-05,3.1984675388230244e-06
1857,2.884093191823922e-05,3.0519195206579752e-06
1858,2.979318924190011e-05,3.1290164770325646e-06
1859,3.131839548586868e-05,3.649560539997765e-06
1860,3.206225665053353e-05,4.042568889417453e-06
1861,2.8915459552081302e-05,3.336544295962085e-06
1862,3.0668994440929964e-05,3.61574439011747e-06
1863,2.8671620384557173e-05,3.2280233881465392e-06
1864,2.8052514608134516e-05,3.4287099879293237e-06
1865,2.97373717330629e-05,3.2270124847855186e-06
1866,2.990746361319907e-05,3.379168219908024e-06
1867,3.005491817020811e-05,3.5309055874677142e-06
1868,2.825360934366472e-05,3.450996018727892e-06
1869,2.9599497793242335e-05,3.403324399187113e-06
1870,3.0288965717772953e-05,3.4731133382592816e-06
1871,2.718065479712095e-05,3.357354216859676e-06
1872,2.882766602851916e-05,3.185133664374007e-06
1873,2.7530233637662604e-05,3.1019474135973724e-06
1874,2.8935630325577222e-05,3.292009523647721e-06
1875,2.8183671020087786e-05,3.199477987436694e-06
1876,2.71206081379205e-05,3.3482829167041928e-06
1877,2.6672018066165037e-05,3.3948454074561596e-06
1878,2.8108937840443105e-05,3.1083188787306426e-06
1879,2.8256239602342248e-05,3.335080691613257e-06
1880,2.6748941309051588e-05,3.373219897184754e-06
1881,2.6584777515381575e-05,3.271500645496417e-06
1882,2.6939002054859884e-05,3.152655835947371e-06
1883,2.6016086849267595e-05,3.257619255236932e-06
1884,2.7030648197978735e-05,3.344419610584737e-06
1885,2.6017163690994494e-05,2.9398545393632958e-06
1886,2.609458169899881e-05,3.398394028408802e-06
1887,2.5163128157146275e-05,3.3114706639025826e-06
1888,2.5867171643767506e-05,3.3072647056542337e-06
