year,quittant_VERB en_ADP,quittant_VERB sans_ADP
1800,0.0,1.5720821977538435e-08
1801,1.1905912700171939e-08,7.143547975374531e-09
1802,1.3427040812530322e-08,8.951360541686881e-09
1803,0.0,9.751696339321825e-09
1804,0.0,5.932442159739537e-08
1805,0.0,5.1171799242411e-08
1806,0.0,3.1698359492793315e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,6.798221985349073e-09,1.8128591960930862e-08
1809,4.518061036407062e-09,4.518061036407062e-09
1810,0.0,7.488405628919281e-08
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,1.3336041604361526e-08,5.3344164641089264e-09
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,2.697223555614414e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,2.7811246638975717e-08
1817,6.227493631882908e-09,3.113746815941454e-09
1818,0.0,1.7881765401739358e-08
1819,0.0,2.070210003424222e-09
1820,4.746592452420373e-09,0.0
1821,9.86148829262845e-10,6.903041693817613e-09
1822,2.0051231786055723e-09,1.2030739071633434e-08
1823,1.9765373782121287e-09,1.3835761869529506e-08
1824,0.0,1.0105335235266466e-08
1825,6.163809906922779e-09,2.1133063299316746e-08
1826,1.3211976401805714e-08,1.6735169694470642e-08
1827,2.7651818612639545e-09,2.027800150017356e-08
1828,1.4675682002973645e-08,1.3758452155343548e-08
1829,8.573175946935407e-09,1.7146351893870815e-08
1830,1.2524203230057651e-08,1.2524203008013046e-08
1831,4.677361609140007e-09,1.7150327380477393e-08
1832,8.117981509236927e-09,2.705993873419743e-09
1833,2.0850531967653296e-08,3.243415847009601e-08
1834,1.213489042584115e-08,1.7735608537350345e-08
1835,4.5378527602224494e-09,3.403389570166837e-08
1836,2.083432448785061e-08,1.2769424795333606e-08
1837,2.0873671680021744e-09,1.7394726437025554e-08
1838,2.5248647617104325e-09,1.7674054220151447e-08
1839,6.9914749545318955e-09,1.11863602825224e-08
