year,pourraient_VERB avoir_VERB,pourraient_VERB savoir_VERB
1800,1.245089151780121e-06,3.144164484325529e-09
1801,9.691412969914381e-07,0.0
1802,1.2017201242997544e-06,2.2378401354217203e-09
1803,1.1214450523766573e-06,0.0
1804,1.5152446621868876e-06,0.0
1805,1.0291216767654987e-06,2.842877711017877e-09
1806,1.5330480209740927e-06,8.645007376628655e-09
1807,2.365819682381698e-06,1.9928686256776018e-08
1808,1.4933427792129805e-06,2.2660739951163578e-09
1809,1.2740931651933352e-06,2.259030518203531e-09
1810,1.595966409695393e-06,0.0
1811,1.4892035551383742e-06,0.0
1812,1.506972694187425e-06,8.00162425207418e-09
1813,1.2624506098291022e-06,8.627225156487839e-09
1814,1.7023522786985268e-06,0.0
1815,1.5805729844942107e-06,0.0
1816,1.2816349226341117e-06,0.0
1817,1.4805866612732643e-06,6.227493631882908e-09
1818,1.6820781638671178e-06,8.344824387052086e-09
1819,1.6540977867407491e-06,1.1386155129855524e-08
1820,1.480936816733447e-06,8.306536791735653e-09
1821,1.5009185290182359e-06,1.8736827200882544e-08
1822,1.3694991594093153e-06,2.0051231786055723e-09
1823,1.4191538184604724e-06,1.581229902569703e-08
1824,1.5856954860282713e-06,5.894778887238772e-09
1825,1.9697777133842465e-06,1.4088708866211164e-08
1826,1.6550202417420223e-06,7.0463874735082754e-09
1827,2.2204410470294533e-06,1.013900075008678e-08
1828,1.8867423250412685e-06,4.586150570418113e-09
1829,2.1827306682098424e-06,2.1432940755516938e-08
1830,1.777393094926083e-06,1.5655253093882493e-08
1831,1.8288484397999127e-06,2.0268567268999504e-08
1832,1.8982547089763102e-06,2.705993873419743e-09
1833,2.2367987639881903e-06,1.853380560135065e-08
1834,2.5791309781197924e-06,1.0267983796552471e-08
1835,2.051109504463966e-06,1.5126175867408165e-09
1836,1.969851837202441e-06,4.032449929525228e-09
1837,1.7137285794888157e-06,4.174734336004349e-09
1838,1.754781010276929e-06,5.049729523420865e-09
1839,1.97858753381297e-06,6.292327547896548e-09
1840,1.8484836346033262e-06,1.9109065441114126e-09
1841,1.6969510170383728e-06,2.5682194149112547e-09
1842,1.9239303128415486e-06,6.708265054555795e-10
1843,1.733678345772205e-06,4.134837805480629e-09
1844,1.8946514046547236e-06,9.879410178825765e-09
1845,1.743821258060052e-06,1.3392547515422848e-08
