year,pourront_VERB aider_VERB,pourront_VERB céder_VERB
1800,1.5720821977538435e-08,2.5153315874604232e-08
1801,2.6193008650921e-08,3.095537337571841e-08
1802,1.7902721083373763e-08,2.2378401354217203e-08
1803,4.095712213825209e-08,4.095712213825209e-08
1804,5.438072037122765e-08,2.2246657849223084e-08
1805,2.842877711017877e-09,2.842877755426798e-08
1806,3.458002950651462e-08,2.305335300434308e-08
1807,1.9928686256776018e-08,4.555128185756985e-08
1808,2.7192887941396293e-08,2.4926814390369145e-08
1809,3.388545621874073e-08,1.129515236897305e-08
1810,2.3401266702194334e-08,3.042164919975221e-08
1811,3.760615285841595e-08,2.5070768572277302e-08
1812,1.1468995353425271e-07,1.0668832928217853e-08
1813,5.751483289628823e-09,5.751483289628823e-09
1814,3.776012391654149e-08,5.349351184236184e-08
1815,1.0788894222457657e-08,2.4275012222574333e-08
1816,8.1116134253989e-08,1.8540831092650478e-08
1817,2.1796227045456362e-08,1.5568733857662664e-08
1818,2.98029441125891e-08,1.1921176934492905e-08
1819,5.796588098405664e-08,8.280840013696888e-09
1820,5.22125169766241e-08,3.5599443393152796e-09
1821,4.832129363308013e-08,2.070912508145284e-08
1822,5.81485721795616e-08,2.606660132187244e-08
1823,1.581229902569703e-08,2.9648061783404955e-09
1824,2.947389532437228e-08,2.2737005167527968e-08
1825,6.075755720758025e-08,8.805443041381977e-10
1826,3.2589543508265706e-08,5.284790383086602e-09
1827,7.005127855563842e-08,3.6869092667757286e-08
1828,5.044765671868845e-08,2.2013523448549677e-08
1829,5.229637523029851e-08,2.6576845613135447e-08
1830,2.1917355041978226e-08,3.339787468803479e-08
1831,4.8332740476553226e-08,4.677361609140007e-09
1832,2.3000948701223933e-08,4.058990921151917e-09
1833,3.1275796175123105e-08,3.59092489077284e-08
1834,4.573920264761e-08,2.240287422239362e-08
1835,3.857174846189082e-08,3.781543966852041e-09
1836,2.755507466645213e-08,1.9490174807401672e-08
1837,2.435261770017405e-08,1.1828414692161004e-08
1838,2.9035945203759184e-08,3.092959488526503e-08
1839,5.173691519644308e-08,4.544459031308179e-08
1840,2.93005673057678e-08,7.0066574764382494e-09
1841,2.6966304744746594e-08,5.585877360658742e-08
1842,3.5553803456878086e-08,1.542900918138912e-08
1843,2.2446261738195972e-08,1.2404512972352677e-08
1844,5.872760411307354e-08,1.1525978393933656e-08
1845,4.687391452762313e-08,1.2276501593078137e-08
1846,2.6345256642912318e-08,1.2294452567118697e-08
1847,2.9123407685460734e-08,1.88762818709165e-08
1848,4.585776380849893e-08,2.735375304041554e-08
1849,5.111443002192573e-08,3.267971848686102e-08
1850,1.8330290174617403e-08,1.968808760466345e-08
1851,2.192809134271556e-08,3.0957306051959677e-08
1852,2.4740073101270355e-08,2.539112742283578e-08
1853,3.762317035693741e-08,1.4929829816878737e-08
1854,3.3252252507054436e-08,2.4419623656513068e-08
1855,3.02495415382964e-08,1.2736649068756378e-08
1856,3.054541508618058e-08,1.9673318973900678e-08
1857,4.1004675210842834e-08,1.7085282522089074e-08
1858,3.670256987220455e-08,1.2723557318849998e-08
1859,3.055303920973529e-08,2.2405561850291633e-08
1860,3.4786598490654796e-08,1.5104706818647173e-08
1861,5.3761986862355116e-08,2.0278644541349422e-08
1862,5.421583537668084e-08,3.4336697041226216e-08
1863,2.3474717281146695e-08,2.5472566278494924e-08
1864,2.828889478223573e-08,1.3904711160250827e-08
1865,2.58876440284439e-08,1.9298061815220535e-08
1866,5.352174170525359e-08,2.1895258939252926e-08
1867,2.717574432153924e-08,1.1161466417775046e-08
1868,3.7049055379156925e-08,1.9265508299781686e-08
1869,3.7603097524652185e-08,2.0510780629479086e-08
1870,3.096386436141074e-08,2.2936195165357276e-09
1871,4.354682658913589e-08,8.496941816815706e-09
1872,2.6003558417642125e-08,2.0560953828407946e-08
1873,2.7535620006347017e-08,1.3169209722718733e-08
1874,2.8678122987457755e-08,1.0754296120296658e-08
1875,5.378235456987568e-08,1.6592428764283795e-08
1876,5.562333527109331e-08,1.5115036333668286e-08
1877,3.5253449937044934e-08,3.277952487223956e-08
1878,3.8650167510922984e-08,1.5701630218245555e-08
1879,5.009646741882534e-08,1.0996785704264767e-08
1880,7.958129089047361e-08,1.4119262203848848e-08
1881,4.392679642251096e-08,6.9725074602899895e-09
1882,6.322616030729478e-08,4.6587693702804245e-09
1883,2.7173157945981075e-08,2.211768546089843e-08
1884,4.027035060971684e-08,2.706695667598069e-08
1885,4.254119545521462e-08,6.445635580831777e-09
