year,plongeant_VERB en_ADP,plongeant_VERB sans_ADP
1800,1.5720821977538435e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,0.0
1802,0.0,1.1189200677108602e-08
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.5935023018064385e-08,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,4.090680150170556e-08,0.0
1815,2.966945977789237e-08,0.0
1816,3.476405652236281e-08,6.952811659743929e-09
1817,2.9580593974287694e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,2.9584463767662328e-09
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,1.1859224380295075e-08,0.0
1824,1.6842225392110777e-08,0.0
1825,2.641632912414593e-09,0.0
1826,4.403992281964975e-09,8.807984341885344e-10
1827,3.3182182335167454e-08,0.0
1828,2.109629271274116e-08,0.0
1829,1.5431716349212365e-08,8.57317605795771e-10
1830,2.400472176589119e-08,3.1310507520032616e-09
1831,3.274153215215847e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,2.4325620628928846e-08,1.1583628500844156e-09
1834,6.534171426153534e-09,0.0
1835,1.5126175867408165e-09,1.4369867074037757e-08
1836,6.72075017860152e-09,1.3441500135158435e-09
1837,1.2524203896191466e-08,3.478945576063097e-09
1838,1.0730675015224733e-08,2.5248647617104325e-09
1839,9.08891817363866e-09,7.690622361167243e-09
1840,1.2739377330817092e-09,5.095750932326837e-09
1841,2.43980835534785e-08,3.852329122366882e-09
1842,1.9453969102301016e-08,6.708265054555795e-10
1843,1.7130041385371442e-08,5.31621990873532e-09
1844,1.4819115712327857e-08,1.0428266250528395e-08
1845,3.013322924516615e-08,6.696273757711424e-09
1846,3.1614305839866574e-08,1.7563503984519002e-09
1847,2.588747349818732e-08,5.3932236454556914e-09
1848,3.459445302445019e-08,0.0
1849,4.357295679824347e-08,0.0
1850,2.104588769924476e-08,0.0
1851,1.870337307252612e-08,6.449438760824933e-10
1852,1.1067927019325907e-08,1.3021090872200602e-09
