year,touchant_VERB en_ADP,touchant_VERB sans_ADP
1800,4.7162465932615305e-08,1.8864987794131594e-08
1801,9.524730160137551e-08,0.0
1802,9.622712582313397e-08,0.0
1803,2.9255089017965474e-08,3.900678446910888e-09
1804,2.9662210465630778e-08,0.0
1805,3.695740957709859e-08,1.7057265822018053e-08
1806,5.187004603612877e-08,0.0
1807,5.97860605466849e-08,1.4234776024579787e-08
1808,4.305540457494317e-08,9.064295980465431e-09
1809,5.1957702140725814e-08,4.518061036407062e-09
1810,6.31834211617388e-08,0.0
1811,3.760615285841595e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,1.0640243885973177e-07,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-08
1815,2.4275012222574333e-08,0.0
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,2.0239355080775567e-08,3.113746815941454e-09
1818,5.6029534789558966e-08,4.768470951432846e-09
1819,7.556266723440785e-08,2.070210003424222e-09
1820,9.493184904840746e-08,0.0
1821,7.889190811738445e-08,1.97229765852569e-09
1822,9.323822780515911e-08,6.015369535816717e-09
1823,4.249555340951616e-08,0.0
1824,1.8526447931321854e-08,8.421112696055388e-10
1825,4.402721387464226e-08,6.163810351011989e-09
1826,5.725189922145546e-08,1.9377564886013943e-08
1827,7.650336897313537e-08,3.6869091668556564e-09
1828,5.6868266540277546e-08,2.659967357487858e-08
1829,6.42988169374803e-08,6.858540846366168e-09
1830,3.861629238599562e-08,1.0436835840010872e-09
1831,1.2472964883158966e-08,0.0
1832,5.682587200794842e-08,2.705993873419743e-09
1833,4.865124125785769e-08,0.0
1834,1.4935249481595747e-08,9.334530925997342e-10
1835,3.781543966852041e-08,6.806779140333674e-09
1836,2.8899226123257904e-08,2.6882999715205358e-09
1837,7.862416850912268e-08,1.3915782193230086e-08
1838,5.7440672662778525e-08,5.680945713848473e-09
1839,2.3771015378315496e-08,9.088917618527148e-09
1840,4.203994591334137e-08,3.821813199245128e-09
1841,3.9165346521485844e-08,4.494383976094696e-09
1842,3.5553803456878086e-08,4.024959032733477e-09
1843,3.36693943836508e-08,6.497602011990011e-09
1844,4.281077892187568e-08,0.0
1845,4.073566373108406e-08,3.9061593959388574e-09
1846,3.8639709210031015e-08,2.9272506640865004e-09
1847,5.2853593501822616e-08,1.1865092020002521e-08
1848,2.735375304041554e-08,3.218088684420195e-09
1849,5.865590591014325e-08,6.703531951757213e-09
1850,5.295417082606946e-08,8.82569484161877e-09
1851,4.772584816237213e-08,1.2898877521649865e-09
1852,4.49227646193151e-08,4.557382027314816e-09
1853,5.0761421732659073e-08,8.95789731281127e-09
1854,5.0397943596180994e-08,6.234797567117312e-09
1855,2.175844215912548e-08,3.1841622671890946e-09
1856,3.6240326295455816e-08,1.5531567143511893e-09
1857,6.59003731584562e-08,2.3431243167948423e-08
1858,6.900083349137276e-08,9.787352039936081e-09
1859,6.619825310139049e-08,6.110608019582742e-09
1860,7.506581312100025e-08,3.204028820036342e-09
1861,4.7631232291678316e-08,7.073945706981277e-09
1862,4.789065499721801e-08,9.035972858839614e-09
1863,5.4441368746438457e-08,6.493007298491449e-09
1864,6.13725177345259e-08,1.0068928801842958e-08
1865,4.848049783845454e-08,5.177528628053096e-09
1866,5.93604774223877e-08,6.811858299649032e-09
1867,4.270474107670452e-08,1.1161466417775046e-08
1868,3.1615194018286275e-08,2.4699371437009177e-09
1869,9.718203086706012e-08,4.883519144627257e-10
1870,8.486392033546508e-08,1.1468097582678638e-09
1871,5.523012092112367e-08,1.0621177271019633e-09
1872,3.809823734268747e-08,1.8142017887967654e-09
1873,6.524744833313889e-08,5.38740402289406e-09
1874,7.647499805640834e-08,1.1949218503559678e-08
1875,7.323554740423788e-08,1.0298748964743254e-08
1876,4.5949712923487596e-08,1.6928841217733748e-08
1877,4.391219254884504e-08,4.329371194877751e-09
1878,7.246906363889138e-08,1.8117265909722846e-08
1879,9.225081498698273e-08,1.0385852733385548e-08
1880,4.685027832351807e-08,8.343200130767059e-09
1881,5.5780059682319916e-08,8.367009307619355e-09
1882,6.389169726617183e-08,3.3276925659464496e-09
1883,4.044376922252013e-08,2.5277355764075082e-09
1884,5.545425452169184e-08,1.2543224237049344e-08
1885,4.5764013079097055e-08,5.156508553483263e-09
1886,5.0337018109303244e-08,4.5174246565693466e-09
1887,5.223139609711325e-08,1.5016526688782506e-08
1888,4.818867238576274e-08,8.876860135842435e-09
1889,5.388017498830777e-08,5.012109394186837e-09
1890,6.030035698545433e-08,5.898947774696239e-09
1891,4.398211705947119e-08,1.2748439970344805e-08
1892,5.140180192597654e-08,1.9432387698969933e-08
1893,8.190693989718056e-08,1.6627724974682678e-08
1894,4.915200690902566e-08,2.2055386850183822e-08
1895,8.847363375252826e-08,1.9861428057765806e-08
1896,3.4202766840962795e-08,1.47425724961181e-08
1897,5.302309347143819e-08,4.661370844871726e-09
1898,7.299278004246901e-08,5.6583546736987955e-09
1899,6.467266899790047e-08,8.291367592505594e-09
1900,5.6582480034705895e-08,2.07642125715779e-09
1901,7.824234415920728e-08,3.912117296778206e-09
1902,6.13785502423525e-08,4.910283735171106e-09
1903,4.968202804711552e-08,9.720396709766987e-09
1904,5.912087708281888e-08,5.374625189347171e-09
1905,4.6446832158153484e-08,1.0321518084666081e-09
1906,4.3211148437194424e-08,3.0865106026567446e-09
1907,4.52570218523185e-08,3.0857059130084963e-09
1908,5.206072239971604e-08,3.929111258571538e-09
1909,5.3359539009534274e-08,2.7504918342913243e-09
1910,4.382203400155049e-08,8.01622590529405e-09
1911,3.458243114096149e-08,4.25629931299909e-09
1912,6.251305251225858e-08,7.814131564032323e-09
1913,6.363587345958877e-08,6.363587878865928e-09
