year,fallut_VERB aider_VERB,fallut_VERB céder_VERB
1800,0.0,3.081281079175824e-07
1801,0.0,2.643112679834303e-07
1802,0.0,3.0434625841735397e-07
1803,0.0,4.017698813640891e-07
1804,2.4718509461507665e-09,3.6583392670763715e-07
1805,0.0,3.297738260243932e-07
1806,0.0,3.198652791525092e-07
1807,0.0,2.306033621835013e-07
1808,0.0,3.5124148212162254e-07
1809,0.0,4.4728804482474516e-07
1810,0.0,4.235629376125871e-07
1811,1.7549536934780008e-08,2.3065106802278024e-07
1812,0.0,5.521121124729689e-07
1813,0.0,4.3998846877002507e-07
1814,0.0,5.47521835869702e-07
1815,0.0,3.560334960184264e-07
1816,0.0,4.078982840383105e-07
1817,4.670620334934483e-09,4.483795521537104e-07
1818,2.384235475716423e-09,4.5062051867716946e-07
1819,4.140420006848444e-09,5.39289715106861e-07
1820,3.5599443393152796e-09,4.770325290337496e-07
1821,5.9168927535324656e-09,3.8657034906464105e-07
1822,9.023054303725075e-09,3.8799134927103296e-07
1823,5.929612356680991e-09,4.832633635487582e-07
1824,1.6842225392110777e-09,4.749507525048102e-07
1825,1.0566531649658373e-08,5.63548383070156e-07
1826,0.0,4.4216082528691913e-07
1827,4.608636583469661e-09,2.5992710561695276e-07
1828,5.503380862137419e-09,3.164443853620469e-07
1829,1.0287811491593857e-08,4.3208808619965566e-07
1830,3.1310507520032616e-09,3.256292870901234e-07
1831,0.0,2.697278773666767e-07
1832,5.411987746839486e-09,3.1524828614237776e-07
1833,0.0,4.100604371615191e-07
1834,9.334530925997342e-10,3.5377871654418414e-07
1835,4.5378527602224494e-09,3.342884724588657e-07
1836,6.720750067579218e-10,2.9100849019414454e-07
1837,1.3915781860163179e-09,3.9938294094099547e-07
1838,5.680945491803868e-09,4.222836196277058e-07
1839,2.7965900706306e-09,4.173910781446466e-07
1840,2.5478754661634184e-09,3.732637594566768e-07
1841,0.0,2.9149290980967635e-07
1842,2.683306021822318e-09,4.72261859840728e-07
1843,2.953455480181333e-09,3.9280959640564106e-07
1844,0.0,3.70477891920018e-07
1845,3.348136878855712e-09,3.7778141859234893e-07
1846,5.269050973311096e-09,3.348774839651014e-07
1847,5.393223645455691e-10,3.473236063200602e-07
1848,1.6090443422100975e-09,2.719284850627446e-07
1849,1.6758829879393033e-09,2.530583174120693e-07
1850,6.788996032014438e-10,2.668075467227027e-07
