year,est_VERB à_ADP,est_VERB a_ADP,est_VERB çà_ADJ,est_VERB cà_ADJ
1800,0.00011396338231861591,7.640319665824791e-07,1.5720821977538435e-08,0.0
1801,0.00010067639959743246,6.64349954604404e-07,1.6668277424969347e-08,0.0
1802,0.00010387382644694299,8.749954645281832e-07,6.713520406265161e-09,0.0
1803,0.0001070580183295533,7.879370400587504e-07,2.5354410126965377e-08,0.0
1804,0.00010655902588041499,6.57512330803911e-07,2.2246657849223084e-08,0.0
1805,0.00011435760097810999,7.306195470846433e-07,0.0,0.0
1806,9.416430111741647e-05,9.941758776221832e-07,5.76333825108577e-09,0.0
1807,0.00010379998275311664,8.910969597764051e-07,0.0,0.0
1808,0.00011067731975344941,9.086956538340019e-07,6.798221985349073e-09,0.0
1809,9.663680975791067e-05,9.962324796219946e-07,1.129515236897305e-08,0.0
1810,8.921499102143571e-05,8.635067487716697e-07,2.3401266702194334e-08,0.0
1811,9.191946446662769e-05,7.77193818635169e-07,1.2535384286138651e-08,0.0
1812,9.32642724364996e-05,6.988085345938089e-07,1.600324850414836e-08,0.0
1813,9.501737804384902e-05,9.144858097442921e-07,8.627225156487839e-09,0.0
1814,8.645180787425488e-05,1.1170703686502748e-06,0.0,0.0
1815,8.160719880834222e-05,6.797003209157992e-07,2.1577788444915313e-08,0.0
1816,8.719752804609016e-05,7.972557369839706e-07,3.0128852301913867e-08,0.0
1817,9.97535462374799e-05,8.407116141029292e-07,3.113746815941454e-09,0.0
1818,8.549153426429257e-05,7.105021921915977e-07,2.2650237241350624e-08,1.1921177378582115e-09
1819,8.470678585581481e-05,1.0661581768545147e-06,1.449147024601416e-08,0.0
1820,8.33976300782524e-05,8.152272741313027e-07,1.0679833017945839e-08,0.0
1821,8.739842451177537e-05,9.713565987112815e-07,3.94459531705138e-09,0.0
1822,8.985357999335974e-05,8.321261191213125e-07,3.5089655625597516e-08,3.0076847679083585e-09
1823,8.166261977748945e-05,9.092071806549029e-07,4.941343334508019e-09,0.0
1824,8.360396168427542e-05,7.40215796213306e-07,1.0105335235266466e-08,1.6842225392110777e-09
1825,8.641397289466113e-05,7.141214126704654e-07,2.201360693732113e-08,0.0
1826,8.447385334875435e-05,7.046387722198233e-07,2.4662355713189754e-08,3.5231937367541377e-09
1827,8.382372470805421e-05,5.972792855857278e-07,1.8434546111834038e-09,0.0
1828,8.365505345864221e-05,6.714124261009147e-07,2.7516904310687096e-09,1.1923991571904935e-08
1829,8.588864875491709e-05,7.853029302395953e-07,7.715858174606183e-09,0.0
1830,8.951987547334284e-05,9.26791038580177e-07,1.878630406793036e-08,0.0
1831,9.272401803173125e-05,1.014987546454904e-06,1.7150327380477393e-08,1.5591206103948707e-09
1832,8.875930507201701e-05,8.266811022394904e-07,1.488296597074168e-08,0.0
1833,8.984262240119278e-05,7.483023978238634e-07,4.2859426230279496e-08,1.1583628500844156e-09
1834,8.567045733798295e-05,9.57722868122346e-07,1.7735608537350345e-08,1.8669061851994684e-09
1835,8.645289926789701e-05,9.66562623716527e-07,3.554651328840919e-08,0.0
1836,8.296362648252398e-05,9.509861413903309e-07,1.5457725766054864e-08,6.720750067579218e-10
1837,8.72352538863197e-05,8.88522677655601e-07,1.461157062010443e-08,0.0
1838,8.178983989637345e-05,1.020676599239323e-06,1.64116205070286e-08,6.312161904276081e-10
1839,8.767589315539226e-05,1.0046749565617574e-06,6.292327547896548e-09,0.0
1840,8.148806227836758e-05,1.1089627633964483e-06,1.0828470564661075e-08,0.0
1841,8.429410081589594e-05,1.1075446622044183e-06,2.1829865914924085e-08,0.0
