year,allant_VERB en_ADP,allant_VERB sans_ADP
1800,5.376521130529e-07,8.803660733747165e-08
1801,9.500918285443305e-07,0.0
1802,1.036120011121966e-06,3.3567602031325805e-08
1803,8.308444989779673e-07,4.8758479920252285e-08
1804,6.303219641790037e-07,2.22466585153569e-08
1805,9.580497835059987e-07,1.421438877713399e-08
1806,8.702640785784865e-07,1.152667650217154e-08
1807,5.551562765049312e-07,0.0
1808,8.044562918030351e-07,2.2660739951163578e-09
1809,5.850888795677633e-07,2.0331274441787173e-08
1810,5.733310692868088e-07,2.574139479349924e-08
1811,7.270522726088302e-07,3.5099073869560016e-08
1812,7.681559992533948e-07,1.3336041604361526e-08
1813,6.527933464894886e-07,5.176335093892703e-08
1814,5.789885779705628e-07,6.293354282149721e-09
1815,5.097752477922768e-07,9.979726911524267e-08
1816,6.883283525382922e-07,2.0858434979231788e-08
1817,6.523299479477274e-07,4.981994905506326e-08
1818,7.15270630280429e-07,4.6492591110336434e-08
1819,6.583267602167098e-07,1.8631889808773394e-08
1820,6.502831730870184e-07,4.6279275522920216e-08
1821,7.24819415154343e-07,6.903041693817613e-09
1822,9.20351524769103e-07,4.6117833107928163e-08
1823,1.022858093335799e-06,4.644862983127496e-08
1824,9.852702387291856e-07,2.6105450245950124e-08
1825,1.1746461039408018e-06,4.57883047033647e-08
1826,7.398706913797071e-07,1.2331177856594877e-08
1827,8.009810356091052e-07,2.7651818612639545e-08
1828,6.402266308214166e-07,3.026859413113314e-08
1829,9.721982117127936e-07,4.115124507819701e-08
1830,7.660637693085448e-07,3.1310506187764986e-08
1831,9.089673094209161e-07,3.741889287312006e-08
1832,8.117981451505329e-07,3.247192659205922e-08
1833,7.71469638394251e-07,1.2741991461950875e-08
1834,8.783793719047139e-07,3.827157613045529e-08
1835,1.0331177691114135e-06,5.974839467626225e-08
1836,1.0988425978020189e-06,4.368487438455304e-08
1837,8.989595130515227e-07,4.87052354003481e-08
1838,1.0654929463171925e-06,6.438405364406208e-08
1839,1.3451597853375574e-06,4.544459031308179e-08
1840,7.841086793192176e-07,5.477932418784803e-08
1841,8.07062976893036e-07,7.512041833024341e-08
1842,8.828076580869038e-07,5.2995293486901573e-08
1843,7.572660081223148e-07,5.7297037558967645e-08
1844,5.93313482011304e-07,5.872760411307354e-08
1845,6.657212208160956e-07,6.975285060661918e-08
1846,6.984420153344217e-07,2.6345256642912318e-08
1847,7.065122797911272e-07,3.182002128454542e-08
1848,6.97520733616841e-07,2.815827521152059e-08
1849,6.184008105591943e-07,5.865590324560799e-08
1850,7.264225647674039e-07,4.752297400045791e-08
1851,6.771910519010049e-07,7.868315066161813e-08
1852,8.470219892142694e-07,4.557381672043448e-08
1853,7.321588215702945e-07,4.956703492098313e-08
1854,7.383038949093645e-07,5.299577665596189e-08
1855,8.326584506335166e-07,6.421393905498007e-08
1856,7.144520912660823e-07,3.727576247669617e-08
1857,9.616572782533694e-07,3.124165909307308e-08
1858,8.81351040149525e-07,5.725600782380269e-08
