year,demandant_VERB en_ADP
1800,1.2891074163690064e-07
1801,9.048493865293494e-08
1802,3.5805442166747525e-08
1803,3.315576790896557e-08
1804,4.69651695311768e-08
1805,7.960057502032214e-08
1806,1.0950342499427279e-07
1807,5.693910054560547e-08
1808,5.891792298484688e-08
1809,1.3328279635516083e-07
1810,3.510190182964834e-08
1811,2.1811567307850055e-07
1812,8.801787032552966e-08
1813,8.91479885467561e-08
1814,8.496028414128887e-08
1815,8.90083740046066e-08
1816,4.1716869958463576e-08
1817,7.7843672841027e-08
1818,1.263644833215949e-07
1819,1.0661581484328053e-07
1820,7.119888323359191e-08
1821,7.494730880353018e-08
1822,8.521773509073682e-08
1823,7.807322788266902e-08
1824,1.5915902906726842e-07
1825,1.1270967092968931e-07
1826,9.688783109140786e-08
1827,1.4194600339578756e-07
1828,1.5592911495332373e-07
1829,6.944272712416932e-08
1830,6.053365098068753e-08
1831,8.107426907599802e-08
1832,1.1906372776593344e-07
1833,7.066013552048389e-08
1834,1.0548019702127931e-07
1835,8.546289365085613e-08
1836,1.3508707752407645e-07
1837,6.54041727443655e-08
1838,9.910094433962513e-08
1839,9.718150550952487e-08
1840,9.17235141173478e-08
1841,1.1043343306482711e-07
1842,1.1404050326291326e-07
1843,7.738053398043121e-08
1844,9.550096535804187e-08
1845,9.709596326956671e-08
1846,1.1943183153562131e-07
1847,1.3159466050183255e-07
1848,1.1665571264529717e-07
1849,1.7345388414469198e-07
1850,1.3917441776811756e-07
1851,9.287191460316535e-08
1852,1.4713832285906392e-07
1853,9.853687288341462e-08
1854,7.325886741682552e-08
1855,1.0666943239812099e-07
1856,1.1803991384340407e-07
1857,1.2252587566763395e-07
1858,1.3017178446261823e-07
1859,9.98065985413632e-08
1860,1.0893698032532484e-07
1861,1.292174118816547e-07
1862,1.2876260768734937e-07
1863,1.223682062345688e-07
1864,1.0020981733305234e-07
1865,1.2096589330212737e-07
1866,1.3915652630203112e-07
1867,1.067618526917613e-07
1868,1.0867722721741302e-07
1869,1.3869194503968174e-07
1870,1.158277882495895e-07
1871,1.1789506970671937e-07
