year,cherchant_VERB en_ADP,cherchant_VERB sans_ADP
1800,7.860411432858427e-08,7.231578535993322e-08
1801,1.452521445344246e-07,5.9529565277216534e-08
1802,1.0517848636482086e-07,6.489736392722989e-08
1803,5.0708819365752333e-08,1.950339267864365e-08
1804,8.157108055684148e-08,4.943701892301533e-09
1805,1.4214388066591255e-07,2.842877755426798e-08
1806,8.645007110175129e-08,5.187004603612877e-08
1807,5.97860605466849e-08,2.2775640928784924e-08
1808,7.931259293769699e-08,7.47804413947506e-08
1809,1.7394535234416253e-07,5.873479480555943e-08
1810,9.828532654410083e-08,9.126494404654295e-08
1811,1.0529722516139373e-07,3.760615285841595e-08
1812,1.8670458246106136e-07,5.3344166417446104e-08
1813,1.2653263326001252e-07,1.00650957790549e-07
1814,1.32160433263806e-07,1.447471538185141e-07
1815,1.0249449600152616e-07,2.4275012000529728e-08
1816,1.0892738089296472e-07,1.297858158721965e-07
1817,1.4945984716518979e-07,4.514932783195036e-08
1818,1.7524131301627222e-07,5.364529975793175e-08
1819,1.3352854466575081e-07,2.2772310259711048e-08
1820,1.3290458511505676e-07,5.93324074316115e-08
1821,1.8638212395671871e-07,3.648750634965836e-08
1822,8.72228582693424e-08,8.221005032282847e-08
1823,1.5515818940770032e-07,7.708495530778237e-08
1824,1.414746968464442e-07,6.400046004273463e-08
1825,1.3120110153863607e-07,4.754939197937347e-08
1826,1.4092774391905039e-07,5.372870504061211e-08
1827,1.6775436950666744e-07,1.382590963938668e-08
1828,1.3299836609803606e-07,3.485474309172787e-08
1829,7.801590218292631e-08,6.258418494553553e-08
1830,2.2021723466991716e-07,3.5485243188304594e-08
1831,1.3564348932959547e-07,4.98918610869481e-08
1832,1.4612367449373664e-07,4.870789127586761e-08
1833,2.7337362240587026e-07,6.602668101152176e-08
1834,1.5682011600404167e-07,4.94730132416521e-08
1835,1.9058981592934288e-07,5.7479468296151026e-08
1836,1.518889458651529e-07,5.7798449359935944e-08
1837,1.7185991030288505e-07,3.826839867215881e-08
1838,1.1488134443737863e-07,6.37528341229654e-08
1839,1.461218372966755e-07,4.544458720445732e-08
1840,1.4586587404608053e-07,5.732719676743159e-08
1841,1.3996795722448496e-07,4.8154114473675236e-08
1842,1.8917307409438422e-07,4.561620325915783e-08
