year,fût_VERB au_ADP,fût_VERB sot_ADJ
1800,8.049061079873354e-07,0.0
1801,7.738843237348192e-07,4.7623651688866175e-09
1802,6.556871312568546e-07,0.0
1803,7.41128928893886e-07,0.0
1804,8.255981924776279e-07,0.0
1805,7.363053100561956e-07,0.0
1806,8.011040222299926e-07,0.0
1807,8.910969313546957e-07,0.0
1808,7.047490271361312e-07,0.0
1809,8.155100204021437e-07,0.0
1810,7.441603315783141e-07,0.0
1811,8.198140903914464e-07,0.0
1812,5.254400434751005e-07,4.5342538612658245e-08
1813,8.886041769073927e-07,0.0
1814,6.482155185949523e-07,0.0
1815,7.39039251129725e-07,0.0
1816,1.008157710202795e-06,0.0
1817,9.138846621681296e-07,1.556873407970727e-09
1818,1.0097237463924102e-06,0.0
1819,9.08822187284386e-07,4.140420006848444e-09
1820,9.49318518905784e-07,0.0
1821,8.658386718707334e-07,9.86148829262845e-10
1822,8.481671329718665e-07,3.0076847679083585e-09
1823,1.1948168321396224e-06,0.0
1824,1.1082183846156113e-06,6.736890156844311e-09
1825,1.2098678325855872e-06,0.0
1826,1.0411037010271684e-06,0.0
1827,1.2166800615887041e-06,0.0
1828,9.447470006307412e-07,0.0
1829,9.970603969122749e-07,0.0
1830,9.194852168548096e-07,0.0
1831,7.951514930937265e-07,0.0
1832,8.618590641162882e-07,0.0
1833,7.309269562938425e-07,4.6334514003376626e-09
1834,6.954225568733818e-07,9.334530925997342e-10
1835,9.12108419015567e-07,7.563087933704082e-10
1836,8.878110975274467e-07,0.0
1837,8.989595130515227e-07,6.957890930081589e-10
1838,9.020079119181901e-07,0.0
1839,7.410963576148788e-07,0.0
1840,9.656448582973098e-07,6.369688665408546e-10
1841,8.526488386451092e-07,0.0
1842,7.607172847201582e-07,0.0
1843,8.80129732649948e-07,0.0
1844,7.969391049300611e-07,1.097712254427563e-09
1845,7.499826324419701e-07,0.0
1846,7.967976216605166e-07,4.0981511517657054e-09
1847,7.092089049365313e-07,0.0
1848,6.661443308075832e-07,0.0
1849,6.661634870397393e-07,0.0
1850,7.753033628432604e-07,0.0
1851,7.339461376432155e-07,0.0
1852,6.451950298469455e-07,0.0
1853,7.405195674436982e-07,5.971931837933653e-10
1854,6.905037821525184e-07,0.0
1855,6.692047804790491e-07,0.0
1856,7.631176686118124e-07,0.0
1857,8.669559861118614e-07,3.905207268672939e-09
1858,8.147970333993726e-07,4.893676019968041e-10
1859,7.678997349103156e-07,0.0
1860,8.765306915847759e-07,0.0
1861,8.017138384275313e-07,0.0
1862,7.346245638473192e-07,9.035972525772706e-10
1863,8.161210303114785e-07,0.0
1864,6.794129490117484e-07,0.0
1865,7.465055205102544e-07,9.41368871743009e-10
1866,7.541700028923515e-07,4.865612912574591e-10
1867,7.036576903374225e-07,4.367530337390235e-09
1868,6.046406042514718e-07,0.0
1869,6.456012329181249e-07,4.883519144627257e-10
1870,6.548283977281244e-07,0.0
1871,5.469906341204478e-07,0.0
1872,6.573457653757941e-07,2.4189357183956872e-09
1873,6.500800964204245e-07,0.0
1874,6.870800461911131e-07,5.974609140757536e-10
1875,6.225021706995904e-07,2.2886108563824337e-09
1876,6.039968525328732e-07,0.0
1877,5.547780119741219e-07,0.0
1878,5.604274520010222e-07,0.0
1879,5.993248350932845e-07,0.0
1880,5.84665770020365e-07,0.0
1881,4.6088274530120543e-07,0.0
1882,5.550591026803886e-07,0.0
1883,5.352480343390198e-07,0.0
1884,6.509273475785449e-07,0.0
1885,4.776215973834042e-07,1.2891271383708158e-09
1886,5.730676093662623e-07,6.453463874400711e-10
1887,4.942396003571048e-07,1.3057849246322917e-09
1888,5.338797564036213e-07,0.0
1889,4.692587367571832e-07,6.265136742733546e-10
1890,4.765038852383441e-07,0.0
1891,4.557567194751755e-07,0.0
1892,4.124681254324969e-07,0.0
1893,5.173070007913338e-07,0.0
1894,4.7324559204753314e-07,2.520615716150587e-09
1895,5.958428346275468e-07,0.0
1896,4.747108448555082e-07,1.7691086373616827e-09
1897,4.533183073363034e-07,0.0
1898,4.3342998878870276e-07,0.0
1899,4.5713073859587894e-07,0.0
1900,4.147651395669527e-07,0.0
1901,4.107723157176224e-07,0.0
1902,4.0558944647273165e-07,9.820567692386817e-10
1903,3.6613494103221456e-07,0.0
1904,4.278201686247485e-07,5.374625189347171e-10
1905,3.911855230853689e-07,0.0
1906,4.4497195972326153e-07,0.0
1907,3.944560944546538e-07,5.142843373384665e-10
1908,4.0960983938020945e-07,4.911389073214423e-10
1909,4.829863655686495e-07,0.0
1910,3.9119183270486246e-07,0.0
1911,3.405039592507819e-07,0.0
1912,4.157118098646606e-07,0.0
1913,4.104514061964437e-07,0.0
1914,3.8841113791932e-07,0.0
1915,4.0290206015924923e-07,0.0
1916,4.4718970571011596e-07,0.0
1917,3.761483640118968e-07,0.0
1918,3.618208666011924e-07,0.0
1919,4.751249775836186e-07,1.8415696745321952e-09
1920,3.8391215184674365e-07,7.572231730534895e-10
1921,4.142292766573519e-07,7.572747429129834e-10
1922,4.5374304136203136e-07,1.4755870969551665e-09
1923,3.704965934048232e-07,1.0615948120573648e-09
1924,4.215561091314157e-07,0.0
1925,3.9813403418520465e-07,0.0
1926,4.068340615503985e-07,3.343841648018042e-09
1927,4.481988469251519e-07,1.1149224876660924e-09
1928,3.6677593584499846e-07,1.1426041224282812e-09
1929,4.244494959948497e-07,1.1140406375176326e-09
1930,4.0753982943897427e-07,0.0
1931,3.501444609810278e-07,0.0
1932,4.1207857748304377e-07,0.0
1933,4.0262023048853735e-07,0.0
1934,3.55852932898415e-07,7.188948103475923e-09
1935,3.8657557865917624e-07,0.0
1936,3.1524257337878225e-07,0.0
1937,3.0344594392772706e-07,2.5182236296217297e-09
1938,3.5135730058755144e-07,5.186085783037697e-09
1939,3.288220966624067e-07,1.5294050470515685e-09
1940,3.0682971896567324e-07,5.0715658339584024e-09
1941,2.8924725370416127e-07,0.0
1942,2.912843228841666e-07,0.0
1943,4.093561756235431e-07,0.0
1944,4.7233837108251464e-07,0.0
1945,4.2698678726083017e-07,0.0
1946,4.092804601896205e-07,1.3921104269343232e-09
1947,4.4584058400687354e-07,0.0
1948,3.859520063542732e-07,0.0
1949,3.2003447358874837e-07,0.0
