year,oubliant_VERB en_ADP,oubliant_VERB sans_ADP
1800,9.432493452976587e-09,6.288328968651058e-09
1801,2.619300909501021e-08,2.3811825844433088e-09
1802,1.7902721083373763e-08,2.2378401354217203e-08
1803,1.1702034896643454e-08,7.801356893821776e-09
1804,2.9662210465630778e-08,0.0
1805,1.9900143755080535e-08,2.2743021688143017e-08
1806,7.204172902675055e-08,0.0
1807,2.562259604488304e-08,1.4234775136401367e-08
1808,1.8128591960930862e-08,0.0
1809,1.1295152813062259e-08,1.1295152591017654e-08
1810,2.106114038724627e-08,4.680253518074551e-09
1811,7.270522672797597e-08,1.2535383842049441e-08
1812,1.600324850414836e-08,1.0668832484128643e-08
1813,2.300593315851529e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,2.4275012222574333e-08
1816,1.622322720606917e-08,1.3905623319487859e-08
1817,4.047870982848423e-08,1.2454987263765815e-08
1818,2.98029441125891e-08,2.2650237241350624e-08
1819,9.315945015409e-09,2.4842520929269085e-08
1820,2.254631326081835e-08,2.254631503717519e-08
1821,1.4792232216898071e-08,9.861488514673056e-09
1822,2.8071724500478012e-08,2.0051231786055723e-08
1823,1.8777104315859106e-08,1.2847492847356534e-08
1824,4.126345398702824e-08,3.789500624407083e-08
1825,6.60408217001418e-08,3.6982860329715095e-08
1826,3.082794464148719e-08,3.963592831723872e-08
1827,3.6869092667757286e-08,2.3964910056406552e-08
1828,4.219258542548232e-08,8.530239858917099e-08
1829,1.9718305044325035e-08,5.658296164945398e-08
1830,2.817945699007396e-08,4.696576216822734e-08
1831,5.14509785887185e-08,5.768746103029798e-08
1832,4.058990699107312e-08,3.5177919244233635e-08
1833,4.865124125785769e-08,2.6642346329097677e-08
1834,3.080395161170202e-08,8.401078055442213e-09
1835,2.7227116561334697e-08,2.4958190181223472e-08
1836,4.2340726480460944e-08,3.494789985181157e-08
1837,2.1569461661208322e-08,2.365682938432201e-08
1838,2.2723782411304683e-08,2.5879863807531933e-08
1839,3.216078425793967e-08,4.9639474752893875e-08
1840,3.949206917042147e-08,2.4204816984063626e-08
1841,2.3756030476107526e-08,4.558589639103161e-08
1842,2.1466448174578545e-08,3.354132482868977e-08
1843,3.485077471054865e-08,4.430183420112144e-08
1844,3.512679169759281e-08,4.226192207301693e-08
1845,4.073566339801715e-08,6.082448633648596e-08
1846,1.5807154030156312e-08,3.7468809832574834e-08
1847,2.3190860787281053e-08,2.7505439703645607e-08
1848,7.24069959545659e-09,2.3331143461646775e-08
1849,2.0948537127196687e-08,2.8490010572923552e-08
1850,1.5614690873633208e-08,3.326607966869233e-08
1851,1.9993260380601896e-08,4.1921353499674296e-08
1852,1.6927417911816178e-08,1.6927417911816178e-08
1853,2.866527215594772e-08,3.045685281755084e-08
1854,1.2989160858012383e-08,2.8056588163849483e-08
1855,3.237231638308913e-08,2.600399184871094e-08
1856,2.070875626536406e-08,2.9509979349029436e-08
1857,3.612316668011317e-08,2.5871997877402464e-08
1858,2.7893954257507403e-08,2.2021541812300427e-08
1859,3.41175612206257e-08,2.8516170313963585e-08
1860,2.929397768802744e-08,2.8836257992548298e-08
1861,3.159695793897299e-08,3.91424999079959e-08
1862,2.8011514996428843e-08,2.3493529344165154e-08
1863,2.047794495085853e-08,2.5472566278494924e-08
1864,3.356309496993504e-08,5.178306139441702e-08
1865,1.5061901947888146e-08,3.812543880599151e-08
1866,2.4814625465552353e-08,1.167747110120132e-08
1867,2.426405742994575e-08,2.4749338578544666e-08
1868,1.2843672791973404e-08,1.2349685163393076e-08
1869,1.9045724108934792e-08,4.15099131734209e-08
1870,2.695002887520559e-08,3.669791226457164e-08
1871,1.4869647735338276e-08,3.080141297573391e-08
1872,6.047339295989218e-09,2.721302627683997e-08
1873,2.1549616757710055e-08,3.6514626877703904e-08
1874,1.6728905816165707e-08,3.8834959414923986e-08
1875,5.149374260327022e-09,2.8035482158017544e-08
1876,2.0556449653597042e-08,1.7533442697725832e-08
1877,9.277223766979148e-09,1.546203975966165e-08
1878,9.058632899350272e-09,3.744234966518434e-08
1879,1.0385853066452455e-08,2.138263865969492e-08
1880,1.5402831232691483e-08,1.9895322722618403e-08
1881,2.3009274929819412e-08,2.022027167924989e-08
1882,3.061477182875194e-08,2.5956001792337702e-08
1883,1.64302811356265e-08,1.7694148812807953e-08
1884,5.281357573494461e-09,3.762967448750487e-08
1885,7.090199150017185e-09,3.867381448419138e-08
1886,1.613365974151293e-08,3.3558012257906e-08
1887,7.834709769838355e-09,2.0239665943222462e-08
1888,1.521747527988282e-08,3.043495055976564e-08
1889,2.5687061089296748e-08,1.1903759755682586e-08
1890,7.209825181320184e-09,2.6217546356122057e-08
1891,8.92390783491237e-09,1.3385862196457765e-08
1892,1.0029620023388475e-08,1.56712811616444e-08
1893,6.158416554491453e-09,2.0322774574310642e-08
1894,8.822155450616265e-09,9.452308935564702e-09
1895,4.213030146971164e-09,2.1065149624632795e-08
1896,7.076434549446731e-09,2.9485144770191596e-08
1897,3.496028022631492e-09,1.4566784223291052e-08
1898,1.3014215816120611e-08,2.3765091228256097e-08
1899,7.738609753005221e-09,1.6029977345510815e-08
1900,8.824790231898305e-09,2.0245107368310755e-08
1901,8.38310842965484e-09,2.2913829056392387e-08
1902,2.9461704187383475e-09,2.160524809058373e-08
1903,3.7801539676252105e-09,1.8900771392438287e-08
1904,5.912087708281888e-09,1.9886112312406112e-08
1905,1.0321517862621477e-08,1.5482276793932215e-08
1906,1.4918134283448126e-08,2.1605574218597212e-08
1907,1.2857108266928208e-08,1.131425531042396e-08
1908,8.840500109741356e-09,5.40252820258047e-09
1909,8.801573692096554e-09,6.601180213561264e-09
1910,1.4429207051414039e-08,1.549803685385598e-08
1911,3.7242617878519013e-09,1.2768897827974968e-08
1912,1.2502610502451716e-08,8.335073686804861e-09
1913,9.545381873810044e-09,1.4318072505403734e-08
1914,3.3483718020477227e-09,1.8081207919795617e-08
1915,9.424609537234119e-09,5.890381071793627e-09
1916,6.592477230782379e-09,1.7579939282086343e-08
1917,1.6449636319748606e-08,2.1932848870420685e-09
1918,1.033773866510046e-08,2.067547733020092e-08
1919,1.7494911963567006e-08,2.1178051312631396e-08
1920,3.028892692213958e-09,1.590168619003407e-08
