year,tenant_VERB en_ADP,tenant_VERB sans_ADP
1800,9.967001646238316e-07,0.0
1801,9.4056710508994e-07,2.6193008650921e-08
1802,1.1390605720862368e-06,1.3427040812530322e-08
1803,3.3233779237473726e-06,1.755305234496518e-08
1804,1.6091749639457475e-06,2.4718509905596875e-08
1805,1.3190952150576862e-06,1.9900143755080535e-08
1806,8.846724313116283e-07,2.881669125542885e-09
1807,1.138782037557462e-06,3.9857372513552036e-08
1808,9.404207119700914e-07,5.891792298484688e-08
1809,1.8140015312084756e-06,1.3554183553310395e-08
1810,1.0179550944400262e-06,5.616304221689461e-08
1811,9.376466847399456e-07,1.504245972228091e-08
1812,1.827037657164965e-06,1.8670457180292033e-08
1813,9.691249545085157e-07,1.7254450312975678e-08
1814,1.4348847301448586e-06,9.440030979135372e-09
1815,1.2973645366898268e-06,3.776112933451259e-08
1816,1.3465279060653756e-06,6.952811659743929e-09
1817,1.0524464202354977e-06,2.490997452753163e-08
1818,1.0681375166576856e-06,4.410835785506606e-08
1819,1.3176886248800201e-06,1.552657524772627e-08
1820,1.1095160221685774e-06,2.7292905713238724e-08
1821,1.3027025573819628e-06,7.88919063410276e-09
1822,1.1459279534165034e-06,2.4061478143266868e-08
1823,1.540710851344329e-06,5.929612356680991e-09
1824,1.4172732427653045e-06,9.263223965660927e-09
1825,1.4388093454442696e-06,3.3460683113162304e-08
1826,1.1520843887780075e-06,2.1139161532346407e-08
1827,1.1595330065006237e-06,5.530363722527909e-09
1828,1.1208551882191387e-06,1.1006761724274838e-08
1829,1.0219226127539116e-06,6.858540846366168e-09
1830,1.2127602948552862e-06,2.0873670791843324e-08
1831,1.2254688037671713e-06,3.2741533706470705e-08
1832,1.0458665915535903e-06,2.1647950210201827e-08
1833,1.0946528470334727e-06,2.4325620628928846e-08
1834,1.30776779538877e-06,1.8669062740173104e-08
1835,1.4256420826086469e-06,2.117664621437143e-08
1836,1.4113574611229751e-06,9.409050427677812e-09
1837,1.3957529159114301e-06,2.365682938432201e-08
1838,1.367845433364323e-06,2.1461350030449466e-08
1839,1.3451598235292295e-06,3.635567225046543e-08
1840,1.2783964686846616e-06,1.3376346252869098e-08
1841,1.3097918483140347e-06,2.953452238330101e-08
1842,1.3443363577891887e-06,1.609983613093391e-08
1843,1.2097354051832099e-06,2.9534556134080958e-08
1844,1.4588596166653645e-06,3.183365487879897e-08
1845,1.3426028022678338e-06,2.399498022498392e-08
1846,1.5690063079887295e-06,5.854501328173001e-09
1847,1.1509139010712488e-06,7.011190739092399e-09
1848,1.2268963311967696e-06,1.287235473768078e-08
1849,1.1873631198255907e-06,2.513824481908955e-09
1850,1.3774873206529037e-06,1.5614691761811628e-08
1851,1.5730181015527478e-06,3.4826967976187007e-08
1852,1.5195613087826132e-06,2.9948509450150596e-08
1853,1.4440131756998653e-06,2.269334054005867e-08
1854,1.3773706992736834e-06,3.3771819119010615e-08
1855,1.3856412657275996e-06,1.8043586180738203e-08
